BOUNDARY_256_SURVIVAL,CORE_256_SURVIVAL,CORE_SHARE_OF_REMAINING_INCUMBENT,INTERMEDIATE_256_SURVIVAL,I_over_I0,area,arm,block,cx,cy,scaffold_cells,scaffold_mass_over_I0,size,time,track
0.1681312271032688,0.6315136893110903,0.6315136893110903,0.20035508358564086,1.0,210,SHAM,L24_S990000,9.905876915254959,10.606653370333307,210,0.9999999999999997,24,256,True
0.14147992648837426,0.6314617441055068,0.6503221029217678,0.1980567642870416,0.9709984348809225,213,SHAM,L24_S990000,9.95576579407082,10.568495460171007,198,0.9399351173713085,24,384,True
0.1299891380202153,0.6311939381799403,0.6609512061734433,0.19379504061760183,0.9549781168177576,216,SHAM,L24_S990000,9.927800873349597,10.530917130808623,193,0.9098132858448834,24,512,True
0.12262657401383399,0.6306378224095609,0.6692897036524548,0.1889850046476772,0.9422494010710722,217,SHAM,L24_S990000,9.950176553582544,10.528279473955225,189,0.8864477239772335,24,640,True
0.11978200883518789,0.6298749963495156,0.6739346552978577,0.1849662426302214,0.9346232478149249,220,SHAM,L24_S990000,9.938299110702234,10.517573449131175,185,0.8653144264798146,24,768,True
0.1157251463813729,0.6287537514445247,0.6798428698015547,0.18037268093384895,0.9248515787597466,220,SHAM,L24_S990000,9.939070991167902,10.51662805204401,183,0.8508041950467545,24,896,True
0.11263000650481948,0.6273742613921175,0.6848396540980423,0.1760850059030611,0.9160892737999982,220,SHAM,L24_S990000,9.939693113417972,10.515778193604106,182,0.8399324858913818,24,1024,True
0.11184595819728801,0.6259277243636615,0.687319224916487,0.1729061030069796,0.910679785567929,222,SHAM,L24_S990000,9.964779662370661,10.493477562406516,182,0.8324164098118659,24,1152,True
0.1098048404780051,0.6241855514274204,0.6909605219016142,0.16936881841469492,0.9033592103201203,222,SHAM,L24_S990000,9.96545348555267,10.492628048489873,179,0.8174403687517894,24,1280,True
0.10809288338496308,0.6222927416301073,0.6941197915356463,0.1661350465153705,0.896520671530441,222,SHAM,L24_S990000,9.96600996967178,10.49186462202733,178,0.8083628980572926,24,1408,True
0.1066311457108286,0.6202775860202385,0.6968717779768406,0.16317981199074857,0.8900885437218157,222,SHAM,L24_S990000,9.966474572953716,10.491176206616544,178,0.8023145285043801,24,1536,True
0.10646310674791117,0.6200183475929035,0.6971902584082411,0.16282865881032246,0.8893101131511372,222,SHAM,L24_S990000,9.966527234727534,10.491094958552475,178,0.8015806752791457,24,1552,True
0.10536506638767876,0.6181645264842455,0.699276417571403,0.16047637522741423,0.8840059680993386,222,SHAM,L24_S990000,9.966867283871455,10.490553670457992,176,0.7912274098885704,24,1664,True
0.10490462454213333,0.616255346958608,0.7004914612381986,0.15858715042606458,0.8797471219268059,223,SHAM,L24_S990000,9.986134081947721,10.502128806692566,172,0.7751769390449936,24,1792,True
0.10390351821160941,0.6140299294265291,0.7023563678375206,0.1563092552750009,0.8742427029131393,223,SHAM,L24_S990000,9.98647366181643,10.501647348359258,172,0.7701119376639921,24,1920,True
0.10360652878419253,0.6121296836051611,0.7031593499746575,0.15480569767302818,0.8705419100623818,224,SHAM,L24_S990000,9.976044166220168,10.521396900801314,170,0.7599227093195383,24,2048,True
0.10279002554187106,0.6098479297403273,0.7046199821167497,0.15286110125645166,0.86549905653865,224,SHAM,L24_S990000,9.976291010359205,10.521049832843017,170,0.7552925632535713,24,2176,True
0.10205464471084227,0.6075407281161658,0.7059050479137349,0.15105965423607967,0.8606550270630878,224,SHAM,L24_S990000,9.976517946778099,10.520732222311723,169,0.7481699607475277,24,2304,True
0.10138968014497217,0.6052166464353929,0.7070342582566789,0.1493870561556629,0.8559933827360279,224,SHAM,L24_S990000,9.976729491755389,10.520440539218587,169,0.7438743049589265,24,2432,True
0.10078640351562333,0.6028828191808168,0.708024488998636,0.14783073041037711,0.8514999531068171,224,SHAM,L24_S990000,9.976929166236086,10.520171616734784,169,0.7397154997256015,24,2560,True
0.10023758752850352,0.6005451838299636,0.7088902761171467,0.14637962324986473,0.8471623946083319,224,SHAM,L24_S990000,9.97711971000979,10.519922636197922,168,0.7330154705233372,24,2688,True
0.10032033346801565,0.5985985034308869,0.7088411601327651,0.1455559722653538,0.8444748091642564,225,SHAM,L24_S990000,9.999037981608215,10.52370149355016,167,0.7264455165276341,24,2816,True
0.1002596256767162,0.598309231287761,0.7089294833585624,0.14539270103599336,0.8439615580004706,225,SHAM,L24_S990000,9.999068434282334,10.523675214606177,167,0.7259691271622019,24,2832,True
0.09985313082717176,0.5962868790650565,0.7095052347541831,0.14428631800040176,0.8404263278926299,225,SHAM,L24_S990000,9.99927782881946,10.523497281128817,166,0.7200121224416006,24,2944,True
0.0998751817822058,0.5945654302257208,0.709476331247809,0.14359358876662814,0.8380342007745547,226,SHAM,L24_S990000,9.983272404988641,10.508356932613133,165,0.7136969071245729,24,3072,True
0.09947695817699613,0.5922864362275132,0.709976508069032,0.14247045628780744,0.8342338506923167,226,SHAM,L24_S990000,9.983440084896028,10.50812386369467,165,0.7101612729789509,24,3200,True
0.09911136020696865,0.5900198373188867,0.7104006881576689,0.14141394010488928,0.8305451376307446,226,SHAM,L24_S990000,9.983604540389557,10.507902257647874,164,0.7040388677178991,24,3328,True
