AMBIENT_REMOVED_BY_SINK,AMBIENT_SINK_YIELD,DYNAMIC_NET_AMBIENT,DYNAMIC_NET_FRESH,DYNAMIC_NET_INCUMBENT,DYNAMIC_NET_TOTAL,FRESH_AFTER_128,FRESH_AFTER_16,FRESH_AFTER_2048,FRESH_AT_END_OF_FORCE,FRESH_COAST_RETENTION,FRESH_REMOVED_BY_LATER_SINKS,FRESH_SINK_YIELD,FRESH_TERMINAL_RETENTION,FRESH_WASHOUT_FRACTION,GROSS_FRESH_ADDED,GROSS_SINK_REMOVAL,INCUMBENT_REMOVED_BY_SINK,INCUMBENT_SINK_YIELD,M256,OPERATOR_DELTA_AMBIENT,OPERATOR_DELTA_FRESH,OPERATOR_DELTA_INCUMBENT,OPERATOR_DELTA_TOTAL_MASS,arm,block,size
0.0,,42.81384129122109,0.0,-50.86765316942545,-8.0538118782043,,,0.0,,,0.0,,,,0.0,0.0,0.0,,167.94994007010672,-0.0,0.0,-0.0,0.0,SHAM,L24_S990000,24
1.4045558241131648,0.032281607806595336,27.86038905943721,-6.950761702187833,-23.706425740332776,-2.7967983830835124,40.10589685316256,40.35113656650964,36.55192381159338,40.204825271422195,0.9091427102302242,0.006789990911739264,0.00015605775139732246,0.8400911155008263,0.00015605775139732246,43.50947550469296,43.50947550469296,42.09812968966803,0.9675623344420068,167.94994007010672,-1.4045558241131648,43.502685513781216,-42.09812968966803,0.0,DIRECT_Q100_ANCHOR,L24_S990000,24
2.8467897676354026,0.04831276435087651,31.748096452605427,-10.236620703483695,-25.45198618042152,-3.9405104312999697,52.75531518104388,53.0265971687974,48.24868183292364,52.90968382289371,0.9119064478712064,0.43887217982901805,0.007448083608171238,0.8188266032621901,0.007448083608171238,58.92417471623635,58.92417471623635,55.638512768771896,0.9442391520409517,167.94994007010672,-2.8467897676354026,58.48530253640733,-55.638512768771896,0.0,DIRECT_Q200_UNIFORM,L24_S990000,24
7.09362855716656,0.07150780233789306,38.686129753003755,-19.731035484720707,-22.586641178892137,-3.631546910609188,70.45121357229849,68.17736101376396,64.58097653248258,67.63873692813534,0.9547927632223298,14.888751049843739,0.1500870617273463,0.6510129008668422,0.1500870617273463,99.20076306704702,99.20076306704702,77.21838346003675,0.7784051359347609,167.94994007010672,-7.09362855716656,84.31201201720329,-77.21838346003675,0.0,DIRECT_Q400_UNIFORM,L24_S990000,24
9.933661972056568,0.079037187673309,,,,,,,,,,31.96662149978493,0.2543424438910179,,0.2543424438910179,125.68339365914943,125.68339365914943,83.78311018730798,0.6666203684356735,167.94994007010672,-9.933661972056568,93.7167721593645,-83.78311018730798,0.0,DIRECT_Q800_UNIFORM,L24_S990000,24
5.994868803878431,0.0822498828698224,38.34780754434625,-13.417402542561746,-26.614260141757,-1.683855139972536,60.0109668656134,59.929335737551746,56.84706647846713,59.51938962265686,0.9551016372793502,2.6215776784729408,0.035968169453356555,0.7799444345340749,0.035968169453356555,72.88604669950182,72.88604669950182,64.26960021715055,0.8817819476768225,167.94994007010672,-5.994868803878431,70.26446902102887,-64.26960021715055,0.0,DIRECT_Q400_BURST,L24_S990000,24
1.8910055642094123,0.026092805682226154,23.826490912127255,0.0,-56.7935485369253,-32.96705762479807,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,72.4722970476695,70.58129148346003,0.9739071943177732,167.94994007010672,-1.8910055642094123,0.0,-70.58129148346003,-72.4722970476695,SINK_ONLY_Q800,L24_S990000,24
0.0,,,,,,,,,,,0.0,,,0.0,97.3490843029232,0.0,0.0,,167.94994007010672,-0.0,97.3490843029232,-0.0,97.3490843029232,SOURCE_ONLY_Q800,L24_S990000,24
0.0,,42.841182410531275,0.0,-50.826155337259564,-7.98497292672829,,,0.0,,,0.0,,,,0.0,0.0,0.0,,164.81281559012086,-0.0,0.0,-0.0,0.0,SHAM,L24_S990001,24
1.4813372452676505,0.033102149629391286,27.097556740013186,-7.3670352138082364,-23.731436914285133,-4.000915388080074,41.5004341743413,41.481000600199096,37.340364776787744,41.35517349409889,0.9029188278490953,0.04308485261118528,0.0009627795712636906,0.834412518827844,0.0009627795712636906,44.75048484320717,44.75048484320717,43.22606274532831,0.9659350707993446,164.81281559012086,-1.4813372452676505,44.70739999059598,-43.22606274532831,0.0,DIRECT_Q100_ANCHOR,L24_S990001,24
2.889150495301924,0.047313231259462345,31.51959953008248,-10.803612913411847,-24.943946855410317,-4.227960238739797,53.95845067816678,53.94416878707857,49.249782380662836,53.71480747671941,0.9168753402310571,1.0109289635104914,0.01655514862075818,0.8065230063451527,0.01655514862075818,61.06432425758518,61.06432425758518,57.16424479877274,0.9361316201197791,164.81281559012086,-2.889150495301924,60.05339529407468,-57.16424479877274,0.0,DIRECT_Q200_UNIFORM,L24_S990001,24
6.93610101454767,0.06641069573779237,37.97838008103957,-20.72214103910528,-21.455631107893083,-4.199392065958733,67.13916977673928,67.3590105753874,63.92785245326684,67.12658836541203,0.9523477061766871,19.79253549321924,0.1895064748570936,0.6120864084216705,0.1895064748570936,104.44252898559137,104.44252898559137,77.71389247782434,0.7440828294051129,164.81281559012086,-6.93610101454767,84.64999349237212,-77.71389247782434,0.0,DIRECT_Q400_UNIFORM,L24_S990001,24
8.80082015081382,0.07264698105935156,47.09543094175317,-25.63656580613906,-21.630485874173445,-0.17162073855928384,65.67754376083131,65.70803759365354,65.66671330874476,65.7408800446025,0.9988718323240057,29.841743327599698,0.2463307424930956,0.5420504448700861,0.2463307424930956,121.14502244248352,121.14502244248352,82.50245896406994,0.6810222764475523,164.81281559012086,-8.80082015081382,91.30327911488382,-82.50245896406994,0.0,DIRECT_Q800_UNIFORM,L24_S990001,24
5.767355276205877,0.0756011972448144,38.04935808050259,-14.975026930568227,-26.53468641616493,-3.460355266230664,61.377450158637096,60.33313713404423,57.10167831720896,59.854681618484925,0.9540052135132274,4.209854838431874,0.055184751202235996,0.7485155740759595,0.055184751202235996,76.28656008620906,76.28656008620906,66.30934997157136,0.8692140515529503,164.81281559012086,-5.767355276205877,72.07670524777718,-66.30934997157136,0.0,DIRECT_Q400_BURST,L24_S990001,24
1.910359254019371,0.02667200509524421,23.057980979093255,0.0,-56.77300905106364,-33.71502807197038,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,71.62413351368174,69.71377425966237,0.9733279949047559,164.81281559012086,-1.910359254019371,0.0,-69.71377425966237,-71.62413351368174,SINK_ONLY_Q800,L24_S990001,24
0.0,,,,,,,,,,,0.0,,,0.0,102.54894000008689,0.0,0.0,,164.81281559012086,-0.0,102.54894000008689,-0.0,102.54894000008689,SOURCE_ONLY_Q800,L24_S990001,24
0.0,,44.58169363098681,0.0,-50.098147824784135,-5.516454193797159,,,0.0,,,0.0,,,,0.0,0.0,0.0,,165.32770555011422,-0.0,0.0,-0.0,0.0,SHAM,L24_S990002,24
1.77692900543022,0.03805116330990833,30.328404751268824,-6.828349773855692,-21.278322938643342,2.221732038769602,43.58631831117987,43.56180400739662,39.80788402686679,43.413215408860346,0.9169531363194596,0.062180935194849504,0.0013315427417929895,0.8524461537288373,0.0013315427417929895,46.69841473591733,46.69841473591733,44.85930479529226,0.9606172939482986,165.32770555011422,-1.77692900543022,46.63623380072248,-44.85930479529226,0.0,DIRECT_Q100_ANCHOR,L24_S990002,24
3.6109882576939727,0.05588627823260914,34.91607842309923,-10.752035066300365,-22.3268733077595,1.8371700490394005,56.65287276902468,56.357200378394616,52.037648727582074,56.32265054167067,0.9239204516676943,1.8234622571815526,0.028221226927109603,0.8053724653255011,0.028221226927109603,64.61314605106399,64.61314605106399,59.1786955361885,0.9158924948402818,165.32770555011422,-3.6109882576939727,62.78968379388244,-59.1786955361885,0.0,DIRECT_Q200_UNIFORM,L24_S990002,24
7.681337043919507,0.07221503265207986,42.17782679345619,-18.93999912221429,-18.861551485468397,4.376276185773378,68.72752535542128,68.47526445033343,66.28405690321813,68.61896264222047,0.965972879083344,21.143507095765965,0.19877777092321294,0.6231604349879868,0.19877777092321294,106.36756312119839,106.36756312119839,77.54271898151292,0.7290071964247072,165.32770555011422,-7.681337043919507,85.22405602543242,-77.54271898151292,0.0,DIRECT_Q400_UNIFORM,L24_S990002,24
8.64396861418,0.07610595423182222,,,,,,,,,,25.21922409210631,0.22204304529372543,,0.22204304529372543,113.57808599114436,113.57808599114436,79.71489328485808,0.7018510004744526,165.32770555011422,-8.64396861418,88.35886189903806,-79.71489328485808,0.0,DIRECT_Q800_UNIFORM,L24_S990002,24
