AMBIENT_DELTA,A_over_T_sham,A_over_T_treated,FRESH_PRESENT,F_over_T_treated,I0,INCUMBENT_EXCESS_EGRESS,I_over_I0_sham,I_over_I0_treated,I_over_T_treated,M256,PAIR_IDENTITY_RESIDUAL,TOTAL_MASS_DELTA,T_over_M256_treated,arm,block,sham_matched,size,status,terminal_time,treated_track_alive
-0.006791723253679793,0.16610606111376205,0.1601897061423131,0.21763582527231418,0.22132139563449446,167.94994007010663,0.2167071680608924,0.8248966356931389,0.6081894676322463,0.6184888982231928,167.94994007010672,2.1316282072803006e-14,-0.00586306604225791,0.98334742851402,DIRECT_Q100_ANCHOR,L24_S990000,True,24,OK,3584,True
-0.014961732934163783,0.19024274764761387,0.17621734767701186,0.2872801372407955,0.2941823646309869,167.94994007010663,0.27896992017379724,0.7961445085342091,0.5171745883604117,0.5296002876920021,167.94994007010672,-9.237055564881302e-14,-0.006651515867166084,0.9765375895361731,DIRECT_Q200_UNIFORM,L24_S990000,True,24,OK,4864,True
-0.030983968673033248,0.22524839020315574,0.19226393703333972,0.3845251537781126,0.39302341807710056,167.94994007010663,0.34782630088978894,0.7535716998028956,0.4057453989131065,0.41471264488955967,167.94994007010672,1.0658141036401503e-13,0.005714884215291021,0.978377206272933,DIRECT_Q400_UNIFORM,L24_S990000,True,24,OK,7424,True
,,,,,167.94994007010663,,,,,167.94994007010672,,,,DIRECT_Q800_UNIFORM,L24_S990000,True,24,TREATED_TRACK_LOST,12544,False
-0.026456205553182177,0.22524839020315574,0.1945853163864578,0.338476253428478,0.34190416224905124,167.94994007010663,0.2947083046803387,0.7535716998028956,0.4588633951225568,0.46351052136449006,167.94994007010672,2.5579538487363607e-13,0.01731174319495862,0.9899740652526006,DIRECT_Q400_BURST,L24_S990000,True,24,OK,7424,True
-0.12431297048744447,0.26776033776025665,0.35090833349876593,0.0,0.0,167.94994007010663,0.4555356603224971,0.6971261010977915,0.24159044077529415,0.6490916665012341,167.94994007010672,-1.4210854715202004e-13,-0.5798486308099424,0.3721977237475975,SINK_ONLY_Q800,L24_S990000,True,24,OK,12544,True
,,,,,167.94994007010663,,,,,167.94994007010672,,,,SOURCE_ONLY_Q800,L24_S990000,True,24,TREATED_TRACK_LOST,12544,False
-0.01343510405471353,0.17073246662120942,0.1592930589251283,0.22656226485233338,0.23219901468656282,164.8128155901209,0.22644269401670003,0.8201787792848958,0.5937360852681958,0.6085079263883084,164.81281559012086,-7.105427357601002e-15,-0.013315533219080201,0.9757244885735701,DIRECT_Q100_ANCHOR,L24_S990001,True,24,OK,3584,True
-0.01739730150749763,0.19479480243449623,0.1782885999562868,0.29882252908744644,0.3066900815328927,164.8128155901209,0.2881735305924325,0.7899829538451668,0.5018094232527344,0.5150213185108216,164.81281559012086,-1.2789769243681803e-13,-0.006748303012484442,0.9743468963648163,DIRECT_Q200_UNIFORM,L24_S990001,True,24,OK,4864,True
-0.036598210186668846,0.23089227549462057,0.19327325441028287,0.387881562634373,0.3980230982602133,164.8128155901209,0.35101358585458453,0.7493035596613192,0.3982899738067348,0.40870364732950426,164.81281559012086,-1.4210854715202004e-14,0.0002697665931196069,0.9745202334483359,DIRECT_Q400_UNIFORM,L24_S990001,True,24,OK,7424,True
-0.02758627478884264,0.27317331975600434,0.23259434448022132,0.39843208232091465,0.39884740491557436,164.8128155901209,0.3234383765007356,0.691612844818688,0.3681744683179525,0.36855825060420455,164.81281559012086,-1.4210854715202004e-14,0.047407431031336315,0.9989586930000268,DIRECT_Q800_UNIFORM,L24_S990001,True,24,OK,12544,True
-0.029076199635693644,0.23089227549462057,0.20007133910134106,0.34646382390078967,0.35389406645914256,164.8128155901209,0.3126337597753297,0.7493035596613192,0.4366697998859896,0.4460345944395168,164.81281559012086,-1.4210854715202004e-14,0.004753864489766232,0.9790043313449825,DIRECT_Q400_BURST,L24_S990001,True,24,OK,7424,True
-0.1316254479834136,0.27317331975600434,0.35557966092826393,0.0,0.0,164.8128155901209,0.4590700529115993,0.691612844818688,0.2325427919070888,0.6444203390717365,164.81281559012086,1.4210854715202004e-14,-0.5906955008950129,0.3608557610736776,SINK_ONLY_Q800,L24_S990001,True,24,OK,12544,True
,,,,,164.8128155901209,,,,,164.81281559012086,,,,SOURCE_ONLY_Q800,L24_S990001,True,24,TREATED_TRACK_LOST,12544,False
0.0011361679565567097,0.17264621751372283,0.17040627624125712,0.2407816880686111,0.23758888480750034,165.32770555011422,0.22218843247219341,0.8221488413227963,0.5999604088506029,0.5920048389512437,165.32770555011422,-2.5579538487363607e-13,0.019729423552972875,1.013438352824029,DIRECT_Q100_ANCHOR,L24_S990002,True,24,OK,3584,True
