ENDPOINT_MET,L,arm,failure_reason,ok_capture_counter,ok_coast_retention_ratio,ok_durable_128,ok_field_identity_residual,ok_fresh_retention_2048,ok_fresh_retention_post_force,ok_incorporation_16,ok_incumbent_256_egress,ok_never_merged,ok_no_direct_operator_insertion,ok_paired_sham_mass_difference,ok_remote_dynamic_contact,ok_same_track_valid,ok_sink_matched_replacement_2048,ok_sink_matched_replacement_post_force,ok_system_balance_residual,ok_tracked_mass_2048,ok_tracked_mass_post_force,seed,t256_status,val_capture_by_merger,val_coast_retention_ratio,val_direct_operator_insertion,val_durable_incorporation_128,val_field_identity_residual,val_fresh_retention_2048,val_fresh_retention_postforce,val_incorporation_16,val_mass_ratio_2048,val_mass_ratio_postforce,val_sham_mass_ratio_2048,val_sink_matched_replacement_2048,val_sink_matched_replacement_postforce,val_system_balance_residual,val_unique_capture_transport,val_unique_contact,val_unique_incumbent_egress_to_sink
False,24,D1_REDESIGNED_Q005,remote_dynamic_contact|capture_counter|incorporation_16|durable_128|incumbent_256_egress|fresh_retention_post_force|fresh_retention_2048|sink_matched_replacement_post_force|sink_matched_replacement_2048,False,True,False,True,False,False,False,False,True,True,True,False,True,False,False,True,True,True,980001,T256_VALID_TRACK,0.0,1.0391165439982464,0.0,2.6258645281603634,2.6645352591003757e-15,0.016087745469434,0.015482137747064058,2.6504286881913677,0.9718972178955115,0.9711473934117496,0.9902992089128195,0.016087745469434,0.015482137747064058,0.0,2.431545414951048,2.592196585734574,4.421135300718841
False,24,D2_REDESIGNED_Q005,remote_dynamic_contact|capture_counter|incorporation_16|durable_128|fresh_retention_post_force|sink_matched_replacement_post_force,False,True,False,True,True,False,False,True,True,True,True,False,True,True,False,True,True,True,980001,T256_VALID_TRACK,0.0,1.0971164488760847,0.0,3.7048161791600243,3.3306690738754696e-15,0.02294390540713841,0.02091291715719216,3.752418596349525,0.9731353438270967,0.954410200963778,0.9902992089128195,0.02294390540713841,0.02091291715719216,2.842170943040401e-14,2.7976094396911964,4.720409178950959,6.645016926480904
False,24,D2_REDESIGNED_Q020,never_merged|capture_counter,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,980001,T256_VALID_TRACK,0.9566184986301264,1.0392540735880338,0.0,7.718676800642939,2.9976021664879227e-15,0.046998047454223583,0.045222865754052245,7.7742822091261505,0.955066142640335,0.9349724178732978,0.9902992089128195,0.046998047454223583,0.045222865754052245,5.684341886080802e-14,5.750762895262202,8.054447607423192,15.080604691375974
False,24,D2_REDESIGNED_Q050,capture_counter,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,980001,T256_VALID_TRACK,0.0,0.9989889553081183,0.0,8.624585935585795,2.6645352591003757e-15,0.05273072009954055,0.0527840871706903,9.242122518686424,0.9605290811479708,0.9464102797126182,0.9902992089128195,0.05273072009954055,0.0527840871706903,2.842170943040401e-14,6.524239383631094,8.359789005949523,16.780653858356096
False,24,D2_REDESIGNED_Q100,never_merged,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,980001,T256_VALID_TRACK,1.7620835164949078,0.9776792165012818,0.0,11.167119151811937,3.219646771412954e-15,0.05955332664648309,0.060912951448022334,12.135505111854945,0.9669850771937621,0.959259897954715,0.9902992089128195,0.05955332664648309,0.060912951448022334,2.842170943040401e-14,7.238541991019742,7.949937730325919,18.483554225138764
False,24,DIRECT_INTERFACE_Q100,no_direct_operator_insertion|remote_dynamic_contact,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,980001,T256_VALID_TRACK,0.0,0.979032308686642,46.1773304586877,42.637789041991496,4.9960036108132044e-15,0.2567056679452071,0.2622034693518686,42.8924727968727,0.9907114621905065,0.9500535114252106,0.9902992089128195,0.2567056679452071,0.2622034693518686,2.842170943040401e-14,10.387943203690007,5.18770331685308,44.43783257707792
False,24,SHAM,remote_dynamic_contact|capture_counter|incorporation_16|durable_128|incumbent_256_egress|fresh_retention_post_force|fresh_retention_2048|coast_retention_ratio|sink_matched_replacement_post_force|sink_matched_replacement_2048,False,False,False,True,False,False,False,False,True,True,True,False,True,False,False,True,True,True,980002,T256_VALID_TRACK,0.0,,0.0,0.0,3.1086244689504383e-15,0.0,0.0,0.0,0.9742092709139913,0.9774131321993762,0.9742092709139913,0.0,0.0,2.842170943040401e-14,0.0,0.0,0.0
False,24,D1_LEGACY_Q005,remote_dynamic_contact|capture_counter|incorporation_16|durable_128|incumbent_256_egress|fresh_retention_post_force|fresh_retention_2048|sink_matched_replacement_post_force|sink_matched_replacement_2048,False,True,False,True,False,False,False,False,True,True,True,False,True,False,False,True,True,True,980002,T256_VALID_TRACK,0.0,1.050271622814631,0.0,0.12797206199191236,2.9976021664879227e-15,0.0007828430264351195,0.0007453719680030699,0.12895937085047782,0.9817953194407528,0.9821804254510498,0.9742092709139913,0.0007828430264351195,0.0007453719680030699,2.842170943040401e-14,0.15073173649159508,0.26719520490795534,0.2166020886925951
False,24,D1_REDESIGNED_Q005,remote_dynamic_contact|capture_counter|incorporation_16|durable_128|incumbent_256_egress|fresh_retention_post_force|fresh_retention_2048|sink_matched_replacement_post_force|sink_matched_replacement_2048,False,True,False,True,False,False,False,False,True,True,True,False,True,False,False,True,True,True,980002,T256_VALID_TRACK,0.0,1.0193559042815015,0.0,2.894047658305953,2.886579864025407e-15,0.01738845350884413,0.017058275167494592,2.906919513127146,0.9790098944507999,0.964205074234508,0.9742092709139913,0.01738845350884413,0.017058275167494592,0.0,2.573144058584742,2.8366241121970392,4.791792819351804
False,24,D2_REDESIGNED_Q005,remote_dynamic_contact|capture_counter|incorporation_16|durable_128|fresh_retention_post_force|sink_matched_replacement_post_force,False,True,False,True,True,False,False,True,True,True,True,False,True,True,False,True,True,True,980002,T256_VALID_TRACK,0.0,1.0967275754227408,0.0,3.445469324324489,3.1086244689504383e-15,0.02125488274827991,0.019380275671546852,3.498280412205788,0.9554790039492691,0.9367508670511276,0.9742092709139913,0.02125488274827991,0.019380275671546852,2.842170943040401e-14,2.7145904881167615,4.84979003714365,6.92783227493215
False,24,D2_REDESIGNED_Q020,never_merged|capture_counter,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,980002,T256_VALID_TRACK,0.880837243409992,1.0280435538671318,0.0,7.808781279218114,3.9968028886505635e-15,0.04781528553551216,0.04651095311638129,7.8757990509583164,0.9399145067771627,0.9246947250238796,0.9742092709139913,0.04781528553551216,0.04651095311638129,2.842170943040401e-14,5.907267755942875,9.480223748493286,16.00137374514557
True,24,D2_REDESIGNED_Q050,OK,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,980002,T256_VALID_TRACK,0.0,0.973971440680614,0.0,8.92966639159335,2.4424906541753444e-15,0.05304496858806991,0.054462550309485394,9.802295785541427,0.9509074741382648,0.9449259649259087,0.9742092709139913,0.05304496858806991,0.054462550309485394,2.842170943040401e-14,6.720645955935175,8.952756358105308,17.555285733512136
False,24,D2_REDESIGNED_Q100,never_merged,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,980002,T256_VALID_TRACK,1.8206927396351855,0.9654014598501756,0.0,11.291420514754769,2.6645352591003757e-15,0.05883430443124363,0.06094283764639672,12.205980707456963,0.9609602291894868,0.9530845617136399,0.9742092709139913,0.05883430443124363,0.06094283764639672,2.842170943040401e-14,7.32165319158617,8.51687326382659,19.05045146279978
False,24,DIRECT_INTERFACE_Q100,no_direct_operator_insertion|remote_dynamic_contact,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,980002,T256_VALID_TRACK,0.0,0.9812616355895748,47.61345777030388,43.921718687759764,6.328271240363392e-15,0.2623567467782521,0.26736676260722186,44.051796679499546,0.9844544575513896,0.9364697052799669,0.9742092709139913,0.2623567467782521,0.26736676260722186,0.0,10.374789421905177,5.575856606052552,46.112565540510474
False,24,SHAM,remote_dynamic_contact|capture_counter|incorporation_16|durable_128|incumbent_256_egress|fresh_retention_post_force|fresh_retention_2048|coast_retention_ratio|sink_matched_replacement_post_force|sink_matched_replacement_2048,False,False,False,True,False,False,False,False,True,True,True,False,True,False,False,True,True,True,980003,T256_VALID_TRACK,0.0,,0.0,0.0,3.4416913763379853e-15,0.0,0.0,0.0,0.9793938091159987,0.9798309405025439,0.9793938091159987,0.0,0.0,0.0,0.0,0.0,0.0
False,24,D1_LEGACY_Q005,remote_dynamic_contact|capture_counter|incorporation_16|durable_128|incumbent_256_egress|fresh_retention_post_force|fresh_retention_2048|sink_matched_replacement_post_force|sink_matched_replacement_2048,False,True,False,True,False,False,False,False,True,True,True,False,True,False,False,True,True,True,980003,T256_VALID_TRACK,0.0,1.0597457247077444,0.0,0.03909977900251806,2.886579864025407e-15,0.0002347245403194955,0.00022149137745682115,0.039501754293294285,0.9792102179997952,0.9796378026499888,0.9793938091159987,0.0002347245403194955,0.00022149137745682115,0.0,0.05049229394725193,0.11704262461614467,0.06778048229676391
False,24,D1_REDESIGNED_Q005,remote_dynamic_contact|capture_counter|incorporation_16|durable_128|incumbent_256_egress|fresh_retention_post_force|fresh_retention_2048|sink_matched_replacement_post_force|sink_matched_replacement_2048,False,True,False,True,False,False,False,False,True,True,True,False,True,False,False,True,True,True,980003,T256_VALID_TRACK,0.0,0.9998919583283534,0.0,2.7251938458922234,2.7755575615628914e-15,0.015935366981087235,0.015937088850807857,2.7380440897303853,0.9878038556315791,0.9785986387230223,0.9793938091159987,0.015935366981087235,0.015937088850807857,0.0,2.289082394752426,2.8951621462245325,4.534987768825056
False,24,D2_REDESIGNED_Q005,remote_dynamic_contact|capture_counter|incorporation_16|durable_128|fresh_retention_post_force|sink_matched_replacement_post_force,False,True,False,True,True,False,False,True,True,True,True,False,True,True,False,True,True,True,980003,T256_VALID_TRACK,0.0,1.0915486784223862,0.0,3.525611970408099,2.3314683517128287e-15,0.021266752458616926,0.019483100368325977,3.5773987976687716,0.9663750767324987,0.9397324116145652,0.9793938091159987,0.021266752458616926,0.019483100368325977,5.684341886080802e-14,2.832091989816505,4.551204524671042,7.169417116904869
False,24,D2_REDESIGNED_Q020,never_merged|capture_counter,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,980003,T256_VALID_TRACK,1.03262793541461,1.029165799215804,0.0,7.467192965153852,2.7755575615628914e-15,0.044632178785166406,0.04336733577735958,7.515235706737448,0.9634858965543486,0.9407039277482266,0.9793938091159987,0.044632178785166406,0.04336733577735958,5.684341886080802e-14,5.488069761665134,9.069444030566963,14.714152519399612
