L,seed,arm,injection,contact,capture,incorporation_16,durable_128,capture_le_contact,inc16_le_capture,d128_le_inc16,contact_le_injection,direct_dynamic_capture_is_zero
24,980000,SHAM,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
24,980000,D1_LEGACY_Q005,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
24,980000,D1_REDESIGNED_Q005,4.326601291728689,2.4570107885103742,1.9310622748554735,2.308271060250371,2.307935423454869,True,False,True,True,True
24,980000,D2_REDESIGNED_Q005,8.477426731998836,4.826300844259642,2.8871638361166316,3.5990519068657605,3.5432299897669646,True,False,True,True,True
24,980000,D2_REDESIGNED_Q020,14.371351551013587,8.124365085361983,5.170722905573404,7.063421649998029,6.87867215407749,True,False,True,True,True
24,980000,D2_REDESIGNED_Q050,16.07960848345439,7.153580949679363,6.2238049372197075,9.829300517967742,8.822593438027775,True,False,True,True,True
24,980000,D2_REDESIGNED_Q100,17.90505844285715,6.114432563829846,7.188850460172784,14.219567441317416,12.621790768293469,False,False,True,True,True
24,980000,DIRECT_INTERFACE_Q100,46.19963309462356,5.1790412831033485,10.474157158822964,43.47868142749624,43.33091471585057,False,False,True,True,False
24,980001,SHAM,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
24,980001,D1_LEGACY_Q005,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
24,980001,D1_REDESIGNED_Q005,5.449221010188212,2.592196585734574,2.431545414951048,2.6504286881913677,2.6258645281603634,True,False,True,True,True
24,980001,D2_REDESIGNED_Q005,8.190136021843555,4.720409178950959,2.7976094396911964,3.752418596349525,3.7048161791600243,True,False,True,True,True
24,980001,D2_REDESIGNED_Q020,16.295719437120166,8.054447607423192,5.750762895262202,7.7742822091261505,7.718676800642939,True,False,True,True,True
24,980001,D2_REDESIGNED_Q050,17.67091705540842,8.359789005949523,6.524239383631094,9.242122518686424,8.624585935585795,True,False,True,True,True
24,980001,D2_REDESIGNED_Q100,19.118030794190275,7.949937730325919,7.238541991019742,12.135505111854945,11.167119151811937,True,False,True,True,True
24,980001,DIRECT_INTERFACE_Q100,46.1773304586877,5.18770331685308,10.387943203690007,42.8924727968727,42.637789041991496,False,False,True,True,False
24,980002,SHAM,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
24,980002,D1_LEGACY_Q005,0.3091773266315613,0.26719520490795534,0.15073173649159508,0.12895937085047782,0.12797206199191236,True,True,True,True,True
24,980002,D1_REDESIGNED_Q005,5.7996901628119994,2.8366241121970392,2.573144058584742,2.906919513127146,2.894047658305953,True,False,True,True,True
24,980002,D2_REDESIGNED_Q005,8.244728710174975,4.84979003714365,2.7145904881167615,3.498280412205788,3.445469324324489,True,False,True,True,True
24,980002,D2_REDESIGNED_Q020,17.21210196761045,9.480223748493286,5.907267755942875,7.8757990509583164,7.808781279218114,True,False,True,True,True
24,980002,D2_REDESIGNED_Q050,18.47565265274204,8.952756358105308,6.720645955935175,9.802295785541427,8.92966639159335,True,False,True,True,True
24,980002,D2_REDESIGNED_Q100,19.665854016354203,8.51687326382659,7.32165319158617,12.205980707456963,11.291420514754769,True,False,True,True,True
24,980002,DIRECT_INTERFACE_Q100,47.61345777030388,5.575856606052552,10.374789421905177,44.051796679499546,43.921718687759764,False,False,True,True,False
24,980003,SHAM,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
24,980003,D1_LEGACY_Q005,0.10532483664262327,0.11704262461614467,0.05049229394725193,0.039501754293294285,0.03909977900251806,True,True,True,False,True
24,980003,D1_REDESIGNED_Q005,5.325276471436366,2.8951621462245325,2.289082394752426,2.7380440897303853,2.7251938458922234,True,False,True,True,True
24,980003,D2_REDESIGNED_Q005,8.425986931409854,4.551204524671042,2.832091989816505,3.5773987976687716,3.525611970408099,True,False,True,True,True
24,980003,D2_REDESIGNED_Q020,15.926233765301554,9.069444030566963,5.488069761665134,7.515235706737448,7.467192965153852,True,False,True,True,True
24,980003,D2_REDESIGNED_Q050,17.243228740102147,8.047469990437834,6.461603002642758,10.294720257152445,8.92113402589083,True,False,True,True,True
24,980003,D2_REDESIGNED_Q100,19.13982976353077,7.311664029839357,7.218060550136994,13.579235409990186,12.448865090486672,True,False,True,True,True
24,980003,DIRECT_INTERFACE_Q100,46.32099935047139,5.535445818895401,10.466007202514062,43.03753641529611,42.81964399254777,False,False,True,True,False
24,980004,SHAM,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
24,980004,D1_LEGACY_Q005,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
24,980004,D1_REDESIGNED_Q005,5.346518123515302,2.7209424458130216,2.350716950993664,2.6879925983873183,2.6285828624701026,True,False,True,True,True
24,980004,D2_REDESIGNED_Q005,8.436570565615886,4.765893035992139,2.9514770577504517,3.633859321245788,3.5639533384708804,True,False,True,True,True
24,980004,D2_REDESIGNED_Q020,16.12268036065073,9.197443733716291,5.631374099373104,7.8220226638550825,7.685225752698912,True,False,True,True,True
24,980004,D2_REDESIGNED_Q050,17.62795445726716,8.12269352962335,6.5096330808773715,9.908530257783214,9.458934502142446,True,False,True,True,True
24,980004,D2_REDESIGNED_Q100,19.297596590866767,7.582077239148447,7.42892018782957,13.71630171371507,12.775073655352955,True,False,True,True,True
24,980004,DIRECT_INTERFACE_Q100,47.73103159204742,5.540661248556931,11.134743685726093,44.41897314235338,44.2297709401523,False,False,True,True,False
24,980005,SHAM,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
24,980005,D1_LEGACY_Q005,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
24,980005,D1_REDESIGNED_Q005,5.520955913722749,2.791029230907077,2.5303245434422115,2.7690588619230265,2.76162204235119,True,False,True,True,True
24,980005,D2_REDESIGNED_Q005,8.384094671617742,4.795820652063993,2.897470673523846,3.8589271671788006,3.817726876037248,True,False,True,True,True
24,980005,D2_REDESIGNED_Q020,16.207015725239668,8.545714807724682,5.607833673442589,7.799313684785748,7.721537167036743,True,False,True,True,True
24,980005,D2_REDESIGNED_Q050,18.20604477614757,7.962519859447518,6.694302598276653,10.990640389310183,9.45062993887732,True,False,True,True,True
24,980005,D2_REDESIGNED_Q100,19.279682531012224,7.364891518740664,7.430731486093742,13.395346228632969,12.176942340541652,False,False,True,True,True
24,980005,DIRECT_INTERFACE_Q100,51.33293962410313,5.790659608757019,11.358052370047735,47.86162896831091,47.5814593618834,False,False,True,True,False
24,980006,SHAM,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
24,980006,D1_LEGACY_Q005,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
24,980006,D1_REDESIGNED_Q005,5.008253230221503,2.4825694607224786,2.240708128217758,2.4986667508191447,2.4906372078672536,True,False,True,True,True
24,980006,D2_REDESIGNED_Q005,8.293720950235441,4.705149574205882,2.8287248762006807,3.603905977170936,3.549998801664332,True,False,True,True,True
24,980006,D2_REDESIGNED_Q020,15.84602168520685,8.999713180588433,5.5969975156424585,7.247235168330041,7.089463150051564,True,False,True,True,True
24,980006,D2_REDESIGNED_Q050,17.29435775562655,8.392726308816545,6.51590609829648,10.364365138167313,9.013180930761976,True,False,True,True,True
24,980006,D2_REDESIGNED_Q100,18.493082093593696,6.445899959613112,7.215963520561259,13.287108335541086,11.908177023536618,False,False,True,True,True
24,980006,DIRECT_INTERFACE_Q100,48.85023613595187,5.400952555593983,11.28013027331894,45.58231786648414,45.43551338511235,False,False,True,True,False
24,980007,SHAM,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
24,980007,D1_LEGACY_Q005,0.2091377298852788,0.22613131842751474,0.1016962050299361,0.08613827763743433,0.08513847082984573,True,True,True,False,True
24,980007,D1_REDESIGNED_Q005,5.26958405171329,2.6472804886133043,2.2090482066886743,2.5859964472551753,2.5655944602633793,True,False,True,True,True
24,980007,D2_REDESIGNED_Q005,8.365509195411159,4.620831259309939,2.909545971630997,3.434107063500034,3.3779293670292536,True,False,True,True,True
24,980007,D2_REDESIGNED_Q020,16.555317495899207,9.243941030632017,5.777204110019472,7.929439060078615,7.76856649821306,True,False,True,True,True
24,980007,D2_REDESIGNED_Q050,17.6347983580849,8.952585491664765,6.339664517548142,9.413580423677706,8.627102769151035,True,False,True,True,True
24,980007,D2_REDESIGNED_Q100,19.476539484461572,7.407628178207227,7.346742362886862,13.940082837906301,12.664516972980223,True,False,True,True,True
24,980007,DIRECT_INTERFACE_Q100,47.29729935960329,5.397410774132525,10.5055683378094,43.993345444312745,43.80853123207774,False,False,True,True,False
24,980008,SHAM,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
24,980008,D1_LEGACY_Q005,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
24,980008,D1_REDESIGNED_Q005,6.706463854340998,3.0828104581023887,2.917781645205268,3.150104085319644,3.1025940933200786,True,False,True,True,True
24,980008,D2_REDESIGNED_Q005,8.379044037103828,4.800540072742333,2.5879241122413825,3.673822615235786,3.6222211226921517,True,False,True,True,True
