law_index,condition,seed,n_meas,sum_P,sum_M,sum_PP,sum_MM,sum_PM,mean_P,mean_M,mean_turnover,probe_count,cross_cadence_endpoints,eligible_seed,n_tracks,long_tracks,mean_track_obs,max_track_obs,censored_tracks,births,splits,merges,ambiguous
17,ON,7003,933,772.1518634964802,845.6440734024429,647.2316458651022,811.31172330643,713.002166638492,0.8276011398676101,0.9063709254045477,0.09362907459545235,6,0,False,117,18,4.641025641025641,52,105,117,7,2,0
18,OFF,7001,379,274.9450212669569,194.0235768984054,203.71003594522168,118.32482828766157,145.76116167458468,0.7254486049260077,0.5119355590986949,0.488064440901305,13,0,False,183,5,2.26775956284153,35,171,183,10,10,0
18,OFF,7002,357,255.72211580204214,162.29987436571363,186.92208249897783,89.64407000389987,120.33854518727068,0.7163084476247679,0.4546214968227273,0.5453785031772728,25,3,True,239,4,1.9790794979079498,26,218,239,13,13,1
18,OFF,7003,404,279.446223167106,169.6462508208398,198.2178307362544,94.33686060175575,123.52280663202356,0.6916985721958069,0.4199164624278213,0.5800835375721787,16,0,False,218,7,2.1788990825688073,20,209,218,8,16,1
18,ON,7001,368,256.9598574111695,159.07250592544716,181.96974004917965,99.17754731774615,114.20242673039031,0.6982604820955692,0.43226224436262817,0.567737755637372,11,0,False,319,4,1.890282131661442,10,301,319,6,9,1
18,ON,7002,436,300.0194629006538,174.10934933920865,209.99103498226154,99.51550919789732,123.52953721685947,0.6881180341758115,0.39933337004405656,0.6006666299559436,16,0,False,302,6,2.0496688741721854,11,278,302,17,12,1
18,ON,7003,438,298.44017301340733,161.3569380636564,207.20448321753605,88.3319260469496,113.12425141061165,0.6813702580214779,0.3683948357617726,0.6316051642382275,17,0,False,295,4,2.1186440677966103,10,274,295,12,8,2
19,OFF,7001,1713,1591.5741661414684,1643.5981040201627,1489.167018066322,1604.5508234235865,1538.5847409582427,0.9291150999074538,0.9594851745593478,0.04051482544065216,11,3,True,25,21,25.92,61,4,25,0,0,0
19,OFF,7002,1473,1359.6788574482725,1396.5114683476158,1264.3410765444132,1350.6797121762033,1299.1204781983893,0.9230677918861321,0.9480729588239075,0.051927041176093786,8,0,False,31,18,18.451612903225808,61,13,31,1,9,0
19,OFF,7003,1445,1327.4201124914994,1378.7688702078794,1230.731290539236,1344.480402767804,1278.5028465642822,0.9186298356342556,0.9541653081023387,0.04583469189766125,6,0,False,34,19,16.647058823529413,61,16,34,0,2,1
19,ON,7001,2269,1933.4353380896218,2128.4983575634838,1663.0802083135216,2064.6003377104485,1834.290359321692,0.8521090075317858,0.9380777247965992,0.061922275203398346,11,0,False,112,35,8.991071428571429,60,76,112,6,4,2
19,ON,7002,1617,1374.1263842494766,1529.5260101010067,1177.253156922619,1488.9060887333953,1312.3237856290875,0.8497998665735786,0.9459035312931395,0.05409646870685832,1,0,False,106,24,7.0754716981132075,54,82,106,2,3,0
19,ON,7003,1844,1561.0506744413249,1742.783612221111,1333.060056294658,1699.668582314545,1491.4362956996936,0.8465567648814126,0.945110418775006,0.05488958122499338,6,0,False,128,31,6.828125,55,101,128,6,3,1
