law_index,condition,seed,n_meas,mean_P,mean_M,min_M,probe_count,eligible_seed,n_tracks,max_track_obs,long_tracks,mean_abs_circulation,total_mass_drift,exchange_rate
0,OFF,8001,174,0.9938892819836761,0.978291195087981,0.9235457632127472,0,False,5,22,4,0.00011643246372905475,2.8466610417423323e-16,0.0
0,OFF,8002,83,0.9879958637425441,0.9855588315945452,0.9617048333896518,0,False,2,31,1,0.0003398925333101613,2.509665977027914e-16,0.0
0,OFF,8003,154,0.9829098626513514,0.9702646352414591,0.8200677263787257,0,False,2,31,2,0.00012262951463371362,0.0,0.0
0,ON,8001,472,0.9596031777272813,0.9133097981328403,0.31843599773180853,0,False,22,26,13,0.00023856034370379762,2.8466610417423323e-16,0.34489603024574667
0,ON,8002,1234,0.9697887397518467,0.9209487550910803,0.2063404552850245,8,False,38,28,25,0.0003873957431748508,1.254832988513957e-16,0.34489603024574667
0,ON,8003,570,0.9700134882187977,0.9279923271357546,0.2858672063075827,0,False,14,27,10,0.00013312480116968296,1.6085650405883476e-16,0.34489603024574667
1,OFF,8001,89,0.9919236946879172,0.9927810098599478,0.9787268456759325,0,False,5,21,2,0.00019837274479678646,2.7604828266114607e-16,0.0
1,OFF,8002,85,0.9887575392000402,0.993796063581838,0.9169896170022828,0,False,2,31,1,0.0003150702031198399,2.4336897609264827e-16,0.0
1,OFF,8003,136,0.9786309611843099,0.9819682551043435,0.8461420451684838,0,False,2,31,2,0.00011768422682791322,0.0,0.0
1,ON,8001,350,0.9780414784122015,0.9302992978074238,0.4925556642808809,1,True,8,30,5,0.0004645199453949282,2.7604828266114607e-16,0.3775047258979206
1,ON,8002,241,0.9468509976673631,0.8774866560703078,0.10638308584081597,1,False,14,24,5,0.0007134955153996132,1.2168448804632413e-16,0.3775047258979206
1,ON,8003,196,0.967908230251157,0.9220295046283111,0.4398917390550342,1,False,5,25,4,0.0006583028442581086,3.119736494734823e-16,0.3775047258979206
2,OFF,8001,83,0.9879047314459319,0.9896449578174099,0.9586818418986476,0,False,1,31,1,0.0002652857189720876,2.679369113222878e-16,0.0
2,OFF,8002,83,0.9807162101860165,0.9929130504207877,0.9700310563923124,0,False,1,31,1,2.3966471689025635e-05,2.362178497809212e-16,0.0
2,OFF,8003,83,0.9794590853778801,0.9893163781636638,0.955239946231291,0,False,1,31,1,0.00013070019713649767,3.0280665124250794e-16,0.0
2,ON,8001,80,0.9767692586770403,0.9508659015509595,0.7076850820748137,0,False,2,30,1,0.0005469215809529482,2.679369113222878e-16,0.4101134215500945
2,ON,8002,83,0.9834295783089932,0.9379263594849019,0.42510541401473295,2,True,1,31,1,0.00016547851129878767,1.181089248904606e-16,0.4101134215500945
2,ON,8003,83,0.9724101142094639,0.92094696773062,0.4195763232429409,2,True,1,31,1,0.00023993501880390652,1.5140332562125397e-16,0.4101134215500945
3,OFF,8001,83,0.9882637237114342,0.9899282284415177,0.9609638615356986,0,False,1,31,1,0.00041711933969824726,2.6028862011511382e-16,0.0
