seed,baseline,L,N,E,Gm,B,P,Gf
54002,0.5700315181315858,1.0766264404460175,0.6535335122829752,0.863814932720993,1.1656768252045717,0.876725008780308,1.0898099331244469,1.844158836374028
54008,0.7807585724090866,0.8448450408780469,1.1438818413718934,1.0579428038690875,1.4616354976636152,1.611268284629751,0.6769545881990644,1.851997701247495
54015,0.3368872976496063,0.2615776790063225,0.12229786850344518,0.6939803301961285,0.01746347346273385,0.39222758275999425,0.2584847645067108,0.728786535405027
54016,0.8392363024238625,0.23967620514103244,0.5911676936340133,2.035129387662268,0.9312442764142278,0.5919470231444436,0.3902243465408248,0.5809268234525953
54019,1.5164196601515965,0.7947459388074106,2.625972556192846,0.5477295238718152,0.567976388721943,0.33371994791423265,1.490412442511062,1.0194964057704101
54020,1.0721448186187459,0.5095089575218943,1.5397353312000017,0.5543473223797157,0.3621026455215907,0.779847865241181,0.6146906681114608,0.4573649870506908
54021,0.24806702743914338,0.050965887759865436,0.261987062979778,0.05380559050435021,0.13538454645068407,0.13745201205884197,0.041468285394243784,0.09740020588305462
54024,1.32687640810383,1.1734657984669818,1.7457251068718485,1.2440096588092342,1.1041386086055374,0.6905109313695063,1.3126589389422494,1.1352459830155175
54026,2.5603982283374234,1.706536655685363,2.757681400085906,2.433695671814358,1.1416188219246828,1.4541492577090227,1.9306131336427539,1.2920320748498009
54027,0.40845877978802564,0.6776877110661483,0.3528113664975567,1.3099083830971523,2.2291061667483185,0.998003530364641,0.826509939885409,0.9412153675070755
54029,1.1705384866075315,0.6358293676059611,1.358892009555562,0.6834914345173249,0.7739988273293493,0.9816855213007895,1.0451950721932934,0.6668211205464372
54032,0.8983627883955271,0.48165927360545835,0.7176140519759147,0.5334880285198743,0.4595971039803522,1.0024700246763232,0.39616725152753346,0.5664836726201667
54034,1.9477336433359707,1.014292044908368,1.7750518697570434,1.7043905591307147,2.558477644867894,1.772099224045406,1.4407148263784184,1.6487949587050643
54035,2.2505119127950777,1.3086601900410673,2.9886113623977213,1.1017229610336459,1.5076082621806057,1.4012784805080767,1.9180989940847273,0.7023402059397096
54036,0.9174579887116593,0.2626357317627273,1.1278766661917896,0.5645681170682464,3.87016194723582,0.8513797775341396,0.25248319049700924,2.396902518731847
54038,1.159788669446373,0.9937372530231003,1.0215213768943658,0.3801981565452212,1.4787333963472427,0.7666160934699852,1.469803855822146,1.6431365935724027
54040,0.4237542161513227,0.5148475528087919,0.34261282446400265,0.8812112192654473,0.6671673243562398,0.26265774964469174,1.4057061378597744,0.5409856339022818
54043,0.559217695854109,0.1635707409365982,0.8686271619023661,0.5125875256615187,0.2620566326724533,0.2837233840111378,0.2221322278508297,0.24581104662859085
54045,2.520763054784513,0.871569905329865,2.4715755813151103,0.456125084279217,1.735900361837213,1.32136699038056,1.5283517367099289,1.1402944971896922
54046,0.4517283097495309,0.2991064042904504,0.42934031730709904,0.41581020658413276,0.9577665511756026,0.4504288735616341,0.36007733776701684,0.8481967898117666
54049,0.3028182686007921,0.07604836795177256,0.19980985730666936,0.28015852045333134,0.8489323331929237,0.03484260739633975,0.030639011888234417,0.3637857239728875
