seed,deep_step,intact_uptake,fractional_own_reduction,M_min,M_max,own,own_minus_sham,own_minus_neighbour,fixed_within_branch,plus_ablation_residual,half_own_minus_residual,full_ablation_residual
54002,888,1.8190530224785233,0.06570103827249617,0.18948884305682556,0.24964544972949682,0.11755537912279745,0.11755538702140596,0.11755539430550217,0.09544706730335739,0.01203410225845943,0.046743587302939295,0.0
54008,792,2.5318293441702338,0.05960909063861113,0.22762748887282658,0.249656912004637,0.1468548004223793,0.14685480049221633,0.14685482799762428,0.11995061586976652,0.01932922075329439,0.05409817945789527,0.0
54015,741,4.365021381203548,0.05705892203176954,0.1953491810998986,0.2499750506918562,0.24871065238259504,0.24871065586521132,0.24871073746028957,0.23702858267236726,0.03252859707102074,0.09182672912027678,0.0
54016,844,3.4943121381510047,0.049327401127307234,0.1420295142796169,0.24992518765102165,0.19144055454128361,0.19144056517134653,0.19144060029559432,0.1292707253805044,0.010021704695513408,0.0856985725751284,0.0
54019,856,2.5263339047694995,0.04969314230104705,0.12288866476294115,0.24976116540259816,0.13123638180419425,0.13123639182132174,0.13123640338075337,0.1253931437676116,0.014925168279965447,0.05069302262213168,0.0
54020,716,4.145516644713719,0.05096846403725382,0.11040420029690902,0.2495620240386495,0.2224768273692581,0.22247683060253345,0.22247689343015117,0.19144613216369288,0.027966604962832504,0.08327180872179656,0.0
54021,814,2.763932031700751,0.059602535732561336,0.2167013451678018,0.2498595320762178,0.16728105912502622,0.16728106380519522,0.1672810957894527,0.14859182022254913,0.012900363931391823,0.07074016563112129,0.0
54024,810,2.9653411120815236,0.0627697891255602,0.19801731001269118,0.2498345889087769,0.1899670408708909,0.18996704949688326,0.18996707735083898,0.13514472584236156,0.030620430652395687,0.06436308978304976,0.0
54026,814,3.2326743075057482,0.051266566761542696,0.21464691373200742,0.2499366557653558,0.17186274571917579,0.17186275435052534,0.17186279006655333,0.14647686647641125,0.01898147880329004,0.06694989405629785,0.0
54027,906,2.2009319967163044,0.06684533815638596,0.18891360107854466,0.24987125816826933,0.13747654583652236,0.13747655063765896,0.1374765702480023,0.14150723517300734,0.012746811382365072,0.055991461535896105,0.0
54029,854,2.733109145110589,0.04929337460596136,0.16039732181318525,0.24993336481278602,0.1430523632577625,0.14305237164067255,0.14305238991167943,0.11146933836384758,0.011816452091705157,0.05970972953717609,0.0
54032,807,2.7569423542493454,0.03918104094657259,0.11560522483323822,0.24992727185636057,0.11311958029850129,0.11311958125119508,0.11311960579858216,0.08939452837234156,0.005373669467161779,0.051186120682088866,0.0
54034,863,2.5912724833467125,0.05456184980489397,0.1685270207681716,0.24982892376493746,0.14848254840871541,0.14848254947489084,0.1484825775764532,0.1700979466706353,0.022947769126697493,0.05129350507766021,0.0
54035,825,3.153993124430587,0.04798593472386966,0.16694155051039686,0.24958760895544418,0.12438675775709111,0.12438675881584664,0.12438679210588648,0.15014181348948333,-0.004182717812302987,0.06637609669084854,0.0
54036,889,1.663163984293272,0.06309823649591013,0.16576228188192327,0.24959903475983797,0.10087364945999,0.10087365373879294,0.10087365967853394,0.07665307800513022,0.011766314325505567,0.03867051040448943,0.0
54038,927,2.4577000569865857,0.06275112794479606,0.12979764574667033,0.24974814958814023,0.15634564144488663,0.1563456490715014,0.15634566541915254,0.1161505632372064,0.023739622023848977,0.054433198698594344,0.0
54040,724,3.1570182381947305,0.06970578871816575,0.21878286133089725,0.24965894212389014,0.2158848606825734,0.21588486488562864,0.2158849041078378,0.15312364429238476,0.029932159345916014,0.07801027099537068,0.0
54043,806,3.021851597284067,0.05830039906815978,0.20660796644431811,0.2498770497624978,0.17807825099998187,0.17807825462305646,0.178078287902922,0.15213301211803096,0.016791310762181027,0.0722478147378099,0.0
54045,770,3.7890571087032163,0.04911746871522519,0.1909995496165178,0.24980651925291586,0.19078310631347817,0.19078311882651086,0.19078315774861063,0.1621248105554202,0.019740513026497226,0.07565104013024186,0.0
54046,709,5.94364245330149,0.04346990023124626,0.1451121072343805,0.24976528882456686,0.25757848231577274,0.25757848194530125,0.2575786170061242,0.20979321424552477,0.04365486368520995,0.08513437747267642,0.0
54049,814,1.8572792265602052,0.058698456401112986,0.21579402389398802,0.24989774560646322,0.1082975756853571,0.108297578942477,0.10829758916476528,0.12396827542397297,0.007331761853617798,0.046817025989060755,0.0
