block,delay,first_probe,first_realized,quantum,second_capacity,second_realized,second_reject_reason,second_rejected,size
L24_S990000,1,True,2.099374250876334,2.099374250876334,87.42865643191519,2.099374250876334,NONE,False,24
L24_S990000,2,True,2.099374250876334,2.099374250876334,87.40671967194821,2.099374250876334,NONE,False,24
L24_S990000,4,True,2.099374250876334,2.099374250876334,87.36492671613954,2.099374250876334,NONE,False,24
L24_S990000,8,True,2.099374250876334,2.099374250876334,87.28847018275725,2.099374250876334,NONE,False,24
L24_S990000,16,True,2.099374250876334,2.099374250876334,87.15746750888957,2.099374250876334,NONE,False,24
L24_S990000,32,True,2.099374250876334,2.099374250876334,86.95333661338996,2.099374250876334,NONE,False,24
L24_S990000,64,True,2.099374250876334,2.099374250876334,86.67006637567454,2.099374250876334,NONE,False,24
L24_S990000,1,False,,2.099374250876334,89.54546693127376,2.099374250876334,NONE,False,24
L24_S990000,2,False,,2.099374250876334,89.54021725827933,2.099374250876334,NONE,False,24
L24_S990000,4,False,,2.099374250876334,89.52976529886192,2.099374250876334,NONE,False,24
L24_S990000,8,False,,2.099374250876334,89.50904817131375,2.099374250876334,NONE,False,24
L24_S990000,16,False,,2.099374250876334,89.46833974455774,2.099374250876334,NONE,False,24
L24_S990000,32,False,,2.099374250876334,89.38966603427694,2.099374250876334,NONE,False,24
L24_S990000,64,False,,2.099374250876334,89.2421584524631,2.099374250876334,NONE,False,24
L24_S990001,1,True,2.0601601948765107,2.0601601948765107,85.69514682051482,2.060160194876511,NONE,False,24
L24_S990001,2,True,2.0601601948765107,2.0601601948765107,85.66522427158445,2.0601601948765107,NONE,False,24
L24_S990001,4,True,2.0601601948765107,2.0601601948765107,85.60917761931879,2.0601601948765107,NONE,False,24
L24_S990001,8,True,2.0601601948765107,2.0601601948765107,85.50977342597112,2.0601601948765107,NONE,False,24
L24_S990001,16,True,2.0601601948765107,2.0601601948765107,85.34827215466848,2.060160194876511,NONE,False,24
L24_S990001,32,True,2.0601601948765107,2.0601601948765107,84.69087578400953,2.0601601948765107,NONE,False,24
L24_S990001,64,True,2.0601601948765107,2.0601601948765107,83.99776873165209,2.0601601948765107,NONE,False,24
L24_S990001,1,False,,2.0601601948765107,87.78213415616439,2.0601601948765107,NONE,False,24
L24_S990001,2,False,,2.0601601948765107,87.77763239283259,2.0601601948765103,NONE,False,24
L24_S990001,4,False,,2.0601601948765107,87.76866705219892,2.0601601948765107,NONE,False,24
L24_S990001,8,False,,2.0601601948765107,87.75088694315887,2.060160194876511,NONE,False,24
L24_S990001,16,False,,2.0601601948765107,87.71591219131818,2.0601601948765107,NONE,False,24
L24_S990001,32,False,,2.0601601948765107,87.64817828650223,2.0601601948765107,NONE,False,24
L24_S990001,64,False,,2.0601601948765107,87.5206808585454,2.0601601948765107,NONE,False,24
L24_S990002,1,True,2.066596319376428,2.0665963193764276,81.20354539417522,2.0665963193764276,NONE,False,24
L24_S990002,2,True,2.066596319376428,2.0665963193764276,81.17106345805149,2.0665963193764276,NONE,False,24
L24_S990002,4,True,2.066596319376428,2.0665963193764276,81.10988816260867,2.0665963193764276,NONE,False,24
L24_S990002,8,True,2.066596319376428,2.0665963193764276,81.00033268374277,2.0665963193764276,NONE,False,24
L24_S990002,16,True,2.066596319376428,2.0665963193764276,81.28079044535214,2.0665963193764276,NONE,False,24
L24_S990002,32,True,2.066596319376428,2.0665963193764276,80.59644200296833,2.0665963193764276,NONE,False,24
L24_S990002,64,True,2.066596319376428,2.0665963193764276,79.4301940738176,2.0665963193764276,NONE,False,24
L24_S990002,1,False,,2.0665963193764276,83.72107961839214,2.0665963193764276,NONE,False,24
L24_S990002,2,False,,2.0665963193764276,83.71533716747821,2.0665963193764276,NONE,False,24
L24_S990002,4,False,,2.0665963193764276,83.70390665739083,2.066596319376428,NONE,False,24
L24_S990002,8,False,,2.0665963193764276,83.68125963340353,2.0665963193764276,NONE,False,24
L24_S990002,16,False,,2.0665963193764276,83.6367940853118,2.0665963193764276,NONE,False,24
L24_S990002,32,False,,2.0665963193764276,83.55097309354743,2.0665963193764276,NONE,False,24
L24_S990002,64,False,,2.0665963193764276,83.3903600710976,2.0665963193764276,NONE,False,24
L24_S990003,1,True,2.1045474155470014,2.1045474155470014,81.26331849625805,2.1045474155470014,NONE,False,24
L24_S990003,2,True,2.1045474155470014,2.1045474155470014,81.2303587220379,2.1045474155470014,NONE,False,24
L24_S990003,4,True,2.1045474155470014,2.1045474155470014,81.16866788767673,2.1045474155470014,NONE,False,24
L24_S990003,8,True,2.1045474155470014,2.1045474155470014,81.0592435538848,2.1045474155470014,NONE,False,24
L24_S990003,16,True,2.1045474155470014,2.1045474155470014,80.88076182128498,2.1045474155470014,NONE,False,24
L24_S990003,32,True,2.1045474155470014,2.1045474155470014,80.62159724005566,2.1045474155470014,NONE,False,24
L24_S990003,64,True,2.1045474155470014,2.1045474155470014,79.85122592173887,2.1045474155470014,NONE,False,24
L24_S990003,1,False,,2.1045474155470014,83.39665049350786,2.1045474155470014,NONE,False,24
L24_S990003,2,False,,2.1045474155470014,83.39089744895738,2.1045474155470014,NONE,False,24
L24_S990003,4,False,,2.1045474155470014,83.37943837397454,2.1045474155470014,NONE,False,24
L24_S990003,8,False,,2.1045474155470014,83.35670603508083,2.1045474155470014,NONE,False,24
L24_S990003,16,False,,2.1045474155470014,83.31196714615514,2.1045474155470014,NONE,False,24
L24_S990003,32,False,,2.1045474155470014,83.2252604820402,2.1045474155470014,NONE,False,24
L24_S990003,64,False,,2.1045474155470014,83.06198301385245,2.1045474155470014,NONE,False,24
L24_S990004,1,True,2.0530731060072815,2.0530731060072815,75.591661126568,2.0530731060072815,NONE,False,24
L24_S990004,2,True,2.0530731060072815,2.0530731060072815,75.56698112017575,2.0530731060072815,NONE,False,24
L24_S990004,4,True,2.0530731060072815,2.0530731060072815,75.52061090090348,2.0530731060072815,NONE,False,24
L24_S990004,8,True,2.0530731060072815,2.0530731060072815,75.437822349829,2.0530731060072815,NONE,False,24
L24_S990004,16,True,2.0530731060072815,2.0530731060072815,75.30154108309395,2.0530731060072815,NONE,False,24
L24_S990004,32,True,2.0530731060072815,2.0530731060072815,74.23182789274456,2.0530731060072815,NONE,False,24
L24_S990004,64,True,2.0530731060072815,2.0530731060072815,74.05029372691533,2.0530731060072815,NONE,False,24
L24_S990004,1,False,,2.0530731060072815,77.66660046656001,2.0530731060072815,NONE,False,24
L24_S990004,2,False,,2.0530731060072815,77.66267523124483,2.0530731060072815,NONE,False,24
L24_S990004,4,False,,2.0530731060072815,77.65485552682264,2.0530731060072815,NONE,False,24
L24_S990004,8,False,,2.0530731060072815,77.63933757700995,2.0530731060072815,NONE,False,24
L24_S990004,16,False,,2.0530731060072815,77.6087750458514,2.0530731060072815,NONE,False,24
L24_S990004,32,False,,2.0530731060072815,77.54944940484039,2.0530731060072815,NONE,False,24
L24_S990004,64,False,,2.0530731060072815,77.43732381502323,2.0530731060072815,NONE,False,24
L24_S990005,1,True,2.0546663847915463,2.0546663847915463,83.85007640925747,2.0546663847915463,NONE,False,24
L24_S990005,2,True,2.0546663847915463,2.0546663847915463,83.8181523105294,2.0546663847915463,NONE,False,24
L24_S990005,4,True,2.0546663847915463,2.0546663847915463,83.75820566742237,2.0546663847915463,NONE,False,24
L24_S990005,8,True,2.0546663847915463,2.0546663847915463,83.65137271719796,2.0546663847915463,NONE,False,24
L24_S990005,16,True,2.0546663847915463,2.0546663847915463,83.47622687530021,2.0546663847915463,NONE,False,24
L24_S990005,32,True,2.0546663847915463,2.0546663847915463,83.22113690008196,2.0546663847915463,NONE,False,24
L24_S990005,64,True,2.0546663847915463,2.0546663847915463,82.00705997870384,2.0546663847915463,NONE,False,24
L24_S990005,1,False,,2.0546663847915463,85.93210051412078,2.0546663847915463,NONE,False,24
L24_S990005,2,False,,2.0546663847915463,85.92609900508995,2.0546663847915463,NONE,False,24
L24_S990005,4,False,,2.0546663847915463,85.91415707394752,2.0546663847915463,NONE,False,24
L24_S990005,8,False,,2.0546663847915463,85.8905139212109,2.0546663847915463,NONE,False,24
L24_S990005,16,False,,2.0546663847915463,85.84416230438642,2.0546663847915463,NONE,False,24
L24_S990005,32,False,,2.0546663847915463,85.75498693293709,2.0546663847915463,NONE,False,24
L24_S990005,64,False,,2.0546663847915463,85.58926083752273,2.0546663847915463,NONE,False,24
L24_S990006,1,True,2.0690836947789912,2.069083694778991,76.92553237582855,2.069083694778991,NONE,False,24
L24_S990006,2,True,2.0690836947789912,2.069083694778991,76.89884647191491,2.069083694778991,NONE,False,24
L24_S990006,4,True,2.0690836947789912,2.069083694778991,76.84821171134311,2.069083694778991,NONE,False,24
L24_S990006,8,True,2.0690836947789912,2.069083694778991,76.7563415352711,2.069083694778991,NONE,False,24
L24_S990006,16,True,2.0690836947789912,2.069083694778991,76.60145949791763,2.069083694778991,NONE,False,24
L24_S990006,32,True,2.0690836947789912,2.069083694778991,75.49588465048559,2.069083694778991,NONE,False,24
L24_S990006,64,True,2.0690836947789912,2.069083694778991,75.26256498563633,2.069083694778991,NONE,False,24
L24_S990006,1,False,,2.069083694778991,79.01790888685628,2.069083694778991,NONE,False,24
L24_S990006,2,False,,2.069083694778991,79.01352455446516,2.0690836947789903,NONE,False,24
L24_S990006,4,False,,2.069083694778991,79.00479332827855,2.0690836947789903,NONE,False,24
L24_S990006,8,False,,2.069083694778991,78.98747851597106,2.069083694778991,NONE,False,24
L24_S990006,16,False,,2.069083694778991,78.95342307834343,2.069083694778991,NONE,False,24
L24_S990006,32,False,,2.069083694778991,78.88748606373832,2.069083694778991,NONE,False,24
L24_S990006,64,False,,2.069083694778991,78.76343833861463,2.069083694778991,NONE,False,24
L24_S990007,1,True,2.0223025870444875,2.022302587044487,76.71179907452182,2.022302587044487,NONE,False,24
L24_S990007,2,True,2.0223025870444875,2.022302587044487,76.67924222804139,2.0223025870444866,NONE,False,24
L24_S990007,4,True,2.0223025870444875,2.022302587044487,76.6181669382182,2.022302587044487,NONE,False,24
L24_S990007,8,True,2.0223025870444875,2.022302587044487,76.50956954707526,2.022302587044487,NONE,False,24
L24_S990007,16,True,2.0223025870444875,2.022302587044487,76.33255161038302,2.022302587044487,NONE,False,24
L24_S990007,32,True,2.0223025870444875,2.022302587044487,76.07869501727353,2.022302587044487,NONE,False,24
L24_S990007,64,True,2.0223025870444875,2.022302587044487,74.89017978464726,2.022302587044487,NONE,False,24
L24_S990007,1,False,,2.022302587044487,79.0826929660486,2.022302587044487,NONE,False,24
L24_S990007,2,False,,2.022302587044487,79.0779899433312,2.0223025870444866,NONE,False,24
L24_S990007,4,False,,2.022302587044487,79.0686327770823,2.022302587044487,NONE,False,24
L24_S990007,8,False,,2.022302587044487,79.0501109176126,2.022302587044487,NONE,False,24
L24_S990007,16,False,,2.022302587044487,79.01381358563042,2.022302587044487,NONE,False,24
L24_S990007,32,False,,2.022302587044487,78.9440289784814,2.0223025870444866,NONE,False,24
L24_S990007,64,False,,2.022302587044487,78.3645247734809,2.022302587044487,NONE,False,24
L24_S990008,1,True,2.052574648278139,2.052574648278139,74.5950386477326,2.052574648278139,NONE,False,24
L24_S990008,2,True,2.052574648278139,2.052574648278139,74.56603580002695,2.052574648278139,NONE,False,24
L24_S990008,4,True,2.052574648278139,2.052574648278139,74.51129652243804,2.0525746482781395,NONE,False,24
L24_S990008,8,True,2.052574648278139,2.052574648278139,74.4128783195387,2.052574648278139,NONE,False,24
L24_S990008,16,True,2.052574648278139,2.052574648278139,74.24924531489037,2.052574648278139,NONE,False,24
L24_S990008,32,True,2.052574648278139,2.052574648278139,74.0059672093068,2.052574648278139,NONE,False,24
L24_S990008,64,True,2.052574648278139,2.052574648278139,73.26960408105964,2.052574648278139,NONE,False,24
L24_S990008,1,False,,2.052574648278139,76.80743168186449,2.052574648278139,NONE,False,24
L24_S990008,2,False,,2.052574648278139,76.80233880732413,2.052574648278139,NONE,False,24
L24_S990008,4,False,,2.052574648278139,76.79219821595294,2.052574648278139,NONE,False,24
L24_S990008,8,False,,2.052574648278139,76.77209497370109,2.052574648278139,NONE,False,24
L24_S990008,16,False,,2.052574648278139,76.7325795030943,2.052574648278139,NONE,False,24
L24_S990008,32,False,,2.052574648278139,76.65615804005469,2.052574648278139,NONE,False,24
L24_S990008,64,False,,2.052574648278139,76.51267256646547,2.052574648278139,NONE,False,24
L32_S990100,1,True,3.739802815705382,3.7398028157053815,144.7066759074206,3.7398028157053824,NONE,False,32
L32_S990100,2,True,3.739802815705382,3.7398028157053815,144.66082584093576,3.739802815705382,NONE,False,32
L32_S990100,4,True,3.739802815705382,3.7398028157053815,144.57763419759493,3.7398028157053815,NONE,False,32
L32_S990100,8,True,3.739802815705382,3.7398028157053815,145.47100298927893,3.739802815705382,NONE,False,32
L32_S990100,16,True,3.739802815705382,3.7398028157053815,144.80382446806658,3.7398028157053824,NONE,False,32
