M256,PHI_over_M256_per_1000,PHI_per_step,block,bound_by,delivered_fraction,delivered_total,identity_residual,n_events,n_rejected,placement,planned_total,quantum,reject_causes,size,spacing,track_alive_at_end,window
167.94994007010672,0.15938958655037086,0.026769471508933874,L24_S990000,"{""PLANNED"": 9, ""SOURCE"": 2039, ""SINK"": 0}",0.01275116692402995,54.82387765029657,3.3306690738754696e-15,2048,0,INTERFACE,4299.518465794637,2.099374250876334,{},24,1,True,2048
167.94994007010672,0.15809465924280489,0.026551988545233024,L24_S990000,"{""PLANNED"": 9, ""SOURCE"": 503, ""SINK"": 0}",0.050590290957698195,54.37847254063723,4.551914400963142e-15,512,0,INTERFACE,1074.8796164486696,2.099374250876334,{},24,4,True,2048
167.94994007010672,0.1534180412430075,0.025766550832436272,L24_S990000,"{""PLANNED"": 11, ""SOURCE"": 117, ""SINK"": 0}",0.1963750927910493,52.769896104829485,5.773159728050814e-15,128,0,INTERFACE,268.71990411217115,2.099374250876334,{},24,16,True,2048
167.94994007010672,0.13588354739400574,0.02282163364133677,L24_S990000,"{""PLANNED"": 15, ""SOURCE"": 17, ""SINK"": 0}",0.6957237626573087,46.7387056974577,4.551914400963142e-15,32,0,INTERFACE,67.17997602804274,2.099374250876334,{},24,64,True,2048
167.94994007010672,0.24711070011182848,0.041502227274463704,L24_S990000,"{""PLANNED"": 9, ""SOURCE"": 243, ""SINK"": 29}",0.019768856008946713,84.99656145810167,3.1086244689504383e-15,2048,1767,DISPERSED,4299.518465794637,2.099374250876334,"{""NO_SINK_CAPACITY"": 1767}",24,1,True,2048
167.94994007010672,0.25125742181973104,0.04219866893679335,L24_S990000,"{""PLANNED"": 11, ""SOURCE"": 65, ""SINK"": 16}",0.08040237498231494,86.42287398255279,3.6637359812630166e-15,512,420,DISPERSED,1074.8796164486696,2.099374250876334,"{""NO_SINK_CAPACITY"": 420}",24,4,True,2048
167.94994007010672,0.24536140873413723,0.041208433892415304,L24_S990000,"{""PLANNED"": 35, ""SOURCE"": 0, ""SINK"": 19}",0.31406260317969514,84.39487261166654,3.774758283725532e-15,128,74,DISPERSED,268.71990411217115,2.099374250876334,"{""NO_SINK_CAPACITY"": 74}",24,16,True,2048
167.94994007010672,0.19387541621005222,0.032561364533545266,L24_S990000,"{""PLANNED"": 31, ""SOURCE"": 0, ""SINK"": 1}",0.9926421309954665,66.6856745647007,4.3298697960381105e-15,32,0,DISPERSED,67.17997602804274,2.099374250876334,{},24,64,True,2048
164.81281559012086,0.1685700244113818,0.027782500347335242,L24_S990001,"{""PLANNED"": 10, ""SOURCE"": 2038, ""SINK"": 0}",0.01348560195291051,56.898560711342576,6.106226635438361e-15,2048,0,INTERFACE,4219.208079107105,2.0601601948765107,{},24,1,True,2048
164.81281559012086,0.16638839553626297,0.0274229399498542,L24_S990001,"{""PLANNED"": 10, ""SOURCE"": 502, ""SINK"": 0}",0.053244286571604016,56.1621810173014,4.773959005888173e-15,512,0,INTERFACE,1054.8020197767762,2.0601601948765107,{},24,4,True,2048
164.81281559012086,0.1613582328202193,0.026593904669746593,L24_S990001,"{""PLANNED"": 12, ""SOURCE"": 116, ""SINK"": 0}",0.2065385380098803,54.46431676364102,4.107825191113079e-15,128,0,INTERFACE,263.7005049441939,2.0601601948765107,{},24,16,True,2048
164.81281559012086,0.14204001786028045,0.023410015270023874,L24_S990001,"{""PLANNED"": 16, ""SOURCE"": 16, ""SINK"": 0}",0.7272448914446362,47.943711273008894,6.328271240363392e-15,32,0,INTERFACE,65.92512623604831,2.0601601948765107,{},24,64,True,2048
164.81281559012086,0.23746823074448067,0.03913780772220236,L24_S990001,"{""PLANNED"": 10, ""SOURCE"": 254, ""SINK"": 27}",0.018997458459558404,80.15423021507043,3.4416913763379853e-15,2048,1757,DISPERSED,4219.208079107105,2.0601601948765107,"{""NO_SINK_CAPACITY"": 1757}",24,1,True,2048
164.81281559012086,0.2459125760731338,0.04052954405163297,L24_S990001,"{""PLANNED"": 14, ""SOURCE"": 69, ""SINK"": 20}",0.07869202434340261,83.00450621774432,5.995204332975845e-15,512,409,DISPERSED,1054.8020197767762,2.0601601948765107,"{""NO_SINK_CAPACITY"": 409}",24,4,True,2048
164.81281559012086,0.23855346757231563,0.03931666865937994,L24_S990001,"{""PLANNED"": 35, ""SOURCE"": 0, ""SINK"": 13}",0.3053484384925635,80.52053741441011,3.774758283725532e-15,128,80,DISPERSED,263.7005049441939,2.0601601948765107,"{""NO_SINK_CAPACITY"": 80}",24,16,True,2048
164.81281559012086,0.1869727484516851,0.030815505110945635,L24_S990001,"{""PLANNED"": 29, ""SOURCE"": 0, ""SINK"": 2}",0.9573004720726283,63.11015446721666,4.551914400963142e-15,32,1,DISPERSED,65.92512623604831,2.0601601948765107,"{""NO_SINK_CAPACITY"": 1}",24,64,True,2048
165.32770555011422,0.17815659612105786,0.029454221265312875,L24_S990002,"{""PLANNED"": 11, ""SOURCE"": 2037, ""SINK"": 0}",0.014252527689684557,60.32224515136077,3.774758283725532e-15,2048,0,INTERFACE,4232.389262082946,2.0665963193764276,{},24,1,True,2048
165.32770555011422,0.17569835526785837,0.02904780594536385,L24_S990002,"{""PLANNED"": 11, ""SOURCE"": 501, ""SINK"": 0}",0.05622347368571442,59.48990657610516,5.551115123125783e-15,512,0,INTERFACE,1058.097315520736,2.0665963193764276,{},24,4,True,2048
165.32770555011422,0.1683983019056043,0.027840904872588983,L24_S990002,"{""PLANNED"": 13, ""SOURCE"": 115, ""SINK"": 0}",0.2155498264391734,57.01817317906224,4.884981308350689e-15,128,0,INTERFACE,264.52432888018285,2.0665963193764276,{},24,16,True,2048
