DELIVERED_FRACTION,I0,M256,REPLACEMENT_EFFICIENCY,ambient_removed_total,arm,axis,block,bound_by,first_failure_time,first_failure_type,fresh_removed_total,incumbent_removed_over_M256,incumbent_removed_total,law,loss,max_global_balance_residual,max_identity_residual,merger,n_events,n_rejected,n_scheduled,planned_sink,quantum,realized_sink,realized_source,reject_causes,same_track_continuous,seed,size,split,terminal_A,terminal_F,terminal_F_over_T,terminal_I,terminal_I_over_I0,terminal_T,terminal_T_over_M256,terminal_area,terminal_boundary_site_turnover,terminal_incumbent_in_frozen_C256,terminal_jaccard_C256_Ct,terminal_mass_in_frozen_C256
,166.11466237515734,166.1146623751574,,0.0,SHAM,+x,LAW_16_L24_S950000,"{""PLANNED"": 0, ""SOURCE"": 0, ""SINK"": 0, ""OTHER"": 0}",,NONE,0.0,0.0,0.0,LAW_16,False,0.0,0.0,False,0,0,0,0.0,2.0764332796894673,0.0,0.0,{},True,950000,24,False,38.67113329202302,0.0,0.0,126.02043903984226,0.7586352537335607,164.6915723318653,0.9914330859001588,232,0.12077294685990338,119.20408206028647,0.8922413793103449,152.69808128246467
0.1546556207818975,166.11466237515734,166.1146623751574,0.7511019965452888,7.787634600985484,PARENT,+x,LAW_16_L24_S950000,"{""PLANNED"": 11, ""SOURCE"": 302, ""SINK"": 3, ""OTHER"": 0}",,NONE,17.789687968689254,0.46464858218493715,77.1849423527464,LAW_16,False,8.526512829121202e-14,1.021405182655144e-14,False,316,4,320,664.4586495006296,2.0764332796894673,102.76226492242112,102.76226492242115,"{""NO_SINK_CAPACITY"": 4}",True,950000,24,False,33.44896234283964,65.42882390792892,0.3922749627650355,67.9154840786442,0.4088470163173329,166.79327032941282,1.0040851779400595,213,0.9178743961352657,64.26794018414776,0.3770491803278688,119.61394225649146
1.0,166.11466237515734,166.1146623751574,0.02824560443334799,9.925375509370697,SRC_SINKSIDE,+x,LAW_16_L24_S950000,"{""PLANNED"": 320, ""SOURCE"": 0, ""SINK"": 0, ""OTHER"": 0}",,NONE,635.7652378151475,0.11298241773339196,18.7680361761114,LAW_16,False,1.1368683772161603e-13,3.1086244689504383e-15,False,320,0,320,664.4586495006296,2.0764332796894673,664.4586495006296,664.4586495006297,{},True,950000,24,False,33.0451882352099,16.628952413526672,0.10129859804558805,114.48363383539831,0.6891843994893463,164.1577744841349,0.9882196558507099,232,0.13043478260869565,108.59614074219252,0.8841201716738197,151.216193193039
,165.32565125826372,165.3256512582638,,0.0,SHAM,-x,LAW_16_L24_S950001,"{""PLANNED"": 0, ""SOURCE"": 0, ""SINK"": 0, ""OTHER"": 0}",,NONE,0.0,0.0,0.0,LAW_16,False,0.0,0.0,False,0,0,0,0.0,2.0665706407282975,0.0,0.0,{},True,950001,24,False,37.69016857725285,0.0,0.0,124.19570450522578,0.7512186013482763,161.8858730824786,0.9791939233288623,229,0.0947867298578199,119.23208943658398,0.9130434782608695,153.30446090038322
0.15983536523911002,165.32565125826372,165.3256512582638,0.7347612669851675,7.506269198952515,PARENT,-x,LAW_16_L24_S950001,"{""PLANNED"": 12, ""SOURCE"": 272, ""SINK"": 13, ""OTHER"": 0}",,NONE,20.529343775105605,0.46976334188850016,77.66393043497473,LAW_16,False,8.526512829121202e-14,8.881784197001252e-15,False,297,23,320,661.3026050330527,2.0665706407282975,105.6995434090329,105.6995434090329,"{""NO_SINK_CAPACITY"": 23}",True,950001,24,False,32.134485947347244,64.99337125125437,0.3962104672376963,66.90963455262778,0.4047141749836799,164.03749175122945,0.9922083506265942,210,0.8957345971563981,63.42559472696259,0.380327868852459,119.33961902857506
0.9999999999999998,165.32565125826372,165.3256512582638,0.02808216035539444,9.711271533443043,SRC_SINKSIDE,-x,LAW_16_L24_S950001,"{""PLANNED"": 320, ""SOURCE"": 0, ""SINK"": 0, ""OTHER"": 0}",,NONE,633.0205277016338,0.11232864142157732,18.57080579797826,LAW_16,False,5.684341886080802e-14,2.9976021664879227e-15,False,320,0,320,661.3026050330527,2.0665706407282975,661.3026050330526,661.3026050330526,{},True,950001,24,False,31.757981697372053,16.984852518293156,0.10515663649331367,112.77671495109738,0.6821489230060437,161.51954916676257,0.976978151529822,228,0.10900473933649289,108.91545451264301,0.9004329004329005,152.94531263232986
,166.50246015712943,166.5024601571295,,0.0,SHAM,+y,LAW_16_L24_S950002,"{""PLANNED"": 0, ""SOURCE"": 0, ""SINK"": 0, ""OTHER"": 0}",,NONE,0.0,0.0,0.0,LAW_16,False,0.0,0.0,False,0,0,0,0.0,2.0812807519641185,0.0,0.0,{},True,950002,24,False,38.54321141361526,0.0,0.0,125.33608741312004,0.7527581712296597,163.87929882673538,0.9842455100788384,232,0.0892018779342723,120.09859954420882,0.9181034482758621,154.70075035694438
0.15578236801137896,166.50246015712943,166.5024601571295,0.7293883216399941,7.1254012829510645,PARENT,+y,LAW_16_L24_S950002,"{""PLANNED"": 13, ""SOURCE"": 212, ""SINK"": 22, ""OTHER"": 0}",,NONE,20.951261256040322,0.4545033597796934,75.6759275529999,LAW_16,False,5.684341886080802e-14,8.215650382226158e-15,False,247,73,320,666.0098406285165,2.0812807519641185,103.75259009199141,103.75259009199141,"{""NO_SINK_CAPACITY"": 73}",True,950002,24,False,35.31810575327776,63.93541574483919,0.37448516503857826,71.47531294917754,0.4292748160100807,170.7288344472945,1.0253832543145402,221,0.8732394366197183,66.48073079818074,0.4,122.12905758110512
1.0,166.50246015712943,166.5024601571295,0.02502184680053101,9.12419811356894,SRC_SINKSIDE,+y,LAW_16_L24_S950002,"{""PLANNED"": 320, ""SOURCE"": 0, ""SINK"": 0, ""OTHER"": 0}",,NONE,640.2208463150957,0.10008738720212382,16.664796199852812,LAW_16,False,8.526512829121202e-14,3.1086244689504383e-15,False,320,0,320,666.0098406285165,2.0812807519641185,666.0098406285165,666.0098406285165,{},True,950002,24,False,33.476585331278585,15.917721360817861,0.09623476672391032,116.01079483929198,0.6967512355662003,165.40510153138837,0.9934093548845733,234,0.107981220657277,111.1502468187447,0.902127659574468,155.06891809536395
,171.18151079102523,171.1815107910253,,0.0,SHAM,-y,LAW_16_L24_S950003,"{""PLANNED"": 0, ""SOURCE"": 0, ""SINK"": 0, ""OTHER"": 0}",,NONE,0.0,0.0,0.0,LAW_16,False,0.0,0.0,False,0,0,0,0.0,2.139768884887816,0.0,0.0,{},True,950003,24,False,35.572239175849845,0.0,0.0,128.41331630898614,0.7501587976154177,163.98555548483597,0.9579630108827933,230,0.06422018348623854,125.05185110063928,0.9393939393939394,158.26407385170634
