M256,PHI_per_step,block,bound_by,delivered_fraction,delivered_total,incumbent_removed,n_events,n_rejected,planned_total,quantum,size,spacing,track_alive_at_end,window
166.1146623751574,0.02711137521527909,LAW_16_L24_S950000,"{""PLANNED"": 10, ""SOURCE"": 1014, ""SINK"": 0, ""OTHER"": 0}",0.02611340848797645,55.524096440891576,53.48528390292869,1024,0,2126.2676784019545,2.0764332796894673,24,2,True,2048
166.1146623751574,0.026612742685492508,LAW_16_L24_S950000,"{""PLANNED"": 10, ""SOURCE"": 246, ""SINK"": 0, ""OTHER"": 0}",0.10253252226615235,54.50289701988866,52.248566585353984,256,0,531.5669196005036,2.0764332796894673,24,8,True,2048
166.1146623751574,0.025116689666811923,LAW_16_L24_S950000,"{""PLANNED"": 13, ""SOURCE"": 51, ""SINK"": 0, ""OTHER"": 0}",0.3870743535078482,51.43898043763082,48.470510792666865,64,0,132.8917299001259,2.0764332796894673,24,32,True,2048
166.1146623751574,0.016222134997573964,LAW_16_L24_S950000,"{""PLANNED"": 16, ""SOURCE"": 0, ""SINK"": 0, ""OTHER"": 0}",1.0,33.22293247503148,29.71087999724144,16,0,33.22293247503148,2.0764332796894673,24,128,True,2048
165.3256512582638,0.028207975357529214,LAW_16_L24_S950001,"{""PLANNED"": 10, ""SOURCE"": 1014, ""SINK"": 0, ""OTHER"": 0}",0.02729930910814473,57.76993353221983,55.03634729780209,1024,0,2116.168336105774,2.0665706407282975,24,2,True,2048
165.3256512582638,0.027635396292746948,LAW_16_L24_S950001,"{""PLANNED"": 11, ""SOURCE"": 245, ""SINK"": 0, ""OTHER"": 0}",0.10698069835351119,56.59729160754575,54.11923734166732,256,0,529.0420840264424,2.0665706407282975,24,8,True,2048
165.3256512582638,0.02598203222115788,LAW_16_L24_S950001,"{""PLANNED"": 14, ""SOURCE"": 50, ""SINK"": 0, ""OTHER"": 0}",0.40232112790687946,53.211201988931336,50.52298841813667,64,0,132.26052100661119,2.0665706407282975,24,32,True,2048
165.3256512582638,0.016145083130689825,LAW_16_L24_S950001,"{""PLANNED"": 16, ""SOURCE"": 0, ""SINK"": 0, ""OTHER"": 0}",1.0,33.06513025165276,29.714617982247557,16,0,33.06513025165276,2.0665706407282975,24,128,True,2048
166.5024601571295,0.030415069503659797,LAW_16_L24_S950002,"{""PLANNED"": 11, ""SOURCE"": 1013, ""SINK"": 0, ""OTHER"": 0}",0.02922726256412693,62.290062343495265,58.13876884046242,1024,0,2131.231490011284,2.0812807519641185,24,2,True,2048
166.5024601571295,0.029585545309954487,LAW_16_L24_S950002,"{""PLANNED"": 12, ""SOURCE"": 244, ""SINK"": 0, ""OTHER"": 0}",0.11372053590380568,60.59119679478679,56.649600376126415,256,0,532.8078725028158,2.0812807519641185,24,8,True,2048
166.5024601571295,0.027679616192975633,LAW_16_L24_S950002,"{""PLANNED"": 15, ""SOURCE"": 49, ""SINK"": 0, ""OTHER"": 0}",0.4255782009896238,56.687853963214096,53.008144023400554,64,0,133.20196812570347,2.0812807519641185,24,32,True,2048
166.5024601571295,0.016260005874719676,LAW_16_L24_S950002,"{""PLANNED"": 16, ""SOURCE"": 0, ""SINK"": 0, ""OTHER"": 0}",1.0,33.3004920314259,30.730494743125327,16,0,33.3004920314259,2.0812807519641185,24,128,True,2048
171.1815107910253,0.03035687818499785,LAW_16_L24_S950003,"{""PLANNED"": 10, ""SOURCE"": 1014, ""SINK"": 0, ""OTHER"": 0}",0.028373978516459085,62.1708865228756,58.53033896473714,1024,0,2191.123338125167,2.139768884887816,24,2,True,2048
171.1815107910253,0.029527655435669313,LAW_16_L24_S950003,"{""PLANNED"": 11, ""SOURCE"": 245, ""SINK"": 0, ""OTHER"": 0}",0.11039568111943025,60.47263833225075,57.00697910412695,256,0,547.7808345312816,2.139768884887816,24,8,True,2048
171.1815107910253,0.027530195014662345,LAW_16_L24_S950003,"{""PLANNED"": 14, ""SOURCE"": 50, ""SINK"": 0, ""OTHER"": 0}",0.41171093134919695,56.38183939002848,52.92576097759461,64,0,136.94520863282017,2.139768884887816,24,32,True,2048
171.1815107910253,0.01671694441318606,LAW_16_L24_S950003,"{""PLANNED"": 16, ""SOURCE"": 0, ""SINK"": 0, ""OTHER"": 0}",1.0,34.23630215820505,31.214088813718188,16,0,34.23630215820505,2.139768884887816,24,128,True,2048
165.38829733000193,0.02828443963089979,LAW_16_L24_S950004,"{""PLANNED"": 10, ""SOURCE"": 1014, ""SINK"": 0, ""OTHER"": 0}",0.027362941719594962,57.92653236408277,54.84016686007968,1024,0,2116.9702058240623,2.067353716625024,24,2,True,2048
165.38829733000193,0.02750650339707459,LAW_16_L24_S950004,"{""PLANNED"": 11, ""SOURCE"": 245, ""SINK"": 0, ""OTHER"": 0}",0.10644140158842028,56.33331895720876,53.377624045957276,256,0,529.2425514560045,2.067353716625024,24,8,True,2048
165.38829733000193,0.025907521707455573,LAW_16_L24_S950004,"{""PLANNED"": 13, ""SOURCE"": 51, ""SINK"": 0, ""OTHER"": 0}",0.40101540823502435,53.05860445686901,50.417038304837405,64,0,132.31063786400145,2.067353716625024,24,32,True,2048
165.38829733000193,0.016151200911133003,LAW_16_L24_S950004,"{""PLANNED"": 16, ""SOURCE"": 0, ""SINK"": 0, ""OTHER"": 0}",1.0,33.07765946600039,30.124858328063603,16,0,33.07765946600039,2.067353716625024,24,128,True,2048
165.47046656287193,0.028217058043697063,LAW_16_L24_S950005,"{""PLANNED"": 10, ""SOURCE"": 1014, ""SINK"": 0, ""OTHER"": 0}",0.02728419989845176,57.788534873491585,55.26125111317825,1024,0,2118.021972004786,2.068380832035899,24,2,True,2048
165.47046656287193,0.027730026674564454,LAW_16_L24_S950005,"{""PLANNED"": 11, ""SOURCE"": 245, ""SINK"": 0, ""OTHER"": 0}",0.10725307929785716,56.791094629508,54.40074026746649,256,0,529.5054930011939,2.068380832035899,24,8,True,2048
165.47046656287193,0.026099876958454116,LAW_16_L24_S950005,"{""PLANNED"": 14, ""SOURCE"": 50, ""SINK"": 0, ""OTHER"": 0}",0.4037922077669089,53.45254801091403,50.967233656573725,64,0,132.37637325029755,2.068380832035899,24,32,True,2048
165.47046656287193,0.016159225250280462,LAW_16_L24_S950005,"{""PLANNED"": 16, ""SOURCE"": 0, ""SINK"": 0, ""OTHER"": 0}",1.0,33.09409331257439,29.76952633733035,16,0,33.09409331257439,2.068380832035899,24,128,True,2048
162.94268207312285,0.03145157426212728,LAW_16_L24_S950006,"{""PLANNED"": 12, ""SOURCE"": 1012, ""SINK"": 0, ""OTHER"": 0}",0.030883570946022263,64.41282408883667,59.532345617660695,1024,0,2085.6663305359416,2.0367835259140357,24,2,True,2048
