history,seed,h1_true,h2_true,|R_full|,|R_both0|,|R_erase|
0,35001,0.013482803338056515,-0.004580095499240356,14.143898922247573,14.238088784941175,14.23020880912886
0,35002,0.013482803338056515,-0.004580095499240356,14.146071477065906,14.238088784941175,14.23020880912886
0,35003,0.013482803338056515,-0.004580095499240356,14.155506004655809,14.238088784941175,14.23020880912886
1,35001,0.01618944713989325,0.007382806895784346,14.150298869899098,14.238088784941175,14.23020880912886
1,35002,0.01618944713989325,0.007382806895784346,14.152890927253184,14.238088784941175,14.23020880912886
1,35003,0.01618944713989325,0.007382806895784346,14.162494092239559,14.238088784941175,14.23020880912886
2,35001,0.018135291185535342,0.005385234684222924,14.14334981484273,14.238088784941175,14.23020880912886
2,35002,0.018135291185535342,0.005385234684222924,14.145510498252316,14.238088784941175,14.23020880912886
2,35003,0.018135291185535342,0.005385234684222924,14.154906766513177,14.238088784941175,14.23020880912886
3,35001,0.015094704876037156,-0.008726967945768372,14.136252868603668,14.238088784941175,14.23020880912886
3,35002,0.015094704876037156,-0.008726967945768372,14.138308381317186,14.238088784941175,14.23020880912886
3,35003,0.015094704876037156,-0.008726967945768372,14.146238530019637,14.238088784941175,14.23020880912886
4,35001,0.02096284592738729,0.011697385067854341,14.144385937396887,14.238088784941175,14.23020880912886
4,35002,0.02096284592738729,0.011697385067854341,14.146511053950318,14.238088784941175,14.23020880912886
4,35003,0.02096284592738729,0.011697385067854341,14.155083231083282,14.238088784941175,14.23020880912886
5,35001,0.022030283813226803,-0.005795395886723148,14.126077283184886,14.238088784941175,14.23020880912886
5,35002,0.022030283813226803,-0.005795395886723148,14.127787760086566,14.238088784941175,14.23020880912886
5,35003,0.022030283813226803,-0.005795395886723148,14.13435096644638,14.238088784941175,14.23020880912886
6,35001,0.02181241820467987,0.0037207160740476957,14.134437689743121,14.238088784941175,14.23020880912886
6,35002,0.02181241820467987,0.0037207160740476957,14.136362174097545,14.238088784941175,14.23020880912886
6,35003,0.02181241820467987,0.0037207160740476957,14.143942395792623,14.238088784941175,14.23020880912886
7,35001,0.02210701743220035,4.7483284187049835e-05,14.130622179974553,14.238088784941175,14.23020880912886
7,35002,0.02210701743220035,4.7483284187049835e-05,14.132452850490267,14.238088784941175,14.23020880912886
7,35003,0.02210701743220035,4.7483284187049835e-05,14.139588384929125,14.238088784941175,14.23020880912886
8,35001,0.03196381988422174,-0.006347238230113534,14.13136539381766,14.238088784941175,14.23020880912886
8,35002,0.03196381988422174,-0.006347238230113534,14.132602132152327,14.238088784941175,14.23020880912886
8,35003,0.03196381988422174,-0.006347238230113534,14.13736201713176,14.238088784941175,14.23020880912886
9,35001,0.025995070113661787,0.00020541591912273324,14.124873550817068,14.238088784941175,14.23020880912886
9,35002,0.025995070113661787,0.00020541591912273324,14.126186178248574,14.238088784941175,14.23020880912886
9,35003,0.025995070113661787,0.00020541591912273324,14.132856195100736,14.238088784941175,14.23020880912886
10,35001,0.019493259733971594,-0.0023085826142945458,14.133139937479504,14.238088784941175,14.23020880912886
10,35002,0.019493259733971594,-0.0023085826142945458,14.13506597456607,14.238088784941175,14.23020880912886
10,35003,0.019493259733971594,-0.0023085826142945458,14.14256031545782,14.238088784941175,14.23020880912886
11,35001,0.027044766566202517,-0.012946171729913959,14.132766372297098,14.238088784941175,14.23020880912886
11,35002,0.027044766566202517,-0.012946171729913959,14.134135355445643,14.238088784941175,14.23020880912886
11,35003,0.027044766566202517,-0.012946171729913959,14.121161484416326,14.238088784941175,14.23020880912886
