history,seed,h1_true,h2_true,|Rfull|,|Rboth0|
0,35001,0.013482803338056515,-0.004580095499240356,38.09618308105615,38.06451921982956
0,35002,0.013482803338056515,-0.004580095499240356,40.66863955803023,40.62905133596266
1,35001,0.01618944713989325,0.007382806895784346,38.128194321723335,38.09176165579607
1,35002,0.01618944713989325,0.007382806895784346,40.713873883317284,40.66933596419022
2,35001,0.018135291185535342,0.005385234684222924,38.365561886675565,38.32547863622487
2,35002,0.018135291185535342,0.005385234684222924,41.96980791414608,41.9181403600895
3,35001,0.015094704876037156,-0.008726967945768372,38.34231639608794,38.307888244870625
3,35002,0.015094704876037156,-0.008726967945768372,41.933907733650734,41.888323911952
4,35001,0.02096284592738729,0.011697385067854341,39.504659905160196,38.477031219468124
4,35002,0.02096284592738729,0.011697385067854341,42.151586227051794,42.09442279501322
5,35001,0.022030283813226803,-0.005795395886723148,40.948207883662405,40.89672480466028
5,35002,0.022030283813226803,-0.005795395886723148,43.65686646125716,43.59376002763916
6,35001,0.02181241820467987,0.0037207160740476957,39.75362197805908,39.70469685521451
6,35002,0.02181241820467987,0.0037207160740476957,43.417533250373154,43.35524268775861
7,35001,0.02210701743220035,4.7483284187049835e-05,39.85670687313048,39.807324862304675
7,35002,0.02210701743220035,4.7483284187049835e-05,43.534976413175585,43.47177625501953
8,35001,0.03196381988422174,-0.006347238230113534,46.94929261665609,45.879959121114226
8,35002,0.03196381988422174,-0.006347238230113534,49.8054157039937,49.70518787455512
9,35001,0.025995070113661787,0.00020541591912273324,43.198729658012816,41.17329019256137
9,35002,0.025995070113661787,0.00020541591912273324,45.94986460548443,44.89205497938302
10,35001,0.019493259733971594,-0.0023085826142945458,39.6396801388555,39.594919994553095
10,35002,0.019493259733971594,-0.0023085826142945458,43.284161588374246,43.22675274939823
11,35001,0.027044766566202517,-0.012946171729913959,45.5589568966072,45.4877167110556
11,35002,0.027044766566202517,-0.012946171729913959,48.35735575863677,47.28907430337119
