law,size,block,seed,donor,arm,floor,SURVIVAL_ITT,SPLIT,DISSOLUTION,first_failure_type,first_failure_time,attempted_over_M256,delivered_over_M256,source_realized_over_M256,UCR,incumbent_removed_over_M256,fresh_over_M256,futile_fraction,UCR_per_1000_steps,UCR_per_attempted,UCR_per_delivered,incumbent_displacement,terminal_I_over_I0,terminal_T_over_M256,terminal_mass_in_frozen_C256,terminal_jaccard_C256_Ct,terminal_boundary_site_turnover,CUM_ABS_SWEEP,CUM_TRACKER_SWEEP,terminal_shadow_40_alive,terminal_shadow_45_alive,terminal_shadow_50_alive,terminal_shadow_55_alive,terminal_shadow_60_alive,terminal_margin_min,terminal_margin_median,n_events,n_rejected,M256
LAW_16,24,LAW_16_L24_S890000,890000,L24_S990001,FLOOR_FULL,0.5,False,True,False,SPLIT,848,3.99999999999999,0.3024815018919515,0.3024815018919515,0.21708102100581597,0.2814083863824904,0.21708102100581597,0.040556664828577026,5.085412417715612,0.05427025525145413,0.7176670958323885,0.5341543242920005,0.4658456757079995,0.8747539660787399,132.31370240688972,0.4804270462633452,0.6886792452830188,77.75127884376815,-5.706907045895848,True,True,True,True,True,0.0011463266239755687,0.31796466505418447,320,0,167.91995929118505
LAW_16,24,LAW_16_L24_S890000,890000,L24_S990001,FLOOR_Q_REPLAY,0.5,False,True,False,SPLIT,1008,0.3304530533105878,0.2969128670771297,0.2969128670771297,0.2155930602049042,0.27800772244819083,0.2155930602049042,0.03391459541762792,5.050554951600101,0.6524166081838911,0.7261155851117059,0.5324239093139169,0.4675760906860831,0.874984796456385,132.28297559325623,0.4804270462633452,0.6886792452830188,77.51940749164896,-5.473605144361409,True,True,True,True,True,0.002111611986005957,0.3185544092173695,320,0,167.91995929118505
LAW_16,24,LAW_16_L24_S890000,890000,L24_S990001,PARENT_FULL,0.0,True,False,False,NONE,,3.99999999999999,0.6083323422867027,0.6083323422867027,0.37885535482158894,0.4499732279850873,0.37885535482158894,0.1901231853322368,8.875191930648533,0.09471383870539747,0.6227769403110859,0.567342971467947,0.432657028532053,1.0105335174553263,123.18441650841795,0.40716612377850164,0.8584905660377359,302.2432975637651,-18.532263443892276,False,True,True,True,True,0.003395262956117806,0.3749657683882787,248,72,167.91995929118505
LAW_16,24,LAW_16_L24_S890000,890000,L24_S990001,PARENT_LOW_CONSTANT,0.0,True,False,False,NONE,,0.33045305331058644,0.306701740103888,0.306701740103888,0.25769041661020176,0.27086338085824463,0.25769041661020176,0.00036347805110757513,6.036741666701116,0.7798094586464708,0.8401987433227968,0.5172354093458672,0.4827645906541328,0.9338279686051223,128.85286392058248,0.42955326460481097,0.7830188679245284,246.41886365687864,-13.217154736822724,True,True,True,True,True,0.0001718444867403468,0.3673702619804969,297,23,167.91995929118505
LAW_16,24,LAW_16_L24_S890000,890000,L24_S990001,PARENT_Q_REPLAY,0.0,True,False,False,NONE,,0.3304530533105878,0.31885656948930435,0.3188565694893043,0.24629826166562338,0.2999858307996675,0.24629826166562338,0.00969903865171491,5.769865244472813,0.7453351064489376,0.7724421737965326,0.466665713706943,0.533334286293057,0.9939434703707842,132.33517837894973,0.5,0.6839622641509434,311.2604552205145,-11.431258402138884,True,True,True,True,True,0.0006165509089140486,0.34342637103966994,320,0,167.91995929118505
LAW_16,24,LAW_16_L24_S890000,890000,L24_S990001,SHAM,0.0,True,False,False,NONE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.24862619146137033,0.7513738085386297,0.9743410219615039,155.43904091348756,0.925764192139738,0.08018867924528301,8.550540942207256,7.650540183119141,True,True,True,True,True,0.000998770187421505,0.3119810854432293,0,0,167.91995929118505
LAW_16,24,LAW_16_L24_S890001,890001,L24_S990002,FLOOR_FULL,0.5,False,True,False,SPLIT,784,3.999999999999977,0.2925523617596527,0.2925523617596527,0.2096805969724086,0.27483750183976596,0.2096805969724086,0.03249037826598327,4.878753571042637,0.05242014924310245,0.7167284369581413,0.5364262329551885,0.4635737670448115,0.8614079531392711,132.2001697811936,0.4856115107913669,0.6713615023474179,78.28030706299428,-8.049040773750624,True,True,True,True,True,0.0010673514356021596,0.3106798670702143,320,0,166.7817914589177
LAW_16,24,LAW_16_L24_S890001,890001,L24_S990002,FLOOR_Q_REPLAY,0.5,False,True,False,SPLIT,912,0.3186467252046631,0.2919545510510255,0.2919545510510255,0.20965740761148527,0.2746355906376364,0.20965740761148527,0.03195654015597963,4.87821401145034,0.6579619089975733,0.7181165933421021,0.5361782092911187,0.46382179070888135,0.8617251803563992,132.13705103037267,0.4856115107913669,0.6713615023474179,78.04876972759774,-7.817827971699387,True,True,True,True,True,0.0017218522681441417,0.31052323564633183,320,0,166.7817914589177
LAW_16,24,LAW_16_L24_S890001,890001,L24_S990002,PARENT_FULL,0.0,True,False,False,NONE,,3.999999999999977,0.6103819182137245,0.6103819182137245,0.38546417633225744,0.4550092163826662,0.38546417633225744,0.18447961969229199,8.968806622758096,0.09636604408306491,0.6315130983242653,0.5720087057369789,0.427991294263021,1.0161626649017428,121.88974385203466,0.4045307443365696,0.863849765258216,291.6922758789872,-17.91886251483994,False,True,True,True,True,0.017637182337760016,0.3646665996725526,233,87,166.7817914589177
LAW_16,24,LAW_16_L24_S890001,890001,L24_S990002,PARENT_LOW_CONSTANT,0.0,True,False,False,NONE,,0.31864672520466325,0.30072284691190093,0.30072284691190093,0.2502971572869831,0.26416900397612075,0.2502971572869831,0.0002446795524353358,5.823801379659254,0.7855004852983192,0.8323183950180865,0.5160598433259562,0.48394015667404383,0.9250260512947698,128.6086522542938,0.43252595155709345,0.7699530516431925,252.03719595502577,-14.344779241385734,True,True,True,True,True,0.000582306944280131,0.36531279056409544,302,18,166.7817914589177
LAW_16,24,LAW_16_L24_S890001,890001,L24_S990002,PARENT_Q_REPLAY,0.0,True,False,False,NONE,,0.3186467252046631,0.3119694718874851,0.3119694718874851,0.24060932737721502,0.2927487202311182,0.24060932737721502,0.007879096045208986,5.598389322223372,0.7550974428583079,0.7712592066187591,0.46261590926089835,0.5373840907391016,0.9918965937903109,132.7543474984151,0.5017301038062284,0.676056338028169,298.8834895248905,-10.778127714991788,True,True,True,True,True,0.0002962566426857327,0.3377454295944024,320,0,166.7817914589177
LAW_16,24,LAW_16_L24_S890001,890001,L24_S990002,SHAM,0.0,True,False,False,NONE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.25440787411277066,0.7455921258872293,0.9666438746030932,154.85742630544814,0.9424778761061947,0.06103286384976526,7.650431828891432,5.850419983485762,True,True,True,True,True,0.0011151859756796112,0.3090648050059632,0,0,166.7817914589177
LAW_16,24,LAW_16_L24_S890002,890002,L24_S990003,FLOOR_FULL,0.5,False,True,False,SPLIT,976,3.999999999999995,0.33036079973572924,0.3303607997357293,0.23057226857445398,0.3040409754203687,0.23057226857445398,0.05086777899259122,5.317247200111117,0.057643067143613565,0.6979407628232506,0.5667568798983893,0.4332431201016107,0.8470339896343914,128.10361755622446,0.4568345323741007,0.719047619047619,80.87945108207862,-8.8280200217014,True,True,True,True,True,0.0021772066469858964,0.30221344922831245,320,0,165.30187331738512
LAW_16,24,LAW_16_L24_S890002,890002,L24_S990003,FLOOR_Q_REPLAY,0.5,False,True,False,SPLIT,2624,0.3061426656200532,0.3000896200477023,0.3000896200477023,0.21583742533606895,0.2821069587718205,0.21583742533606895,0.032097820911713225,4.9774456947619194,0.7050223623646759,0.7192432224138888,0.5415949116076175,0.4584050883923824,0.8610218855417416,129.56256797460034,0.48727272727272725,0.6714285714285714,77.84616870649533,-5.795234106200828,True,True,True,True,True,0.00023933555603727896,0.29425793428757213,320,0,165.30187331738512
LAW_16,24,LAW_16_L24_S890002,890002,L24_S990003,PARENT_FULL,0.0,True,False,False,NONE,,3.999999999999995,0.6410888027417102,0.6410888027417102,0.3996006784928312,0.4733749126111737,0.3996006784928312,0.19179097205936432,9.215226106830794,0.09990016962320793,0.6233156417393041,0.5965138448008822,0.4034861551991178,0.9967982355135595,119.1510766969285,0.38688524590163936,0.8904761904761904,328.63173804076837,-22.39845884984653,False,True,True,True,True,0.0014911955298821389,0.3645524313282535,284,36,165.30187331738512
LAW_16,24,LAW_16_L24_S890002,890002,L24_S990003,PARENT_LOW_CONSTANT,0.0,True,False,False,NONE,,0.30614266562005404,0.30614266562005404,0.30614266562005404,0.256964529451687,0.26762151448976385,0.256964529451687,0.0003653541471040604,5.925881430592111,0.8393620305462396,0.8393620305462396,0.5264710622920077,0.47352893770799237,0.9163248244620071,127.0102645314847,0.4295774647887324,0.7714285714285715,257.72280889247935,-15.518739571618239,True,True,True,True,True,0.0008909769308810822,0.36169413569802206,320,0,165.30187331738512
LAW_16,24,LAW_16_L24_S890002,890002,L24_S990003,PARENT_Q_REPLAY,0.0,True,False,False,NONE,,0.3061426656200532,0.2948559862881051,0.2948559862881051,0.2264733663570988,0.27845377772254565,0.2264733663570988,0.004350624742032303,5.222722058499287,0.7397641419839527,0.7680812901516291,0.4578937931802053,0.5421062068197947,0.9731655925614731,131.87913864477426,0.5287769784172662,0.6238095238095238,298.57467490139777,-12.254950145896682,True,True,True,True,True,0.003033584975688508,0.34367456094815313,320,0,165.30187331738512
LAW_16,24,LAW_16_L24_S890002,890002,L24_S990003,SHAM,0.0,True,False,False,NONE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.25560752819531085,0.7443924718046891,0.9621218846001819,152.90026018082443,0.9417040358744395,0.06190476190476191,5.8501459544613645,5.8501459544613645,True,True,True,True,True,0.0006163735695038919,0.30907259839158335,0,0,165.30187331738512
LAW_16,24,LAW_16_L24_S890003,890003,L24_S990004,FLOOR_FULL,0.5,False,True,False,SPLIT,976,4.0000000000000036,0.3275419878135359,0.3275419878135359,0.22878042717627733,0.2991219491206545,0.22878042717627733,0.05469299132047637,5.3005494451450605,0.057195106794069285,0.6984766402117525,0.5668246628904716,0.4331753371095283,0.8520279274478781,129.43156406313642,0.4471830985915493,0.7370892018779343,84.74225814124851,-9.099285903608736,True,True,True,True,True,0.005977956519479688,0.29526552353210883,320,0,166.07337826817164
LAW_16,24,LAW_16_L24_S890003,890003,L24_S990004,FLOOR_Q_REPLAY,0.5,False,True,False,SPLIT,3776,0.26973240309061863,0.26428769684482034,0.26428769684482034,0.19691489008678156,0.2507462311952038,0.19691489008678156,0.016926212538971395,4.562265768417622,0.7300379480941581,0.7450777786390961,0.5134195842841494,0.4865804157158506,0.8772042698834661,133.18022113962994,0.5018050541516246,0.647887323943662,78.82610060037408,-4.984882390026022,True,True,True,True,True,0.00282495596726301,0.30365534648179476,320,0,166.07337826817164
LAW_16,24,LAW_16_L24_S890003,890003,L24_S990004,PARENT_FULL,0.0,True,False,False,NONE,,4.0000000000000036,0.6379235504623973,0.6379235504623973,0.4015563370395366,0.47225103696844445,0.4015563370395366,0.18670194453675737,9.30354596221378,0.10038908425988406,0.6294740753001977,0.5971445676739896,0.4028554323260104,1.0055377047623901,120.20056289896807,0.3717948717948718,0.92018779342723,338.4720565845188,-22.343882582898132,False,True,True,True,True,0.0005156554789055301,0.37419394110761867,306,14,166.07337826817164
LAW_16,24,LAW_16_L24_S890003,890003,L24_S990004,PARENT_LOW_CONSTANT,0.0,True,False,False,NONE,,0.26973240309061713,0.26973240309061713,0.26973240309061713,0.2270725736532818,0.23272126805014612,0.2270725736532818,0.000221193592949685,5.260980666664165,0.8418438832393315,0.8418438832393315,0.4934047074483926,0.5065952925516074,0.9248561785064006,130.9553544122007,0.45936395759717313,0.7183098591549296,258.07016444729544,-14.06897108930991,True,True,True,True,True,0.006929765822460021,0.3652514301889325,320,0,166.07337826817164
LAW_16,24,LAW_16_L24_S890003,890003,L24_S990004,PARENT_Q_REPLAY,0.0,True,False,False,NONE,,0.26973240309061863,0.2640470387616057,0.2640470387616057,0.20699536029956,0.24827998390769657,0.20699536029956,0.0026993637878711383,4.795817350835003,0.767410062446292,0.783933655421318,0.43637601843567375,0.5636239815643262,0.9870627925546124,135.49221156396487,0.5300353356890459,0.6244131455399061,272.5291430683618,-8.72703027137609,True,True,True,True,True,0.000696148241690453,0.3402537224450823,320,0,166.07337826817164
LAW_16,24,LAW_16_L24_S890003,890003,L24_S990004,SHAM,0.0,True,False,False,NONE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.2517378835204478,0.7482621164795522,0.9740022668734465,154.13593073306924,0.9301310043668122,0.07511737089201878,8.100514939822222,7.200511948780086,True,True,True,True,True,0.0008587856948001349,0.29665010143198384,0,0,166.07337826817164
LAW_16,24,LAW_16_L24_S890004,890004,L24_S990005,FLOOR_FULL,0.5,False,True,False,SPLIT,1024,4.000000000000025,0.28182738757504006,0.28182738757504006,0.20395356410482232,0.26718432704398926,0.20395356410482232,0.024199994978988296,4.761018180754711,0.05098839102620526,0.7236825556938363,0.5297495864788602,0.4702504135211399,0.8505971646216539,132.23821388147076,0.49454545454545457,0.6495327102803738,75.91346098033848,-9.276170346114657,True,True,True,True,True,0.0035131949922554417,0.3134568611439385,320,0,167.32719758753586
LAW_16,24,LAW_16_L24_S890004,890004,L24_S990005,FLOOR_Q_REPLAY,0.5,False,True,False,SPLIT,1056,0.3253468124147986,0.2733145630372521,0.27331456303725216,0.20088810321801331,0.26173728566140264,0.20088810321801331,0.01400311174105785,4.689459171337306,0.6174583415370686,0.7350069494490594,0.5273924919009365,0.4726075080990635,0.8500010057633153,132.3556371893689,0.49454545454545457,0.6495327102803738,76.01704924330151,-9.383160699395573,True,True,True,True,True,0.006089197751499853,0.3126988096394994,320,0,167.32719758753586
