L,PASS_at_0.01,PASS_at_0.05,PASS_at_0.2,arm,bounded_components_end,bounded_survival_to_1024,component_count_by_frame,component_count_end,error,first_empty_frame,first_wrapping_frame,labelled_fraction,largest_over_L2_by_frame,min_bounded_residual_at_1024,seed,technical_failure
24,False,False,False,LAW_15,0,False,11|1|1|1|1|1|1|1,1,,,16,0.7066798929020733,0.3073|0.7934|0.8924|0.9948|1.0000|1.0000|1.0000|1.0000,nan,910001,False
24,False,False,False,LAW_15,0,False,11|1|1|1|1|1|1|1,1,,,16,0.7137787462362132,0.1441|0.7118|0.7587|0.8872|1.0000|1.0000|1.0000|1.0000,nan,910002,False
24,False,False,False,LAW_15,0,False,8|1|1|1|1|1|1|1,1,,,16,0.7365229058346507,0.3351|0.8299|0.9340|0.9896|1.0000|1.0000|1.0000|1.0000,nan,910003,False
24,False,False,False,LAW_15,0,False,14|1|1|1|1|1|1|1,1,,,16,0.7439875096696826,0.2257|0.8021|0.9167|0.9844|1.0000|1.0000|1.0000|1.0000,nan,910004,False
24,False,False,False,LAW_15,0,False,16|1|1|1|1|1|1|1,1,,,16,0.7526418912233339,0.3368|0.8073|0.8785|0.9774|1.0000|1.0000|1.0000|1.0000,nan,910005,False
24,False,False,False,LAW_15,0,False,9|1|1|1|1|1|1|1,1,,,16,0.7913914912582578,0.4045|0.7674|0.8385|0.9149|0.9948|1.0000|1.0000|1.0000,nan,910006,False
24,False,False,False,LAW_15,0,False,16|1|1|1|1|1|1|1,1,,,16,0.7617053716370266,0.1372|0.7899|0.8785|0.9601|1.0000|1.0000|1.0000|1.0000,nan,910007,False
24,False,False,False,LAW_15,0,False,9|1|1|1|1|1|1|1,1,,,0,0.749843115832871,0.3264|0.8438|0.9392|0.9965|1.0000|1.0000|1.0000|1.0000,nan,910008,False
24,False,False,False,LAW_15,0,False,11|1|1|1|1|1|1|1,1,,,16,0.731244621948441,0.1562|0.7205|0.8142|0.9184|1.0000|1.0000|1.0000|1.0000,nan,910009,False
24,False,False,False,LAW_15,0,False,13|1|1|1|1|1|1|1,1,,,16,0.7419044073294256,0.1875|0.6927|0.7569|0.8455|0.9358|1.0000|1.0000|1.0000,nan,910010,False
24,False,False,False,LAW_15,0,False,6|1|1|1|1|1|1|1,1,,,16,0.7773433072197979,0.4045|0.7969|0.8698|0.9271|0.9670|1.0000|1.0000|1.0000,nan,910011,False
32,False,False,False,LAW_15,0,False,16|1|1|1|1|1|1|1,1,,,16,0.7078623189274176,0.1924|0.7129|0.8066|0.9131|0.9805|1.0000|1.0000|1.0000,nan,911000,False
32,False,False,False,LAW_15,0,False,13|2|1|1|1|1|1|1,1,,,16,0.7670738668033773,0.1768|0.8135|0.9258|0.9873|1.0000|1.0000|1.0000|1.0000,nan,911001,False
32,False,False,False,LAW_15,0,False,12|1|1|1|1|1|1|1,1,,,0,0.7698451435174215,0.4453|0.8271|0.9131|0.9609|1.0000|1.0000|1.0000|1.0000,nan,911002,False
32,False,False,False,LAW_15,0,False,18|1|1|1|1|1|1|1,1,,,16,0.742988328755211,0.2910|0.7139|0.8008|0.8721|0.9668|1.0000|1.0000|1.0000,nan,911003,False
32,False,False,False,LAW_15,0,False,14|1|1|1|1|1|1|1,1,,,16,0.7415046920839711,0.2324|0.7607|0.8477|0.9521|1.0000|1.0000|1.0000|1.0000,nan,911004,False
32,False,False,False,LAW_15,0,False,15|1|1|1|1|1|1|1,1,,,0,0.7431139008163187,0.2979|0.7490|0.8477|0.9199|0.9697|1.0000|1.0000|1.0000,nan,911005,False
32,False,False,False,LAW_15,0,False,8|1|1|1|1|1|1|1,1,,,0,0.75413637451936,0.4795|0.7568|0.8682|0.9668|1.0000|1.0000|1.0000|1.0000,nan,911006,False
32,False,False,False,LAW_15,0,False,15|1|1|1|1|1|1|1,1,,,16,0.7556786919090038,0.3584|0.7031|0.7676|0.8848|0.9492|1.0000|1.0000|1.0000,nan,911007,False
32,False,False,False,LAW_15,0,False,22|1|1|1|1|1|1|1,1,,,16,0.7469691147169975,0.3008|0.7676|0.8330|0.9141|0.9512|1.0000|1.0000|1.0000,nan,911008,False
32,False,False,False,LAW_15,0,False,23|2|1|1|1|1|1|1,1,,,16,0.7320871618813695,0.1396|0.7168|0.7871|0.8564|0.9258|0.9844|1.0000|1.0000,nan,911009,False
32,False,False,False,LAW_15,0,False,14|1|1|1|1|1|1|1,1,,,0,0.7296385354787336,0.3809|0.7490|0.8594|0.9502|0.9805|1.0000|1.0000|1.0000,nan,911010,False
32,False,False,False,LAW_15,0,False,15|1|1|1|1|1|1|1,1,,,16,0.7549935948438443,0.3789|0.8115|0.9180|0.9746|1.0000|1.0000|1.0000|1.0000,nan,911011,False
24,False,False,False,LAW_16,0,False,6|3|1|1|1|1|1|1,1,,,0,0.7564839857571877,0.4392|0.5573|0.6250|0.6649|0.7344|0.8073|0.8368|0.8542,nan,910000,False
24,False,False,False,LAW_16,0,False,11|6|5|2|2|2|2|1,1,,,64,0.7066798929020733,0.3073|0.4809|0.5122|0.5833|0.6059|0.6545|0.7049|0.7778,nan,910001,False
24,False,False,False,LAW_16,0,False,11|6|4|2|2|1|1|1,1,,,32,0.7137787462362132,0.1441|0.3681|0.4097|0.5590|0.5885|0.6181|0.6510|0.6649,nan,910002,False
24,False,False,False,LAW_16,0,False,8|6|3|3|1|1|1|1,1,,,16,0.7365229058346507,0.3351|0.4809|0.5434|0.5451|0.6285|0.6997|0.7344|0.7934,nan,910003,False
24,False,False,False,LAW_16,0,False,14|9|5|1|1|1|1|1,1,,,32,0.7439875096696826,0.2257|0.3385|0.4792|0.6111|0.6580|0.6997|0.7309|0.7569,nan,910004,False
24,False,False,False,LAW_16,0,False,16|12|7|3|3|1|1|1,1,,,32,0.7526418912233339,0.3368|0.4028|0.5278|0.5851|0.6615|0.7378|0.7639|0.7708,nan,910005,False
24,False,False,False,LAW_16,0,False,9|6|5|4|3|2|2|1,1,,,16,0.7913914912582578,0.4045|0.4983|0.5122|0.5816|0.6285|0.6771|0.7066|0.7309,nan,910006,False
24,False,False,False,LAW_16,0,False,16|12|4|2|1|2|1|1,1,,,32,0.7617053716370266,0.1372|0.2170|0.5399|0.6302|0.6545|0.6649|0.7188|0.7500,nan,910007,False
24,False,False,False,LAW_16,0,False,9|6|7|3|2|1|1|1,1,,,0,0.749843115832871,0.3264|0.4722|0.3906|0.5816|0.6372|0.7049|0.7743|0.8368,nan,910008,False
24,False,False,False,LAW_16,0,False,11|9|8|3|2|1|1|1,1,,,64,0.731244621948441,0.1562|0.2431|0.3299|0.5347|0.6059|0.6285|0.6667|0.6927,nan,910009,False
24,False,False,False,LAW_16,0,False,13|6|2|2|1|1|1|1,1,,,64,0.7419044073294256,0.1875|0.2344|0.5365|0.5469|0.6042|0.6389|0.6649|0.6788,nan,910010,False
24,False,False,False,LAW_16,1,False,6|2|2|1|1|1|2|2,2,,,16,0.7773433072197979,0.4045|0.5330|0.5712|0.6042|0.6163|0.6823|0.6927|0.7431,0.6727847993329759,910011,False
32,False,False,False,LAW_16,0,False,16|7|5|2|1|1|1|1,1,,,64,0.7078623189274176,0.1924|0.4863|0.4102|0.5596|0.5928|0.6299|0.6680|0.7061,nan,911000,False
32,False,False,False,LAW_16,0,False,13|4|2|2|2|2|1|1,1,,,32,0.7670738668033773,0.1768|0.2266|0.6006|0.6172|0.6543|0.6953|0.7295|0.7871,nan,911001,False
32,False,False,False,LAW_16,0,False,12|5|4|2|1|1|1|1,1,,,0,0.7698451435174215,0.4453|0.5508|0.5811|0.6367|0.6777|0.7256|0.7666|0.8076,nan,911002,False
32,False,False,False,LAW_16,0,False,18|7|6|2|3|2|1|1,1,,,16,0.742988328755211,0.2910|0.4424|0.4824|0.5605|0.5752|0.6035|0.6631|0.6836,nan,911003,False
32,False,False,False,LAW_16,0,False,14|6|5|4|2|1|1|1,1,,,64,0.7415046920839711,0.2324|0.5137|0.5234|0.5703|0.6318|0.6621|0.7139|0.7451,nan,911004,False
32,False,False,False,LAW_16,1,False,15|9|7|5|2|2|1|2,2,,,0,0.7431139008163187,0.2979|0.3535|0.4893|0.5518|0.6084|0.6533|0.6895|0.6738,0.7210536009634886,911005,False
32,False,False,False,LAW_16,0,False,8|4|3|3|3|1|1|1,1,,,0,0.75413637451936,0.4795|0.5322|0.5547|0.5830|0.6250|0.6592|0.6953|0.7246,nan,911006,False
32,False,False,False,LAW_16,0,False,15|11|8|4|3|1|1|1,1,,,32,0.7556786919090038,0.3584|0.4170|0.2920|0.5244|0.5449|0.6201|0.6416|0.6582,nan,911007,False
32,False,False,False,LAW_16,0,False,22|11|7|5|4|4|1|1,1,,,16,0.7469691147169975,0.3008|0.4678|0.5156|0.5547|0.5820|0.6416|0.7090|0.7402,nan,911008,False
32,False,False,False,LAW_16,0,False,23|11|9|6|4|4|2|1,1,,,128,0.7320871618813695,0.1396|0.3955|0.4971|0.5449|0.6104|0.6436|0.6680|0.6953,nan,911009,False
32,False,False,False,LAW_16,0,False,14|8|7|3|3|1|1|1,1,,,0,0.7296385354787336,0.3809|0.4805|0.5078|0.5752|0.6123|0.6455|0.6709|0.6982,nan,911010,False
32,False,False,False,LAW_16,0,False,15|9|5|2|1|1|1|1,1,,,16,0.7549935948438443,0.3789|0.4990|0.5547|0.6152|0.6631|0.7061|0.7422|0.7705,nan,911011,False
24,False,False,False,LAW_19,0,False,6|1|1|1|1|1|1|1,1,,,0,0.7564839857571877,0.4392|0.7882|0.8837|0.9410|1.0000|1.0000|1.0000|1.0000,nan,910000,False
24,False,False,False,LAW_19,0,False,11|1|1|1|1|1|1|1,1,,,16,0.7066798929020733,0.3073|0.6753|0.7743|0.8767|0.9688|1.0000|1.0000|1.0000,nan,910001,False
24,False,False,False,LAW_19,0,False,11|2|1|1|1|1|1|1,1,,,16,0.7137787462362132,0.1441|0.6094|0.6858|0.7361|0.8385|0.9705|1.0000|1.0000,nan,910002,False
24,False,False,False,LAW_19,0,False,8|2|1|1|1|1|1|1,1,,,16,0.7365229058346507,0.3351|0.6667|0.8090|0.9080|0.9705|1.0000|1.0000|1.0000,nan,910003,False
24,False,False,False,LAW_19,0,False,14|1|1|1|1|1|1|1,1,,,16,0.7439875096696826,0.2257|0.6979|0.7830|0.8958|0.9757|1.0000|1.0000|1.0000,nan,910004,False
24,False,False,False,LAW_19,0,False,16|2|1|1|1|1|1|1,1,,,16,0.7526418912233339,0.3368|0.7118|0.7969|0.8594|0.9635|1.0000|1.0000|1.0000,nan,910005,False
24,False,False,False,LAW_19,0,False,9|3|1|1|1|1|1|1,1,,,16,0.7913914912582578,0.4045|0.6649|0.7535|0.8212|0.8854|0.9740|1.0000|1.0000,nan,910006,False
24,False,False,False,LAW_19,0,False,16|2|1|1|1|1|1|1,1,,,16,0.7617053716370266,0.1372|0.6875|0.7778|0.8559|0.9462|1.0000|1.0000|1.0000,nan,910007,False
24,False,False,False,LAW_19,0,False,9|2|1|1|1|1|1|1,1,,,0,0.749843115832871,0.3264|0.6771|0.8299|0.9288|0.9878|1.0000|1.0000|1.0000,nan,910008,False
24,False,False,False,LAW_19,0,False,11|1|1|1|1|1|1|1,1,,,16,0.731244621948441,0.1562|0.6441|0.6997|0.7917|0.8993|1.0000|1.0000|1.0000,nan,910009,False
24,False,False,False,LAW_19,0,False,13|2|1|1|1|1|1|1,1,,,16,0.7419044073294256,0.1875|0.6181|0.6823|0.7431|0.8229|0.8941|1.0000|1.0000,nan,910010,False
24,False,False,False,LAW_19,0,False,6|1|1|1|1|1|1|1,1,,,16,0.7773433072197979,0.4045|0.6632|0.7865|0.8524|0.9201|0.9462|1.0000|1.0000,nan,910011,False
32,False,False,False,LAW_19,0,False,16|1|1|1|1|1|1|1,1,,,16,0.7078623189274176,0.1924|0.6240|0.6982|0.7891|0.8779|0.9678|1.0000|1.0000,nan,911000,False
32,False,False,False,LAW_19,0,False,13|1|2|1|1|1|1|1,1,,,16,0.7670738668033773,0.1768|0.7051|0.7979|0.9111|0.9766|1.0000|1.0000|1.0000,nan,911001,False
32,False,False,False,LAW_19,0,False,12|1|1|1|1|1|1|1,1,,,0,0.7698451435174215,0.4453|0.7197|0.8164|0.8965|0.9551|0.9854|1.0000|1.0000,nan,911002,False
32,False,False,False,LAW_19,0,False,18|2|1|1|1|1|1|1,1,,,16,0.742988328755211,0.2910|0.6133|0.7051|0.7744|0.8574|0.9521|1.0000|1.0000,nan,911003,False
32,False,False,False,LAW_19,0,False,14|1|1|1|1|1|1|1,1,,,16,0.7415046920839711,0.2324|0.6680|0.7402|0.8379|0.9287|0.9941|1.0000|1.0000,nan,911004,False
32,False,False,False,LAW_19,0,False,15|2|2|1|1|1|1|1,1,,,0,0.7431139008163187,0.2979|0.6328|0.7246|0.8242|0.9053|0.9590|1.0000|1.0000,nan,911005,False
32,False,False,False,LAW_19,0,False,8|2|1|1|1|1|1|1,1,,,0,0.75413637451936,0.4795|0.6650|0.7432|0.8389|0.9463|1.0000|1.0000|1.0000,nan,911006,False
32,False,False,False,LAW_19,0,False,15|1|1|1|1|1|1|1,1,,,16,0.7556786919090038,0.3584|0.6133|0.6855|0.7539|0.8516|0.9375|0.9785|1.0000,nan,911007,False
32,False,False,False,LAW_19,0,False,22|4|1|1|1|1|1|1,1,,,16,0.7469691147169975,0.3008|0.6455|0.7500|0.8232|0.8994|0.9375|0.9854|1.0000,nan,911008,False
32,False,False,False,LAW_19,0,False,23|4|2|1|1|1|1|1,1,,,16,0.7320871618813695,0.1396|0.6279|0.7012|0.7793|0.8389|0.9082|0.9580|1.0000,nan,911009,False
32,False,False,False,LAW_19,0,False,14|2|1|1|1|1|1|1,1,,,0,0.7296385354787336,0.3809|0.6494|0.7334|0.8428|0.9307|0.9697|1.0000|1.0000,nan,911010,False
32,False,False,False,LAW_19,0,False,15|1|1|1|1|1|1|1,1,,,16,0.7549935948438443,0.3789|0.7041|0.7979|0.8975|0.9580|0.9922|1.0000|1.0000,nan,911011,False
24,False,False,False,LAW_29,0,False,6|2|1|1|1|1|1|1,1,,,0,0.7564839857571877,0.4392|0.6042|0.6545|0.7552|0.8490|0.9028|0.9826|1.0000,nan,910000,False
24,False,False,False,LAW_29,0,False,11|5|5|2|2|1|1|1,1,,,32,0.7066798929020733,0.3073|0.5052|0.5417|0.6319|0.7049|0.8229|0.9010|1.0000,nan,910001,False
24,False,False,False,LAW_29,0,False,11|5|3|2|1|1|1|1,1,,,32,0.7137787462362132,0.1441|0.3750|0.5191|0.5816|0.6493|0.7083|0.7726|0.9028,nan,910002,False
24,False,False,False,LAW_29,0,False,8|5|3|2|1|1|1|1,1,,,16,0.7365229058346507,0.3351|0.5087|0.5417|0.6302|0.7500|0.8542|0.9444|0.9896,nan,910003,False
24,False,False,False,LAW_29,0,False,14|7|5|1|1|1|1|1,1,,,32,0.7439875096696826,0.2257|0.4427|0.5851|0.6753|0.7465|0.8247|0.9253|0.9913,nan,910004,False
24,False,False,False,LAW_29,0,False,16|7|3|3|1|1|1|1,1,,,16,0.7526418912233339,0.3368|0.5174|0.6111|0.6615|0.7726|0.8299|0.8906|0.9826,nan,910005,False
24,False,False,False,LAW_29,0,False,9|5|5|4|2|1|1|1,1,,,16,0.7913914912582578,0.4045|0.5087|0.5312|0.6181|0.7083|0.7778|0.8559|0.9253,nan,910006,False
24,False,False,False,LAW_29,0,False,16|8|4|2|1|1|1|1,1,,,32,0.7617053716370266,0.1372|0.2882|0.5608|0.6615|0.7309|0.8090|0.8941|0.9653,nan,910007,False
24,False,False,False,LAW_29,0,False,9|5|4|2|1|1|1|1,1,,,0,0.749843115832871,0.3264|0.4844|0.5608|0.6510|0.7830|0.8802|0.9479|1.0000,nan,910008,False
24,False,False,False,LAW_29,0,False,11|8|4|1|1|1|1|1,1,,,128,0.731244621948441,0.1562|0.3108|0.4601|0.6198|0.6615|0.7361|0.8420|0.9358,nan,910009,False
24,False,False,False,LAW_29,0,False,13|5|2|2|1|1|1|1,1,,,32,0.7419044073294256,0.1875|0.2396|0.5503|0.5920|0.6632|0.6997|0.7760|0.8420,nan,910010,False
24,False,False,False,LAW_29,0,False,6|2|1|1|1|1|1|1,1,,,32,0.7773433072197979,0.4045|0.5434|0.6094|0.6354|0.7292|0.8177|0.8785|0.9271,nan,910011,False
32,False,False,False,LAW_29,0,False,16|7|3|1|1|1|1|1,1,,,64,0.7078623189274176,0.1924|0.4482|0.4951|0.5986|0.6670|0.7451|0.8311|0.9219,nan,911000,False
32,False,False,False,LAW_29,0,False,13|4|2|1|2|1|1|1,1,,,16,0.7670738668033773,0.1768|0.3594|0.6328|0.6797|0.7461|0.8467|0.9434|0.9951,nan,911001,False
32,False,False,False,LAW_29,0,False,12|4|2|1|1|1|1|1,1,,,0,0.7698451435174215,0.4453|0.5771|0.6240|0.6943|0.7627|0.8535|0.9189|0.9639,nan,911002,False
32,False,False,False,LAW_29,0,False,18|7|3|2|1|1|1|1,1,,,16,0.742988328755211,0.2910|0.4727|0.5352|0.5986|0.6709|0.7246|0.8184|0.8789,nan,911003,False
32,False,False,False,LAW_29,0,False,14|6|4|2|1|1|1|1,1,,,32,0.7415046920839711,0.2324|0.5137|0.5586|0.6387|0.7090|0.7930|0.8740|0.9648,nan,911004,False
