law_index,seed,enrolled,reason,first_eligible_start,first_eligible_end,corroborating_cadences,enroll_cadence,track_id,candidate_size,prior_snapshots,old_centroid_json,init_centroid_displacement,sham_equals_control,perturb_max_abs_move,momentum_conserved,placebo_available,class_non_informative,class_catastrophic,class_occupancy_alias,class_individuality_signal,pert_reestablished,plac_reestablished,pert_late_home_frac,ctrl_late_home_frac,plac_late_home_frac,pert_longest_consec_home,ctrl_longest_consec_home,pert_origin_regen,pert_best_P_max
52,5024,True,eligible,60,90,"[10, 30]",10,0,12,9,"[0.10928798465103942, 0.6333540609437335]",0.4242640687119285,True,0.30000000000000004,True,True,False,False,False,False,False,False,0.0,0.0,0.0,4,2,False,0.869724128746709
52,5025,True,eligible,0,60,"[10, 60]",10,1,7,6,"[0.17693255708723377, 0.6818592407561253]",0.42426406871192857,True,0.30000000000000004,True,True,False,False,False,False,False,False,0.0,0.0,0.0,0,5,False,0.8968385791898245
52,5026,False,no_cross_cadence_eligible_endpoint,,,[],,,0,0,null,,,,,,,,,,,,,,,,,,
52,5027,False,no_cross_cadence_eligible_endpoint,,,[],,,0,0,null,,,,,,,,,,,,,,,,,,
52,5028,False,no_cross_cadence_eligible_endpoint,,,[],,,0,0,null,,,,,,,,,,,,,,,,,,
52,5029,False,no_cross_cadence_eligible_endpoint,,,[],,,0,0,null,,,,,,,,,,,,,,,,,,
52,5030,False,no_cross_cadence_eligible_endpoint,,,[],,,0,0,null,,,,,,,,,,,,,,,,,,
52,5031,True,eligible,0,180,"[30, 60]",30,0,10,18,"[0.2978805041855665, 0.23095479461726492]",0.4242640687119285,True,0.30000000000000004,True,True,False,False,False,False,False,False,0.0,1.0,0.7222222222222222,0,36,False,0.9395224415726338
52,5032,False,no_cross_cadence_eligible_endpoint,,,[],,,0,0,null,,,,,,,,,,,,,,,,,,
52,5033,False,no_cross_cadence_eligible_endpoint,,,[],,,0,0,null,,,,,,,,,,,,,,,,,,
52,5034,False,no_cross_cadence_eligible_endpoint,,,[],,,0,0,null,,,,,,,,,,,,,,,,,,
52,5035,True,eligible,0,60,"[10, 60]",10,2,10,6,"[0.1830164250840127, 0.09091796884620004]",0.4242640687119284,True,0.30000000000000004,True,True,False,False,False,False,False,False,0.0,0.0,0.3333333333333333,1,1,False,0.8513994189771075
52,5036,False,no_cross_cadence_eligible_endpoint,,,[],,,0,0,null,,,,,,,,,,,,,,,,,,
52,5037,True,eligible,120,300,"[30, 60]",30,5,15,30,"[0.2491664934046416, 0.1885535206544647]",0.4242640687119285,True,0.30000000000000004,True,True,False,False,False,False,False,False,0.1111111111111111,0.5555555555555556,0.0,3,22,False,0.8430070548033296
52,5038,False,no_cross_cadence_eligible_endpoint,,,[],,,0,0,null,,,,,,,,,,,,,,,,,,
52,5039,False,no_cross_cadence_eligible_endpoint,,,[],,,0,0,null,,,,,,,,,,,,,,,,,,
52,5040,False,no_cross_cadence_eligible_endpoint,,,[],,,0,0,null,,,,,,,,,,,,,,,,,,
