law_index,seed,branch,rel_step,abs_step,time,best_P_anywhere,carrier_P,carrier_M,carrier_size,carrier_dist_home,carrier_dist_origin,origin_site_P,origin_site_M_vs_focus,origin_site_size
0,5004,CONTROL,10,430,0.2,0.9473775584705907,0.9473775584705907,1.0,38,0.0028076710185119687,0.0028076710185119687,0.9473775584705907,1.0,38
0,5004,CONTROL,20,440,0.4,0.9165949151634031,0.9165949151634031,1.0,38,0.012845682521408136,0.012845682521408136,0.9165949151634031,1.0,38
0,5004,CONTROL,30,450,0.6,0.8696133014027962,0.8696133014027962,1.0,38,0.031308327156298506,0.031308327156298506,0.8696133014027962,1.0,38
0,5004,CONTROL,40,460,0.8,0.8393539617562658,0.8393539617562658,1.0,38,0.05834282879968333,0.05834282879968333,0.8393539617562658,1.0,38
0,5004,CONTROL,50,470,1.0,0.8268682792063781,0.8268682792063781,1.0,38,0.0894650865961333,0.0894650865961333,0.8268682792063781,1.0,38
0,5004,CONTROL,60,480,1.2,0.8141461241659506,0.7037273019569414,0.8636363636363636,44,0.13697108843081612,0.13697108843081612,0.0,nan,0
0,5004,CONTROL,70,490,1.4000000000000001,0.8157821611381786,0.7728339689858973,0.8837209302325582,43,0.16091428915368933,0.16091428915368933,0.0,nan,0
0,5004,CONTROL,80,500,1.6,0.817040343569073,0.780840027062172,0.8837209302325582,43,0.1809463283733225,0.1809463283733225,0.0,nan,0
0,5004,CONTROL,90,510,1.8,0.8357415667532203,0.8357415667532203,0.8837209302325582,43,0.19555316374081275,0.19555316374081275,0.0,nan,0
0,5004,CONTROL,100,520,2.0,0.8610623126807684,0.8610623126807684,0.8636363636363636,44,0.19151380729904957,0.19151380729904957,0.0,nan,0
0,5004,CONTROL,110,530,2.2,0.8814570419214084,0.8814570419214084,0.8636363636363636,44,0.18113661020764243,0.18113661020764243,0.0,nan,0
0,5004,CONTROL,120,540,2.4,0.8867950281118382,0.8867950281118382,0.8636363636363636,44,0.17257651524546982,0.17257651524546982,0.0,nan,0
0,5004,CONTROL,130,550,2.6,0.8630457158180078,0.8630457158180078,0.8636363636363636,44,0.15291109831832686,0.15291109831832686,0.0,nan,0
0,5004,CONTROL,140,560,2.8000000000000003,0.8912067491958318,0.8912067491958318,0.8636363636363636,44,0.14190748046977925,0.14190748046977925,0.0,nan,0
0,5004,CONTROL,150,570,3.0,0.8705499387733936,0.8705499387733936,0.8636363636363636,44,0.14347716893626208,0.14347716893626208,0.0,nan,0
0,5004,CONTROL,160,580,3.2,0.8541752052053645,0.8541752052053645,0.8636363636363636,44,0.14150424898649439,0.14150424898649439,0.0,nan,0
0,5004,CONTROL,170,590,3.4,0.8649447095854098,0.8649447095854098,0.8636363636363636,44,0.1523997434275,0.1523997434275,0.0,nan,0
0,5004,CONTROL,180,600,3.6,0.8938608777885172,0.8938608777885172,0.8636363636363636,44,0.17191243188792504,0.17191243188792504,0.0,nan,0
0,5004,CONTROL,190,610,3.8000000000000003,0.9157129540099783,0.9157129540099783,0.8636363636363636,44,0.1845580244681659,0.1845580244681659,0.0,nan,0
