A_over_M256,A_over_T,DIRECT_SOURCE_REPLACEMENT_80,EXCESS_INCUMBENT_EGRESS,FORCED_COMPONENT_TURNOVER_80,F_over_M256,F_over_T,I_over_I0,I_over_T,MATCHED_FRESH_REPLACEMENT,T_over_M256,arm,block,coast_gate,core_over_I0,first_cross_source,first_cross_turnover,first_failure_time,first_failure_type,ledger_ok,lineage_ok,loss,mass_gate,merger,planned_sink,planned_source,reacquisition,realized_sink,realized_source,scaffold_cells,scaffold_mass_over_I0,sham_I_matched,size,split,terminal_time
0.254920253459748,0.26776033776025665,False,0.0,False,0.0,0.0,0.6971261010977915,0.7322396622397425,0.0,0.95204635455754,SHAM,L24_S990000,True,0.47858702129872105,,,,NONE,True,True,False,True,False,0.0,0.0,False,0.0,0.0,147.0,0.5247990156715022,117.08228690068118,24,False,12544.0
0.1575221356094601,0.1601897061423131,False,0.2167071680608924,False,0.21763582527231418,0.22132139563449446,0.6081894676322463,0.6184888982231928,0.2167071680608924,0.98334742851402,DIRECT_Q100_ANCHOR,L24_S990000,True,0.4227012091732344,,,,NONE,True,True,False,True,False,167.94994007010695,167.94994007010695,False,43.50947550469296,43.50947550469296,116.0,0.4841355777825122,138.54134052869526,24,False,3584.0
0.2599384171500025,0.27317331975600434,False,0.0,False,0.0,0.0,0.691612844818688,0.7268266802439959,0.0,0.9515512619686904,SHAM,L24_S990001,True,0.4762047050735407,,,,NONE,True,True,False,True,False,0.0,0.0,False,0.0,0.0,140.0,0.506441095751367,113.98666025286133,24,False,12544.0
0.15542613845304037,0.1592930589251283,False,0.22644269401670003,False,0.22656226485233338,0.23219901468656282,0.5937360852681958,0.6085079263883084,0.22644269401670003,0.9757244885735701,DIRECT_Q100_ANCHOR,L24_S990001,True,0.4162554826498114,,,,NONE,True,True,False,True,False,164.8128155901211,164.8128155901211,False,44.75048484320717,44.75048484320717,114.0,0.47468165220718295,135.175973901212,24,False,3584.0
0.2696565193513388,0.27896467396771046,False,0.0,False,0.0,0.0,0.6969766945105377,0.7210353260322885,0.0,0.9666332138618774,SHAM,L24_S990002,True,0.4838014868719966,,,,NONE,True,True,False,True,False,0.0,0.0,False,0.0,0.0,148.0,0.5265980992194416,115.22955772533008,24,False,12544.0
0.17269625590481608,0.17040627624125712,False,0.22218843247219341,False,0.2407816880686111,0.23758888480750034,0.5999604088506029,0.5920048389512437,0.22218843247219341,1.013438352824029,DIRECT_Q100_ANCHOR,L24_S990002,True,0.42060905810891824,,,,NONE,True,True,False,True,False,165.32770555011433,165.32770555011433,False,46.69841473591733,46.69841473591733,115.0,0.47511498182196255,135.92398155658285,24,False,3584.0
0.2634683102986376,0.2734913443290837,False,0.0,False,0.0,0.0,0.6998832390711087,0.7265086556709162,0.0,0.9633515493697464,SHAM,L24_S990003,True,0.4850102490554742,,,,NONE,True,True,False,True,False,0.0,0.0,False,0.0,0.0,147.0,0.5208920840921303,117.83499695774127,24,False,12544.0
0.163176403576104,0.1631226060000568,False,0.21731198599270526,False,0.23629466888327588,0.2362167649698411,0.6008587259503338,0.600660629030102,0.21731198599270526,1.000329798409714,DIRECT_Q100_ANCHOR,L24_S990003,True,0.41745467437941886,,,,NONE,True,True,False,True,False,168.36379324375997,168.36379324375997,False,47.258339632169545,47.25833963216953,114.0,0.4708740106879473,137.75032458367784,24,False,3584.0
0.2426789256627298,0.263814374510182,False,0.0,False,0.0,0.0,0.6772062250736769,0.7361856254898173,0.0,0.9198851507364073,SHAM,L24_S990004,True,0.4700171728783472,,,,NONE,True,True,False,True,False,0.0,0.0,False,0.0,0.0,140.0,0.5086732962544449,111.22831103355837,24,False,12544.0
0.15448939357431274,0.1572934208911027,False,0.23197336455965648,False,0.2509344627565024,0.25548899606143627,0.5767494138485453,0.5872175830474619,0.23197336455965648,0.9821732701793594,DIRECT_Q100_ANCHOR,L24_S990004,True,0.3912399116302556,,,,NONE,True,True,False,True,False,164.24584848058225,164.24584848058225,False,49.31492865209236,49.31492865209236,109.0,0.4470093924314332,132.8293589252292,24,False,3584.0
