L,PASS_at_0.01,PASS_at_0.05,PASS_at_0.2,arm,component_count_over_time,ever_empty,ever_wrapped,first_failure_type,initial_gate,initial_microstate_sha256,initial_wrapping,labelled_fraction,largest_component_fraction_end,n_components_t0,realized_initial_occupancy,residual_at_2048,seed,survival_at_1024,survival_at_2048,survival_at_256,target_occupancy,time_to_complete_dissolution,time_to_first_dynamic_wrapping,time_to_first_terminal_failure,time_to_track_loss,tracked_component_lifetime
24,False,False,False,LAW_16,21|10|7|7|6|5|4|4|3,False,False,TRACK_LOSS,INITIAL_GATE_PASS,257acd817f7c977164afd7e0d252e6900aca5041d4a165ae33ba6d9f8b1256e6,False,0.364849263461701,0.052083333333333336,21,0.3229166666666667,0.5012090802515208,920007,False,False,False,0.35,,,32,32,32
24,False,False,False,BASELINE_SWEEP00,29|0|0|0|0|0|0|0|0,True,False,TRACK_LOSS,INITIAL_GATE_PASS,48a9bd923d10abcff082b7929b0cac909e0f5f29dfe72e8bd0a6c1d6e7586eb5,False,0.4562810679944346,0.0,29,0.3368055555555556,nan,920008,False,False,False,0.35,96,,16,16,16
24,False,False,False,LAW_16,29|9|6|6|5|5|3|3|3,False,False,TRACK_LOSS,INITIAL_GATE_PASS,48a9bd923d10abcff082b7929b0cac909e0f5f29dfe72e8bd0a6c1d6e7586eb5,False,0.4562810679944346,0.0625,29,0.3368055555555556,0.5247468040767269,920008,False,False,False,0.35,,,16,16,16
24,False,False,False,BASELINE_SWEEP00,21|1|0|0|0|0|0|0|0,True,False,SIMULTANEOUS:DISSOLUTION+TRACK_LOSS,INITIAL_GATE_PASS,e3a711a7d548d0ab30befbb9223846ba8db66fcdafa136a3984af286b4fe6686,False,0.4760363840076338,0.0,21,0.3663194444444444,nan,920009,False,False,True,0.35,272,,272,272,272
24,False,False,False,LAW_16,21|9|8|6|4|4|4|3|3,False,False,NONE,INITIAL_GATE_PASS,e3a711a7d548d0ab30befbb9223846ba8db66fcdafa136a3984af286b4fe6686,False,0.4760363840076338,0.11458333333333333,21,0.3663194444444444,0.6324743771077767,920009,True,True,True,0.35,,,,,2048
24,False,False,False,BASELINE_SWEEP00,19|0|0|0|0|0|0|0|0,True,False,TRACK_LOSS,INITIAL_GATE_PASS,88ebcba9007916d9c32ee889d4d1b3d4d181f9647c6a1fbdf7e5ed747e3e05e3,False,0.46399351823727153,0.0,19,0.359375,nan,920010,False,False,False,0.35,160,,16,16,16
24,False,False,False,LAW_16,19|9|9|7|6|5|5|5|5,False,False,TRACK_LOSS,INITIAL_GATE_PASS,88ebcba9007916d9c32ee889d4d1b3d4d181f9647c6a1fbdf7e5ed747e3e05e3,False,0.46399351823727153,0.07465277777777778,19,0.359375,0.5832196333771169,920010,False,False,False,0.35,,,48,48,48
24,False,False,False,BASELINE_SWEEP00,22|1|0|0|0|0|0|0|0,True,False,TRACK_LOSS,INITIAL_GATE_PASS,9e088c30f9b11e58a2d191ceb485be0475445c594f5ad902a5072c739429abd2,False,0.47001930223953825,0.0,22,0.3715277777777778,nan,920011,False,False,False,0.35,272,,16,16,16
24,False,False,False,LAW_16,22|7|4|4|4|3|3|3|3,False,False,TRACK_LOSS,INITIAL_GATE_PASS,9e088c30f9b11e58a2d191ceb485be0475445c594f5ad902a5072c739429abd2,False,0.47001930223953825,0.1284722222222222,22,0.3715277777777778,0.6381920367040856,920011,False,False,False,0.35,,,16,16,16
32,False,False,False,BASELINE_SWEEP00,46|2|0|0|0|0|0|0|0,True,False,TRACK_LOSS,INITIAL_GATE_PASS,7da2aa40213c5f194459612bc185c7551176adfeb23bd0e96e1decab45e9b968,False,0.4892031278075926,0.0,46,0.3740234375,nan,920100,False,False,False,0.35,320,,16,16,16
32,False,False,False,LAW_16,46|14|8|8|8|9|7|6|6,False,False,TRACK_LOSS,INITIAL_GATE_PASS,7da2aa40213c5f194459612bc185c7551176adfeb23bd0e96e1decab45e9b968,False,0.4892031278075926,0.1630859375,46,0.3740234375,0.5800350043338692,920100,False,False,False,0.35,,,16,16,16
32,False,False,False,BASELINE_SWEEP00,39|0|0|0|0|0|0|0|0,True,False,TRACK_LOSS,INITIAL_GATE_PASS,f838ca7b06d061f75e5e7247e339e4c542d636dbbad398b50ebe5954b68dd0b4,False,0.44451762074713763,0.0,39,0.337890625,nan,920101,False,False,False,0.35,176,,16,16,16
32,False,False,False,LAW_16,39|16|13|11|11|10|9|9|8,False,False,TRACK_LOSS,INITIAL_GATE_PASS,f838ca7b06d061f75e5e7247e339e4c542d636dbbad398b50ebe5954b68dd0b4,False,0.44451762074713763,0.0771484375,39,0.337890625,0.5253447666874672,920101,False,False,False,0.35,,,80,80,80
32,False,False,False,BASELINE_SWEEP00,36|0|0|0|0|0|0|0|0,True,False,TRACK_LOSS,INITIAL_GATE_PASS,1eacde01c1d94049d149dd80613f0b7cd3737738bd3f5a8e954e69eba8b1513d,False,0.4399115885004723,0.0,36,0.3466796875,nan,920102,False,False,False,0.35,192,,16,16,16
32,False,False,False,LAW_16,36|14|9|9|7|7|7|7|7,False,False,TRACK_LOSS,INITIAL_GATE_PASS,1eacde01c1d94049d149dd80613f0b7cd3737738bd3f5a8e954e69eba8b1513d,False,0.4399115885004723,0.080078125,36,0.3466796875,0.5585800861044641,920102,False,False,False,0.35,,,16,16,16
32,False,False,False,BASELINE_SWEEP00,34|0|0|0|0|0|0|0|0,True,False,TRACK_LOSS,INITIAL_GATE_PASS,14f460d1a4e14d49ece36fc712360dfa263584f9b3d12cc606d81053f106d0d5,False,0.3929502500327515,0.0,34,0.318359375,nan,920103,False,False,False,0.35,192,,16,16,16
32,False,False,False,LAW_16,34|16|14|11|9|7|7|6|6,False,False,TRACK_LOSS,INITIAL_GATE_PASS,14f460d1a4e14d49ece36fc712360dfa263584f9b3d12cc606d81053f106d0d5,False,0.3929502500327515,0.1591796875,34,0.318359375,0.4605097881966234,920103,False,False,False,0.35,,,16,16,16
32,False,False,False,BASELINE_SWEEP00,40|0|0|0|0|0|0|0|0,True,False,TRACK_LOSS,INITIAL_GATE_PASS,14f2cb23e6e05f31dce320d8d6eda3198e6f9fe266a31e4f45bc94b7a94e4d0a,False,0.4778551599519373,0.0,40,0.345703125,nan,920104,False,False,False,0.35,144,,16,16,16
32,False,False,False,LAW_16,40|14|9|10|10|10|9|9|9,False,False,TRACK_LOSS,INITIAL_GATE_PASS,14f2cb23e6e05f31dce320d8d6eda3198e6f9fe266a31e4f45bc94b7a94e4d0a,False,0.4778551599519373,0.052734375,40,0.345703125,0.5812345592826051,920104,False,False,False,0.35,,,16,16,16
32,False,False,False,BASELINE_SWEEP00,39|0|0|0|0|0|0|0|0,True,False,TRACK_LOSS,INITIAL_GATE_PASS,1f21d62ad1ff3fc775d5d43e873708ebd5cb4748c2373a6163209919aafb66ce,False,0.44399416033271344,0.0,39,0.34765625,nan,920105,False,False,False,0.35,128,,16,16,16
32,False,False,False,LAW_16,39|23|16|12|10|10|9|9|8,False,False,TRACK_LOSS,INITIAL_GATE_PASS,1f21d62ad1ff3fc775d5d43e873708ebd5cb4748c2373a6163209919aafb66ce,False,0.44399416033271344,0.0498046875,39,0.34765625,0.5126819753586277,920105,False,False,False,0.35,,,96,96,96
32,False,False,False,BASELINE_SWEEP00,37|0|0|0|0|0|0|0|0,True,False,TRACK_LOSS,INITIAL_GATE_PASS,6c2e08655d8798a81af45439b9493a0c4182d68da061ccfaa115c1245511950f,False,0.41744738767384326,0.0,37,0.341796875,nan,920106,False,False,False,0.35,144,,16,16,16
32,False,False,False,LAW_16,37|15|10|8|7|7|7|7|7,False,False,TRACK_LOSS,INITIAL_GATE_PASS,6c2e08655d8798a81af45439b9493a0c4182d68da061ccfaa115c1245511950f,False,0.41744738767384326,0.0458984375,37,0.341796875,0.504746903894845,920106,False,False,False,0.35,,,16,16,16
32,False,False,False,BASELINE_SWEEP00,39|0|0|0|0|0|0|0|0,True,False,TRACK_LOSS,INITIAL_GATE_PASS,b1fc40f2bf7cc4cd45a43b12d9a13ccc6305e8aa7669aa5b0cec97213b685fe7,False,0.4530874068038778,0.0,39,0.3564453125,nan,920107,False,False,False,0.35,192,,16,16,16
32,False,False,False,LAW_16,39|16|13|11|12|11|9|9|7,False,False,TRACK_LOSS,INITIAL_GATE_PASS,b1fc40f2bf7cc4cd45a43b12d9a13ccc6305e8aa7669aa5b0cec97213b685fe7,False,0.4530874068038778,0.1015625,39,0.3564453125,0.5115503428943428,920107,False,False,False,0.35,,,48,48,48
32,False,False,False,BASELINE_SWEEP00,46|0|0|0|0|0|0|0|0,True,False,TRACK_LOSS,INITIAL_GATE_PASS,c72b8fd65f0c09b705d43470f879149cb306e76d5e0ab9c8cd79bdbe2371cb5e,False,0.46656759449902463,0.0,46,0.3486328125,nan,920108,False,False,False,0.35,176,,16,16,16
32,False,False,False,LAW_16,46|18|12|11|9|6|6|6|6,False,False,TRACK_LOSS,INITIAL_GATE_PASS,c72b8fd65f0c09b705d43470f879149cb306e76d5e0ab9c8cd79bdbe2371cb5e,False,0.46656759449902463,0.0556640625,46,0.3486328125,0.5480816777861611,920108,False,False,False,0.35,,,48,48,48
32,False,False,False,BASELINE_SWEEP00,37|0|0|0|0|0|0|0|0,True,False,SIMULTANEOUS:DISSOLUTION+TRACK_LOSS,INITIAL_GATE_PASS,516205225814c3d5468e159456358502d197f8e006f9769e840b0148b36418c5,False,0.39985138966505823,0.0,37,0.3154296875,nan,920109,False,False,False,0.35,112,,112,112,112
32,False,False,False,LAW_16,37|17|16|13|13|12|11|10|7,False,False,TRACK_LOSS,INITIAL_GATE_PASS,516205225814c3d5468e159456358502d197f8e006f9769e840b0148b36418c5,False,0.39985138966505823,0.033203125,37,0.3154296875,0.5537421482797906,920109,False,False,False,0.35,,,48,48,48
32,False,False,False,BASELINE_SWEEP00,35|1|0|0|0|0|0|0|0,True,False,TRACK_LOSS,INITIAL_GATE_PASS,ee59ae183341792e65a2b51afbe78781af5560cc99ab3a8b77596697dd50bbdc,False,0.47714054023993463,0.0,35,0.3662109375,nan,920110,False,False,False,0.35,288,,16,16,16
32,False,False,False,LAW_16,35|10|8|6|5|5|5|4|3,False,False,TRACK_LOSS,INITIAL_GATE_PASS,ee59ae183341792e65a2b51afbe78781af5560cc99ab3a8b77596697dd50bbdc,False,0.47714054023993463,0.228515625,35,0.3662109375,0.5650791292677146,920110,False,False,False,0.35,,,48,48,48
32,False,False,False,BASELINE_SWEEP00,33|0|0|0|0|0|0|0|0,True,False,TRACK_LOSS,INITIAL_GATE_PASS,10197315cd39752f3234abd6073fae3f7a88002e100e3fb79161cc6611856b39,False,0.4026159022411025,0.0,33,0.3349609375,nan,920111,False,False,False,0.35,128,,80,80,80
32,False,False,False,LAW_16,33|13|13|13|10|8|8|9|8,False,False,TRACK_LOSS,INITIAL_GATE_PASS,10197315cd39752f3234abd6073fae3f7a88002e100e3fb79161cc6611856b39,False,0.4026159022411025,0.0458984375,33,0.3349609375,0.3905941140291582,920111,False,False,False,0.35,,,48,48,48
24,False,False,False,BASELINE_SWEEP00,24|3|1|0|0|0|0|0|0,True,False,TRACK_LOSS,INITIAL_GATE_PASS,514a898d93091ba2f3e2ed5682f07e73b3bd00e9814bc8a484f2cd5f0a3dbf0d,False,0.546413542860784,0.0,24,0.4166666666666667,nan,921000,False,False,False,0.45,560,,16,16,16
24,False,False,False,LAW_16,24|8|6|4|3|4|4|4|3,False,False,TRACK_LOSS,INITIAL_GATE_PASS,514a898d93091ba2f3e2ed5682f07e73b3bd00e9814bc8a484f2cd5f0a3dbf0d,False,0.546413542860784,0.22743055555555555,24,0.4166666666666667,0.6005749677923568,921000,False,False,False,0.45,,,16,16,16
