tag,condition,seed,frames,final_state_sha256,blocked_fraction,r80_median,r80_mean,r80_sd,N_X_window_mean
M/seed9300014,M,9300014,180,030d7e2ab9eb5bc1c0e25533eca94107f11f5bb03be57961c54ebe41fd6948bb,0.0004749042771066457,8.0,8.337249896026625,1.6311348327319717,121.52777777777777
M/seed9300015,M,9300015,180,8052cfd1cce841f67bd911e757a36a0cbe8c34397f5deea5c17bf266d634424d,0.0003477192046125357,8.365746312736945,9.433649860475928,3.1835164281006745,109.86111111111111
M/seed9300016,M,9300016,180,e2df28d0d03f676cae7880486a979e1e2d1820e5fe0be64aa4c85a1a50e2bfc7,0.0002948090922147722,7.810249675906654,8.000953519301133,1.33758245348501,119.1
M/seed9300017,M,9300017,180,4464f0d9d40152bba20297504893c33c9c6bcf77c79e3fe15fc0465031ab88a8,0.00043542435424354244,8.246211251235321,8.418382821204753,1.6688897082162697,123.01666666666667
M/seed9300018,M,9300018,180,dc41ff388d53faa5a76fb5070696efaa7990e103971c05964574bf160c6e6477,0.0003855364517300948,8.06225774829855,8.007619226279447,1.239584943252943,122.37222222222222
M/seed9300019,M,9300019,180,345138fe17f7d7a44380ec6fa6172752ee3fb3806181fbb96b3b90c9ee234dec,0.000394809770023309,7.615773105863909,8.144165483610255,1.75458273637547,117.82222222222222
M/seed9300020,M,9300020,180,2a38be681ae6f2ec726d1462e38a5e94c577aa596a837a37dd23161b9b332c08,0.0002681444404719342,8.06225774829855,8.347547890293514,1.596644455278192,122.82777777777778
M/seed9300021,M,9300021,180,f4f37128078c90a583137bf78c4c7c7f73b83359f8602cc655c06987d3a48405,0.0004639900242144794,8.06225774829855,8.45450378983301,1.413908999991243,125.83888888888889
M/seed9300022,M,9300022,180,40aeb69a459f08cd13cb4fd24293fd623804053b126b9a77dc6179258ae110d7,0.00035124944445240927,8.06225774829855,8.2617051072034,1.2572941814076286,124.65
M/seed9300023,M,9300023,180,e3eb5d6c13ab20511257a059a7f02b8474ca1c07b10b8104a8309c1319091849,0.00038344711437250005,8.54400374531753,8.871405551577642,1.921169099805843,118.95
M/seed9300024,M,9300024,180,9c83144b09058e2a1658804d4937a69a09aba914e1b920e5cf81e5ec13ff7ecf,0.0004215383932731347,8.06225774829855,8.414116317908443,1.3254626808223258,123.36666666666666
M/seed9300025,M,9300025,180,856d64849239a66e2aeaeeebe22a2ffc612ba2886f1fd0af9744fb8919f30121,0.0004359591100420926,8.06225774829855,8.132198879745642,1.459167606225717,120.7
M/seed9300026,M,9300026,180,c1e4f6a3fd05b8f4d12eaaf3529b3cce86f2e49235b96f6494efed45aa34bdbb,0.0003733731598037124,8.06225774829855,8.364087303390715,1.602316487590684,118.82222222222222
M/seed9300027,M,9300027,180,e6580504dab5bbad9599fdfa0a65c7980825806a8f2ac670090782fe39e8f0b1,0.0005086326259572183,8.06225774829855,8.457511599531596,1.6455281502287187,127.21666666666667
S/seed9300000,S,9300000,180,8f3150a0e420078d5dab553a52f7d5eb850f5b05b30aeb7a821c6b03c2e2cb89,0.00036723407932256113,6.082762530298219,6.082875951676307,0.6716594482144229,83.03888888888889
S/seed9300001,S,9300001,180,758204f6b4cc083a0a9fb0b8d35175da2e1fbfdd1de34eda70ba36d910f24f08,0.00033268275372604685,5.830951894845301,5.850711095924935,0.5906739875549176,82.8
S/seed9300002,S,9300002,180,fab23ac11ce790af6e0e9ad8383fcaa9cd91e106cb9184ee80b35f4ff8933b73,0.0005969687254717711,6.082762530298219,6.040268582604432,0.619641187397344,81.72777777777777
S/seed9300003,S,9300003,180,713206a35f749f8f00fcf66b07660990298f8fdda2896dc01e59388523c38dda,0.0002996005326231691,6.082762530298219,6.237439256107534,0.8874773574776894,81.12777777777778
S/seed9300004,S,9300004,180,59b40d0d16ea9d7ad6c425953f057860c589122d774a101b77d58276d770a818,0.0002611846902240747,6.0,5.945062051500587,0.6303439545483166,81.72222222222223
S/seed9300005,S,9300005,180,15f2f6317702d4e12c2304ae392a2d4552c75cd5eceb494c0ca6cefa4f0fcd15,0.0004284876640656714,5.91547594742265,5.915265772427565,0.8246670277048076,78.35
S/seed9300006,S,9300006,180,1c4e79a14128ab14ce6a675a62cf4b86beea705e41400d29b99ea131e7beb740,0.0004792819484989761,6.082762530298219,6.096416621124574,0.7053933832614802,83.68333333333334
S/seed9300007,S,9300007,180,a0db588824129ffbad7a2905e2f1a67de563943ef1c659c8209587a78ff5abe0,0.0004817549323862554,6.0,5.936304351565546,0.7580197525658281,80.32777777777778
S/seed9300008,S,9300008,180,b08b84994277164680453b2b1b4ffdd8b405f56d831c2ef5c31184bac60ae7e0,0.0003281880736454037,6.082762530298219,6.151048873598768,0.6413480731971732,83.76666666666667
S/seed9300009,S,9300009,180,0c1254b8d888344d72a34c694c9852190e902cb40fdf8ef2553185831b28559d,0.0003544057059318655,6.0,5.940925017087322,0.7050250181474759,82.99444444444444
S/seed9300010,S,9300010,180,74555093a06110e9d9aaa95abff8e5412d0703d0277afa6976c0b5d47da373c2,0.00043353854157634613,5.830951894845301,5.930326034881396,0.8476782672103114,82.48333333333333
S/seed9300011,S,9300011,180,beff0675c95dd37858bc638f4ff1bc8c40c416a020908bfd1da57f7573da2df4,0.0005107585307541839,6.082762530298219,6.141579597519833,0.6497958790759031,83.21111111111111
S/seed9300012,S,9300012,180,d6d79ea20a7051e5407a92d068ac2cb4e4eb5c6734367c1789e340b3617ac45d,0.0005430827549501993,6.082762530298219,6.067263804676817,0.6158782909698596,82.96111111111111
S/seed9300013,S,9300013,180,1494b0fe21e664231add62f219dac9c3bf14718f5d6b1cd83081c4280754a1a1,0.0003621495327102804,5.830951894845301,5.767490279801384,0.6319697725931205,75.87222222222222
