track_id,start_step,end_step,start_time,end_time,tau,phenotype_continuity,material_retention,start_count,end_count,interval_has_ambiguity,interval_has_split_or_merge,unresolved_sparse_alias_risk,law_index,seed,snapshot_cadence,track_observations,track_ever_complex,clean_probe_cadence_count_same_endpoint,interval_observations,centroid_path_length,centroid_net_displacement,centroid_step_distance_mean,centroid_step_distance_max,start_material_count,end_material_count,retained_material_count,lost_material_count,gained_material_count,recomputed_material_retention,material_retention_absolute_error,descriptor_rms_change,recomputed_phenotype_continuity,phenotype_continuity_absolute_error,selected_edge_transitions,selected_centroid_distance_mean,selected_centroid_distance_max,compatible_unselected_edges,selected_score_margin_min,selected_classifications_json,static_occupancy_or_lookalike_alias_rejected,direct_audit_disposition
4,0,180,0.0,3.6,3.6,0.8341639026241623,0.4,4,10,False,False,True,0,2001,30,21,False,2,7,0.1402121783716998,0.0905302904260559,0.023368696395283304,0.0699742144121461,4,10,4,0,6,0.4,0.0,0.1813253700038287,0.8341639026241623,0.0,6,0.023368696395283304,0.0699742144121461,0,,"{""unique_candidate"": 6}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
4,0,180,0.0,3.6,3.6,0.8341639026241623,0.4,4,10,False,False,True,0,2001,60,11,False,2,4,0.12250008565816296,0.0905302904260559,0.040833361886054326,0.06503791739707396,4,10,4,0,6,0.4,0.0,0.1813253700038287,0.8341639026241623,0.0,3,0.040833361886054326,0.06503791739707396,0,,"{""unique_candidate"": 3}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
3,60,240,1.2,4.8,3.5999999999999996,0.8203662229577121,0.46153846153846156,6,13,False,False,True,0,2002,30,21,False,2,7,0.17639736889946664,0.0739131731372803,0.02939956148324444,0.04943087740015457,6,13,6,0,7,0.46153846153846156,0.0,0.19800442506283833,0.8203662229577121,0.0,6,0.02939956148324443,0.04943087740015457,0,,"{""unique_candidate"": 6}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
5,60,240,1.2,4.8,3.5999999999999996,0.9285312830656991,0.3333333333333333,4,4,False,False,True,0,2002,30,10,False,2,7,0.16046794712148466,0.08524780932423827,0.026744657853580777,0.06299018772044739,4,4,2,2,2,0.3333333333333333,0.0,0.07415120670987668,0.9285312830656991,0.0,6,0.026744657853580777,0.06299018772044739,0,,"{""unique_candidate"": 6}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
3,60,240,1.2,4.8,3.5999999999999996,0.8203662229577121,0.46153846153846156,6,13,False,False,True,0,2002,60,11,False,2,4,0.10984623685940026,0.0739131731372803,0.03661541228646675,0.04712188451774962,6,13,6,0,7,0.46153846153846156,0.0,0.19800442506283833,0.8203662229577121,0.0,3,0.036615412286466746,0.04712188451774962,0,,"{""unique_candidate"": 3}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
8,60,240,1.2,4.8,3.5999999999999996,0.8812976461882033,0.38461538461538464,6,12,False,False,True,12,2001,30,19,False,2,7,0.3761011818665426,0.13090376397147097,0.06268353031109043,0.10876721190154198,6,12,5,1,7,0.38461538461538464,0.0,0.12635985972066166,0.8812976461882033,0.0,6,0.06268353031109045,0.10876721190154201,0,,"{""unique_candidate"": 6}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
1,60,240,1.2,4.8,3.5999999999999996,0.8812976461882033,0.38461538461538464,6,12,False,False,True,12,2001,60,11,False,2,4,0.20238676782860548,0.13090376397147097,0.06746225594286849,0.07962341597452813,6,12,5,1,7,0.38461538461538464,0.0,0.12635985972066166,0.8812976461882033,0.0,3,0.06746225594286853,0.07962341597452822,0,,"{""unique_candidate"": 3}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
0,60,240,1.2,4.8,3.5999999999999996,0.8370819625342042,0.375,6,5,False,False,True,12,2003,30,21,False,2,7,0.34812180454974556,0.11373887470543216,0.05802030075829092,0.08671730865312796,6,5,3,3,2,0.375,0.0,0.17783328911224433,0.8370819625342042,0.0,6,0.05802030075829093,0.08671730865312793,0,,"{""unique_candidate"": 6}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
0,60,240,1.2,4.8,3.5999999999999996,0.8370819625342042,0.375,6,5,False,False,True,12,2003,60,11,False,2,4,0.23149203793002296,0.11373887470543216,0.07716401264334098,0.11218025687000792,6,5,3,3,2,0.375,0.0,0.17783328911224433,0.8370819625342042,0.0,3,0.07716401264334098,0.11218025687000789,0,,"{""unique_candidate"": 3}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
0,120,300,2.4,6.0,3.6,0.8785580826055678,0.3333333333333333,8,8,False,False,True,12,2003,30,21,False,2,7,0.4776324136530141,0.23906440145580274,0.07960540227550235,0.14148570531351137,8,8,4,4,4,0.3333333333333333,0.0,0.12947325788251213,0.8785580826055678,0.0,6,0.07960540227550235,0.14148570531351135,0,,"{""unique_candidate"": 6}",False,OBSERVATIONAL_ALIAS_UNRESOLVED
