law_index,seed,snapshot_cadence,tracks,mean_track_observations,median_track_observations,mean_lifetime_steps,median_lifetime_steps,complex_tracks,birth_events,disappearance_events,continuity_events,split_events,merge_events,ambiguity_events
7,2003,10,39,6.538461538461538,2.0,55.38461538461539,10.0,16,39,36,216,2,11,3
7,2003,30,35,2.5142857142857142,1.0,45.42857142857143,0.0,9,35,32,53,1,4,0
7,2003,60,29,1.6551724137931034,1.0,39.310344827586206,0.0,0,29,26,19,0,0,0
8,2001,10,16,25.875,17.5,248.75,165.0,7,16,11,398,2,3,1
8,2001,30,13,11.0,9.0,300.0,240.0,5,13,8,130,0,3,0
8,2001,60,13,5.769230769230769,6.0,286.15384615384613,300.0,7,13,8,62,1,2,1
8,2002,10,16,16.625,3.5,156.25,25.0,11,16,12,250,4,4,3
8,2002,30,13,7.230769230769231,2.0,186.92307692307693,30.0,6,13,9,81,1,3,1
8,2002,60,10,4.9,2.5,234.0,90.0,5,10,6,39,1,2,2
8,2003,10,23,12.391304347826088,3.0,113.91304347826087,20.0,4,23,19,262,0,1,2
8,2003,30,18,5.722222222222222,2.0,141.66666666666666,30.0,2,18,14,85,0,0,1
8,2003,60,14,3.9285714285714284,1.5,175.71428571428572,30.0,3,14,10,41,1,0,1
9,2001,10,14,27.214285714285715,14.0,262.14285714285717,130.0,7,14,8,367,2,4,0
9,2001,30,9,14.444444444444445,19.0,403.3333333333333,540.0,4,9,3,121,0,2,0
9,2001,60,9,7.444444444444445,10.0,386.6666666666667,540.0,3,9,3,58,1,1,0
9,2002,10,17,28.294117647058822,24.0,272.94117647058823,230.0,11,17,9,464,4,3,0
9,2002,30,16,10.3125,9.0,279.375,240.0,6,16,8,149,1,2,0
9,2002,60,13,6.615384615384615,9.0,336.9230769230769,480.0,4,13,5,73,0,2,0
9,2003,10,19,21.526315789473685,6.0,205.26315789473685,50.0,12,19,12,390,5,5,1
9,2003,30,11,12.545454545454545,18.0,346.3636363636364,510.0,4,11,4,127,2,0,0
9,2003,60,9,8.0,9.0,420.0,480.0,2,9,2,63,1,0,0
10,2001,10,28,15.428571428571429,3.5,144.28571428571428,25.0,8,28,21,404,2,2,2
10,2001,30,16,9.25,9.0,247.5,240.0,4,16,9,132,0,1,2
10,2001,60,13,5.846153846153846,6.0,290.7692307692308,300.0,4,13,6,63,0,1,2
10,2002,10,25,15.28,3.0,142.8,20.0,11,25,20,357,3,6,0
10,2002,30,16,8.125,3.0,213.75,60.0,6,16,11,114,2,2,0
10,2002,60,14,4.714285714285714,2.0,222.85714285714286,60.0,2,14,9,52,0,1,0
10,2003,10,21,19.571428571428573,4.0,185.71428571428572,30.0,10,21,15,390,4,5,0
10,2003,30,14,10.214285714285714,7.5,276.42857142857144,195.0,4,14,8,129,0,2,0
10,2003,60,12,6.083333333333333,8.0,305.0,420.0,4,12,6,61,0,2,0
11,2001,10,17,16.058823529411764,11.0,150.58823529411765,100.0,8,17,13,256,1,5,1
