track_id,start_step,end_step,start_time,end_time,tau,phenotype_continuity,material_retention,start_count,end_count,interval_has_ambiguity,interval_has_split_or_merge,unresolved_sparse_alias_risk,law_index,seed,snapshot_cadence,track_observations,track_ever_complex,clean_probe_cadence_count_same_endpoint,eligible_seed_count_for_law,eligible_law
16,180,210,3.6,4.2,0.6000000000000001,0.8505417232558171,0.2857142857142857,5,4,False,False,True,48,2002,10,31,False,2,1,False
14,180,210,3.6,4.2,0.6000000000000001,0.8505417232558171,0.2857142857142857,5,4,False,False,True,48,2002,30,11,False,2,1,False
62,540,600,10.8,12.0,1.1999999999999993,0.8279592316087638,0.46153846153846156,8,11,False,False,True,49,2003,10,12,False,2,1,False
11,540,600,10.8,12.0,1.1999999999999993,0.8296536779131174,0.4166666666666667,10,7,False,False,True,49,2003,60,8,False,2,1,False
11,60,120,1.2,2.4,1.2,0.8257854589893185,0.1,4,7,False,False,True,52,2001,10,56,False,2,2,True
7,60,120,1.2,2.4,1.2,0.8303603820873814,0.3333333333333333,4,4,False,False,True,52,2001,60,10,False,2,2,True
10,120,300,2.4,6.0,3.6,0.8310983012515477,0.42857142857142855,4,6,False,False,True,52,2001,30,17,False,2,2,True
7,120,300,2.4,6.0,3.6,0.8310983012515477,0.42857142857142855,4,6,False,False,True,52,2001,60,10,False,2,2,True
1,60,240,1.2,4.8,3.5999999999999996,0.8495445415813377,0.42857142857142855,6,14,False,False,True,52,2003,30,21,False,2,2,True
6,60,240,1.2,4.8,3.5999999999999996,0.8773971892475865,0.4117647058823529,7,17,False,False,True,52,2003,30,21,False,2,2,True
1,60,240,1.2,4.8,3.5999999999999996,0.8495445415813377,0.42857142857142855,6,14,False,False,True,52,2003,60,11,False,2,2,True
6,60,240,1.2,4.8,3.5999999999999996,0.8773971892475865,0.4117647058823529,7,17,False,False,True,52,2003,60,11,False,2,2,True
18,180,210,3.6,4.2,0.6000000000000001,0.8603067710845426,0.46153846153846156,9,10,False,False,True,58,2002,10,49,False,2,1,False
7,180,210,3.6,4.2,0.6000000000000001,0.8603067710845426,0.46153846153846156,9,10,False,False,True,58,2002,30,20,False,2,1,False
1,60,240,1.2,4.8,3.5999999999999996,0.8310574305792202,0.42857142857142855,6,14,False,False,True,59,2002,30,21,False,2,1,False
1,60,240,1.2,4.8,3.5999999999999996,0.8310574305792202,0.42857142857142855,6,14,False,False,True,59,2002,60,11,False,2,1,False
1,120,300,2.4,6.0,3.6,0.8899152405942137,0.42857142857142855,6,14,False,False,True,59,2002,30,21,False,2,1,False
1,120,300,2.4,6.0,3.6,0.8899152405942137,0.42857142857142855,6,14,False,False,True,59,2002,60,11,False,2,1,False
2,0,60,0.0,1.2,1.2,0.8003894319251719,0.45454545454545453,7,9,False,False,True,73,2001,10,61,False,2,2,True
2,0,60,0.0,1.2,1.2,0.8003894319251719,0.45454545454545453,7,9,False,False,True,73,2001,60,11,False,2,2,True
4,60,240,1.2,4.8,3.5999999999999996,0.8184536224980146,0.4,6,15,False,False,True,73,2002,30,21,False,2,2,True
