law_index,seed,snapshot_cadence,lag_snapshots,tau,rows,probe_rows,probe_fraction,mean_p,mean_m,p_min,p_max,m_min,m_max
0,2001,10,1,0.2,314,0,0.0,0.9497329749008248,0.9845213299737466,0.5324825737929526,0.9986837265470886,0.4444444444444444,1.0
0,2001,10,3,0.6,302,0,0.0,0.9169528615661913,0.9780198427004041,0.4351125331859608,0.9990148762328627,0.5555555555555556,1.0
0,2001,10,6,1.2,284,0,0.0,0.9009479924567194,0.9679345525596568,0.3508696099830455,0.9995704652582412,0.5,1.0
0,2001,30,1,0.6,105,0,0.0,0.9098608685500735,0.9696950606194303,0.5688660708160966,0.9972381238620057,0.4444444444444444,1.0
0,2001,30,3,1.8,93,1,0.010752688172043012,0.8810286454282751,0.9507238000596633,0.4050908536421724,0.995975493591914,0.4,1.0
0,2001,30,6,3.6,75,1,0.013333333333333334,0.8557437153565358,0.9301864228411542,0.39939264891414467,0.9954332422942258,0.4,1.0
0,2001,60,1,1.2,51,0,0.0,0.8965163333106138,0.9613361647963724,0.4178872889502494,0.9988370366611478,0.4,1.0
0,2001,60,3,3.6,39,1,0.02564102564102564,0.860731659713004,0.9322924756330226,0.39939264891414467,0.9954332422942258,0.4,1.0
0,2001,60,6,7.2,21,1,0.047619047619047616,0.7939974322112212,0.8742574547470419,0.39227882621003046,0.961568437247913,0.4,1.0
0,2002,10,1,0.2,330,1,0.0030303030303030303,0.9320541186906944,0.9679457217647329,0.5803247859894796,0.996507036950333,0.4642857142857143,1.0
0,2002,10,3,0.6,312,3,0.009615384615384616,0.886121457819564,0.9241145884483694,0.4845738544249367,0.994821319229211,0.0,1.0
0,2002,10,6,1.2,285,3,0.010526315789473684,0.8675804758582667,0.8770900027528726,0.3927960163572862,0.9928827488897064,0.0,1.0
0,2002,30,1,0.6,106,0,0.0,0.8813344401165365,0.9207506628683388,0.4845738544249367,0.9906080310452048,0.3333333333333333,1.0
0,2002,30,3,1.8,88,1,0.011363636363636364,0.8432645556431742,0.8354287312632674,0.35502958391039907,0.9813381545481469,0.0,1.0
0,2002,30,6,3.6,63,3,0.047619047619047616,0.7981096004705398,0.6970324316007126,0.36972550310891145,0.9660359260807472,0.0,1.0
0,2002,60,1,1.2,48,0,0.0,0.8659378048414318,0.8981296491439036,0.5907158591910401,0.9828091977085529,0.3333333333333333,1.0
0,2002,60,3,3.6,29,2,0.06896551724137931,0.8235276821601973,0.7765531520976168,0.5736932886654437,0.9630760211265583,0.26666666666666666,1.0
0,2002,60,6,7.2,10,0,0.0,0.7700408673111573,0.6358825093035619,0.6405408131026427,0.8967923224202302,0.2,0.9166666666666666
0,2003,10,1,0.2,281,0,0.0,0.9318471631585424,0.9664786405573919,0.5086638098711797,0.9967375990449859,0.4117647058823529,1.0
0,2003,10,3,0.6,261,0,0.0,0.9048668272953138,0.9558064407063299,0.5362148769221611,0.9914061723834809,0.3,1.0
0,2003,10,6,1.2,243,0,0.0,0.888387722900794,0.9376290153962519,0.5100734630328484,0.9891307858513407,0.3076923076923077,1.0
0,2003,30,1,0.6,90,0,0.0,0.8968401590520876,0.9577993037955087,0.5362148769221611,0.9906090052334081,0.5161290322580645,1.0
0,2003,30,3,1.8,78,0,0.0,0.8627727954219094,0.9219770073258613,0.5014743868618594,0.983650418847115,0.46153846153846156,1.0
0,2003,30,6,3.6,61,0,0.0,0.8478726146122294,0.8725596859357398,0.4984636945811311,0.9816735003150462,0.46153846153846156,1.0
0,2003,60,1,1.2,43,0,0.0,0.8779042669573971,0.931877124390694,0.5318084425995997,0.9881859459013671,0.45161290322580644,1.0
0,2003,60,3,3.6,32,1,0.03125,0.8420183521730853,0.8613798934304152,0.5631461357429843,0.9816735003150462,0.41935483870967744,1.0
0,2003,60,6,7.2,18,4,0.2222222222222222,0.8180442042947749,0.7397005622812074,0.5589882887751747,0.9542428991057652,0.1935483870967742,1.0
1,2001,10,1,0.2,188,0,0.0,0.8719652219297268,0.914519616067366,0.39646709589340445,0.9855196885589592,0.35714285714285715,1.0
1,2001,10,3,0.6,158,3,0.0189873417721519,0.8129824686706472,0.8596498704603024,0.46784398359406504,0.9572855853582819,0.045454545454545456,1.0
1,2001,10,6,1.2,126,1,0.007936507936507936,0.7889961399710719,0.8313307896976478,0.46314869417351895,0.9663262451590592,0.25925925925925924,1.0
1,2001,30,1,0.6,56,1,0.017857142857142856,0.8148725889704856,0.8516250683859246,0.5201403438212124,0.9545554191720109,0.375,1.0
1,2001,30,3,1.8,43,3,0.06976744186046512,0.7766451731919506,0.7330592310769066,0.5383563049682335,0.943850877930899,0.10526315789473684,1.0
1,2001,30,6,3.6,31,3,0.0967741935483871,0.7920364057731677,0.6609343174839425,0.49769411223536986,0.918753331089021,0.10526315789473684,1.0
1,2001,60,1,1.2,24,1,0.041666666666666664,0.8069901224738962,0.8295310451806263,0.5863151548322358,0.9003317312023428,0.38095238095238093,1.0
1,2001,60,3,3.6,15,0,0.0,0.8172566363044742,0.7474385429469789,0.6487004528796855,0.918753331089021,0.11764705882352941,1.0
1,2001,60,6,7.2,5,0,0.0,0.8002812495954508,0.7082828282828283,0.7037403583607558,0.8676521861025682,0.36363636363636365,1.0
1,2002,10,1,0.2,176,1,0.005681818181818182,0.8829524205823901,0.9300407706396082,0.49555362384300544,0.9802250752872345,0.47368421052631576,1.0
1,2002,10,3,0.6,156,0,0.0,0.8104009419482444,0.870617369567307,0.4468277495017734,0.9506596911039472,0.375,1.0
1,2002,10,6,1.2,136,0,0.0,0.7772326699459403,0.8185358319096488,0.39243832427892594,0.936146835294352,0.2916666666666667,1.0
1,2002,30,1,0.6,55,0,0.0,0.8118157494757606,0.8734141939580687,0.4588943840405589,0.9327614443914819,0.375,1.0
1,2002,30,3,1.8,43,2,0.046511627906976744,0.7673369815785634,0.771479894624856,0.4004699441702903,0.9019240767439918,0.2,1.0
1,2002,30,6,3.6,31,1,0.03225806451612903,0.7447239248364227,0.6469291394131563,0.4001191292137128,0.8736173079209263,0.14285714285714285,1.0
