L,attempted,axis,balance_error,coast_survival,deficit,first_failure_time,first_failure_type,fresh_frac_1536,fresh_frac_2048,initial_microstate_sha256,intervention,joint_exchange_persistence_1536,joint_exchange_persistence_2048,law,mass_1536,mass_2048,realized,residual_1536,residual_2048,seed,survival_1536,survival_2048,survival_256,t256_area,t256_checkpoint_sha256,t256_mass,t256_residual,t256_status,unique_egress_cells,unique_ingress_cells
24,808,-x,0.0,False,768,336,TRACK_LOST_OR_DISSOLVED,nan,nan,b9bf4790ebc5806e397137eb199926f91a35f2307c09d6576fbdb192da978287,FLOW_4N,False,False,LAW_16,0.0,0.0,40,nan,nan,940001,False,False,True,209,ee1f75ccef155915c1980c2367b6a1985ffead433bdae51975e6ac7dddd491a3,165.63716520107536,0.966097529834943,T256_VALID_TRACK,40,25.109339680110722
24,404,+y,0.0,False,404,1728,TRACK_LOST_OR_DISSOLVED,0.0,nan,2a50fdb1de94aaa0065ce8dcd76bfa8add1199847b7baf2908282f0c78742afe,SHAM,False,False,BASELINE_SWEEP00,25.913292534545946,0.0,0,0.7888057214292424,nan,940002,True,False,True,201,76b0656167cd14c47c421ee7bc00773a1cc30a8d4dd97d19c15bc8a335018257,122.07776865041724,0.9216141854898802,T256_VALID_TRACK,0,0.0
24,404,+y,0.0,False,349,400,TRACK_LOST_OR_DISSOLVED,nan,nan,2a50fdb1de94aaa0065ce8dcd76bfa8add1199847b7baf2908282f0c78742afe,FLOW_2N,False,False,BASELINE_SWEEP00,0.0,0.0,55,nan,nan,940002,False,False,True,201,76b0656167cd14c47c421ee7bc00773a1cc30a8d4dd97d19c15bc8a335018257,122.07776865041724,0.9216141854898802,T256_VALID_TRACK,55,19.05505412675676
24,808,+y,0.0,False,748,352,TRACK_LOST_OR_DISSOLVED,nan,nan,2a50fdb1de94aaa0065ce8dcd76bfa8add1199847b7baf2908282f0c78742afe,FLOW_4N,False,False,BASELINE_SWEEP00,0.0,0.0,60,nan,nan,940002,False,False,True,201,76b0656167cd14c47c421ee7bc00773a1cc30a8d4dd97d19c15bc8a335018257,122.07776865041724,0.9216141854898802,T256_VALID_TRACK,60,25.504730396877473
24,404,+y,0.0,True,404,,NONE,0.0,0.0,2a50fdb1de94aaa0065ce8dcd76bfa8add1199847b7baf2908282f0c78742afe,SHAM,False,False,LAW_16,162.9514344556344,161.7719344386514,0,0.8970260552148016,0.8817159249204672,940002,True,True,True,214,8557e6214c0a6f069289837614edb4fb5eeb09e3f59e87400a21a8ffd7b23d72,166.98738294589702,0.9583720853274583,T256_VALID_TRACK,0,0.0
24,404,+y,0.0,False,319,544,TRACK_LOST_OR_DISSOLVED,nan,nan,2a50fdb1de94aaa0065ce8dcd76bfa8add1199847b7baf2908282f0c78742afe,FLOW_2N,False,False,LAW_16,0.0,0.0,85,nan,nan,940002,False,False,True,214,8557e6214c0a6f069289837614edb4fb5eeb09e3f59e87400a21a8ffd7b23d72,166.98738294589702,0.9583720853274583,T256_VALID_TRACK,85,0.008478790132899358
24,808,+y,0.0,False,710,432,TRACK_LOST_OR_DISSOLVED,nan,nan,2a50fdb1de94aaa0065ce8dcd76bfa8add1199847b7baf2908282f0c78742afe,FLOW_4N,False,False,LAW_16,0.0,0.0,98,nan,nan,940002,False,False,True,214,8557e6214c0a6f069289837614edb4fb5eeb09e3f59e87400a21a8ffd7b23d72,166.98738294589702,0.9583720853274583,T256_VALID_TRACK,98,0.006144771919850499
24,404,-y,0.0,True,404,,NONE,0.0,0.0,6bcebc004490d61f020f45a0f16722f36d74b609ad1bb1b0dc7189c39dfc6ea5,SHAM,False,False,BASELINE_SWEEP00,82.65667679207935,43.034524641969924,0,0.7451167378679131,0.7246452370247167,940003,True,True,True,208,daf166f7058c7da991876f9d595211b1e15e4892907b91526dc01358344f33c4,128.53145102898634,0.9137172387188117,T256_VALID_TRACK,0,0.0
24,404,-y,0.0,False,364,368,TRACK_LOST_OR_DISSOLVED,nan,0.06750901716316834,6bcebc004490d61f020f45a0f16722f36d74b609ad1bb1b0dc7189c39dfc6ea5,FLOW_2N,False,False,BASELINE_SWEEP00,0.0,18.934036262302712,40,nan,0.6526862346660245,940003,False,False,True,208,daf166f7058c7da991876f9d595211b1e15e4892907b91526dc01358344f33c4,128.53145102898634,0.9137172387188117,T256_VALID_TRACK,40,14.81088709507966
24,808,-y,0.0,False,758,320,TRACK_LOST_OR_DISSOLVED,nan,nan,6bcebc004490d61f020f45a0f16722f36d74b609ad1bb1b0dc7189c39dfc6ea5,FLOW_4N,False,False,BASELINE_SWEEP00,0.0,0.0,50,nan,nan,940003,False,False,True,208,daf166f7058c7da991876f9d595211b1e15e4892907b91526dc01358344f33c4,128.53145102898634,0.9137172387188117,T256_VALID_TRACK,50,16.547917104737127
