M256,block,checkpoint,law,quantum,rho_observed_next_window,rho_probe_slope8,saturation_mass_added,size,src_bound_fraction_next_window
165.7134524247865,LAW_16_L24_S930000,272,LAW_16,2.071418155309831,0.03711323926334556,0.048018998872887325,18.182811227601018,24,
165.7134524247865,LAW_16_L24_S930000,1296,LAW_16,2.071418155309831,0.011970263442118975,0.013649813270374983,0.0,24,
165.7134524247865,LAW_16_L24_S930000,2320,LAW_16,2.071418155309831,,0.011878588291196895,0.0,24,
166.65652820955955,LAW_16_L24_S930001,272,LAW_16,2.0832066026194944,0.042615983909558744,0.05259172764644718,22.548167969903815,24,
166.65652820955955,LAW_16_L24_S930001,1296,LAW_16,2.0832066026194944,0.01539198079903422,0.015561227660773003,0.0,24,
166.65652820955955,LAW_16_L24_S930001,2320,LAW_16,2.0832066026194944,,0.01700073397085139,0.0,24,
167.04289475167,LAW_16_L24_S930002,272,LAW_16,2.088036184395875,0.04223430658263335,0.05202152286334981,21.65358518745886,24,
167.04289475167,LAW_16_L24_S930002,1296,LAW_16,2.088036184395875,0.017185260453596626,0.01642941507399137,0.0,24,
167.04289475167,LAW_16_L24_S930002,2320,LAW_16,2.088036184395875,,0.019401341422312632,0.0,24,
163.50859085753203,LAW_16_L24_S930003,272,LAW_16,2.0438573857191504,0.0415054767618129,0.05072024606401514,20.620495666656396,24,
163.50859085753203,LAW_16_L24_S930003,1296,LAW_16,2.0438573857191504,0.018457608224549414,0.017129820193505133,0.0,24,
163.50859085753203,LAW_16_L24_S930003,2320,LAW_16,2.0438573857191504,,0.020579167720366026,0.0,24,
167.06102967466316,LAW_16_L24_S930004,272,LAW_16,2.0882628709332893,0.03992511495352253,0.04890381675837377,19.95807264781803,24,
167.06102967466316,LAW_16_L24_S930004,1296,LAW_16,2.0882628709332893,0.013055913196904037,0.014448771238891461,0.0,24,
167.06102967466316,LAW_16_L24_S930004,2320,LAW_16,2.0882628709332893,,0.01315893203266405,0.0,24,
166.06903710049895,LAW_16_L24_S930005,272,LAW_16,2.075862963756237,0.04619631371655472,0.055260842381615535,24.527302156950242,24,
166.06903710049895,LAW_16_L24_S930005,1296,LAW_16,2.075862963756237,0.020610935229625177,0.018425131803991968,0.0,24,
166.06903710049895,LAW_16_L24_S930005,2320,LAW_16,2.075862963756237,,0.02312730904815055,0.0,24,
164.79692399136067,LAW_16_L24_S930006,272,LAW_16,2.0599615498920083,0.03933608057750276,0.05242619951489057,19.181021259158555,24,
164.79692399136067,LAW_16_L24_S930006,1296,LAW_16,2.0599615498920083,0.014411686050944582,0.015169559614133146,0.0,24,
164.79692399136067,LAW_16_L24_S930006,2320,LAW_16,2.0599615498920083,,0.015675293708024896,0.0,24,
165.56249923444238,LAW_16_L24_S930007,272,LAW_16,2.0695312404305297,0.040637922240999116,0.04775236188149104,21.102690449815288,24,
165.56249923444238,LAW_16_L24_S930007,1296,LAW_16,2.0695312404305297,0.014103492615122337,0.014904499887647624,0.0,24,
165.56249923444238,LAW_16_L24_S930007,2320,LAW_16,2.0695312404305297,,0.015597154674941799,0.0,24,
