DELIVERED_FRACTION,I0,M256,UCR,arm,attempted_mass,axis,block,bound_by,ceil,delivered_per_1000_steps,fire_plan,first_failure_time,first_failure_type,floor,fresh_over_M256,fresh_retained,futile_fraction,incumbent_displacement,incumbent_removed_over_M256,incumbent_removed_unique,loss,max_global_balance_residual,max_identity_residual,n_events,n_opportunities,n_rejected,n_waited,quantum,realized_sink,reject_causes,replacement_per_1000_steps,replacement_per_attempted,replacement_per_delivered,same_track_continuous,seed,size,terminal_F_over_T,terminal_I_over_I0,terminal_T,terminal_margin_frac_below_0.05,terminal_margin_frac_below_0.10,terminal_margin_median,terminal_margin_min,terminal_margin_q10,terminal_shadow_40_alive,terminal_shadow_40_area,terminal_shadow_40_jaccard_C256,terminal_shadow_40_jaccard_official,terminal_shadow_45_alive,terminal_shadow_45_area,terminal_shadow_45_jaccard_C256,terminal_shadow_45_jaccard_official,terminal_shadow_50_alive,terminal_shadow_50_area,terminal_shadow_50_jaccard_C256,terminal_shadow_50_jaccard_official,terminal_shadow_55_alive,terminal_shadow_55_area,terminal_shadow_55_jaccard_C256,terminal_shadow_55_jaccard_official,terminal_shadow_60_alive,terminal_shadow_60_area,terminal_shadow_60_jaccard_C256,terminal_shadow_60_jaccard_official
0.0853901002294716,167.94994007010663,167.94994007010672,0.2778595156744808,SAFE_ONLINE_TRIGGER,671.7997602804236,+x,L24_S990000,"{""PLANNED"": 11, ""SOURCE"": 5, ""SINK"": 0, ""OTHER"": 0}",1.0,8.002936504531302,"[[0, 2.099374250876334], [1, 2.099374250876334], [2, 2.099374250876334], [3, 2.099374250876334], [4, 2.099374250876334], [5, 2.099374250876334], [6, 2.099374250876334], [7, 2.099374250876334], [8, 2.099374250876334], [9, 2.099374250876334], [10, 2.099374250876334], [54, 8.397497003505336], [122, 8.397497003505336], [204, 8.397497003505336], [291, 8.397497003505336], [319, 8.397497003505336]]",,NONE,0.0,0.2778595156744808,46.66648900543793,0.013803071613867618,0.49893584449331685,0.30555307626941947,51.317620847685745,False,5.684341886080802e-14,8.548717289613705e-15,16,320,0,304,2.099374250876334,57.36504886448037,{},6.510391881338997,0.06946487891862055,0.8135003792236489,True,990000,24,0.28544984733464007,0.5010641555066832,163.48402159322097,0.07582938388625593,0.12322274881516587,0.372150498523861,0.0005238401029777906,0.07100988208411413,True,221,0.4709897610921502,0.9547511312217195,True,211,0.47719298245614034,1.0,True,195,0.4781021897810219,0.9241706161137441,True,185,0.4794007490636704,0.8767772511848341,True,173,0.47876447876447875,0.8199052132701422
0.09095789011321535,164.8128155901209,164.81281559012086,0.28784159419138694,SAFE_ONLINE_TRIGGER,659.251262360485,-x,L24_S990001,"{""PLANNED"": 12, ""SOURCE"": 5, ""SINK"": 0, ""OTHER"": 0}",1.0,8.36552788487493,"[[0, 2.0601601948765107], [1, 2.0601601948765107], [2, 2.0601601948765107], [3, 2.0601601948765107], [4, 2.0601601948765107], [5, 2.0601601948765107], [6, 2.0601601948765107], [7, 2.0601601948765107], [8, 2.0601601948765107], [9, 2.0601601948765107], [10, 2.0601601948765107], [11, 2.0601601948765107], [54, 8.240640779506043], [119, 8.240640779506043], [196, 8.240640779506043], [274, 8.240640779506043], [319, 8.240640779506043]]",,NONE,0.0,0.28784159419138694,47.43998358263146,0.023804304162335144,0.5212325237204225,0.3243626930872557,53.45912872010484,False,1.4210854715202004e-13,6.994405055138486e-15,17,320,0,303,2.0601601948765107,59.964103878783504,{},6.618301281059076,0.07196039854784657,0.7911397071576463,True,990001,24,0.30022063754240963,0.4787674762795775,158.01706362018507,0.06896551724137931,0.10344827586206896,0.3718976060858172,3.802400331315292e-05,0.08500945666833665,True,219,0.46258503401360546,0.9269406392694064,True,203,0.45774647887323944,1.0,True,189,0.47058823529411764,0.9310344827586207,True,182,0.47191011235955055,0.896551724137931,True,168,0.46332046332046334,0.8275862068965517
0.09582119774833205,165.32770555011422,165.32770555011422,0.30536152775127284,SAFE_ONLINE_TRIGGER,661.3108222004561,+y,L24_S990002,"{""PLANNED"": 13, ""SOURCE"": 5, ""SINK"": 0, ""OTHER"": 0}",1.0,8.840345293970696,"[[0, 2.0665963193764276], [1, 2.0665963193764276], [2, 2.0665963193764276], [3, 2.0665963193764276], [4, 2.0665963193764276], [5, 2.0665963193764276], [6, 2.0665963193764276], [7, 2.0665963193764276], [8, 2.0665963193764276], [9, 2.0665963193764276], [10, 2.0665963193764276], [11, 2.0665963193764276], [12, 2.0665963193764276], [54, 8.26638527750571], [119, 8.26638527750571], [193, 8.26638527750571], [266, 8.26638527750571], [319, 8.26638527750571]]",,NONE,0.0,0.30536152775127284,50.48472074639547,0.028607963103099772,0.5184884067588432,0.3379880449146561,55.87878796910904,False,8.526512829121202e-14,6.5503158452884236e-15,18,320,0,302,2.0665963193764276,63.36759506718195,{},7.043069300557404,0.07634038193781831,0.7966961771686595,True,990002,24,0.3064308676910883,0.4815115932411568,164.7507678543955,0.07075471698113207,0.11320754716981132,0.38225420868334586,0.000994743914431162,0.07228317022787495,True,224,0.4612794612794613,0.9464285714285714,True,212,0.45517241379310347,1.0,True,197,0.4693140794223827,0.9292452830188679,True,188,0.4740740740740741,0.8867924528301887,True,173,0.45627376425855515,0.8160377358490566
0.09665043504879317,168.36379324376009,168.3637932437601,0.3029949249039764,SAFE_ONLINE_TRIGGER,673.455172975043,-y,L24_S990003,"{""PLANNED"": 13, ""SOURCE"": 5, ""SINK"": 0, ""OTHER"": 0}",1.0,9.08059925417106,"[[0, 2.1045474155470014], [1, 2.1045474155470014], [2, 2.1045474155470014], [3, 2.1045474155470014], [4, 2.1045474155470014], [5, 2.1045474155470014], [6, 2.1045474155470014], [7, 2.1045474155470014], [8, 2.1045474155470014], [9, 2.1045474155470014], [10, 2.1045474155470014], [11, 2.1045474155470014], [12, 2.1045474155470014], [57, 8.418189662188006], [121, 8.418189662188006], [192, 8.418189662188006], [262, 8.418189662188006], [319, 8.418189662188006]]",,NONE,0.0,0.3029949249039764,51.0133748904417,0.03456223328532293,0.5176504668208792,0.3406789135012339,57.357994155230585,False,5.684341886080802e-14,1.0325074129013956e-14,18,320,0,302,2.1045474155470014,65.08973545389816,{},7.116821273778139,0.07574873122599382,0.7837391646271711,True,990003,24,0.30750013341449933,0.4823495331791208,165.89708213777413,0.07476635514018691,0.11682242990654206,0.37852710120635796,0.002331854403228306,0.06981140345221765,True,229,0.46357615894039733,0.9344978165938864,True,214,0.46735395189003437,1.0,True,198,0.4626334519572954,0.9252336448598131,True,189,0.4618181818181818,0.883177570093458,True,174,0.4659090909090909,0.8130841121495327
0.11132500569219893,164.24584848058248,164.2458484805825,0.33030813782168567,SAFE_ONLINE_TRIGGER,656.9833939223323,+x,L24_S990004,"{""PLANNED"": 14, ""SOURCE"": 6, ""SINK"": 0, ""OTHER"": 0}",1.0,10.203498893426872,"[[0, 2.0530731060072815], [1, 2.0530731060072815], [2, 2.0530731060072815], [3, 2.0530731060072815], [4, 2.0530731060072815], [5, 2.0530731060072815], [6, 2.0530731060072815], [7, 2.0530731060072815], [8, 2.0530731060072815], [9, 2.0530731060072815], [10, 2.0530731060072815], [11, 2.0530731060072815], [12, 2.0530731060072815], [13, 2.0530731060072815], [53, 8.212292424029126], [110, 8.212292424029126], [170, 8.212292424029126], [227, 8.212292424029126], [277, 8.212292424029126], [319, 8.212292424029126]]",,NONE,0.0,0.33030813782168567,54.25174035656395,0.06260727801899403,0.5528396702523102,0.3776406865761362,62.02591498748722,False,1.4210854715202004e-13,6.661338147750939e-15,20,320,0,300,2.0530731060072815,73.13868006808381,{},7.5686021702795685,0.08257703445542114,0.7417653737538294,True,990004,24,0.344431713419252,0.44716032974768977,157.51087441395734,0.03980099502487562,0.0845771144278607,0.38347247421374936,0.0032136419935744343,0.10321267405672002,True,219,0.4463087248322148,0.9178082191780822,True,201,0.44405594405594406,1.0,True,193,0.45161290322580644,0.9601990049751243,True,184,0.4612546125461255,0.9154228855721394,True,168,0.45038167938931295,0.835820895522388
0.09308216242041985,164.3733107833237,164.37331078332372,0.293679660845069,SAFE_ONLINE_TRIGGER,657.4932431332961,-x,L24_S990005,"{""PLANNED"": 12, ""SOURCE"": 5, ""SINK"": 0, ""OTHER"": 0}",1.0,8.53807098879214,"[[0, 2.0546663847915463], [1, 2.0546663847915463], [2, 2.0546663847915463], [3, 2.0546663847915463], [4, 2.0546663847915463], [5, 2.0546663847915463], [6, 2.0546663847915463], [7, 2.0546663847915463], [8, 2.0546663847915463], [9, 2.0546663847915463], [10, 2.0546663847915463], [11, 2.0546663847915463], [49, 8.218665539166185], [110, 8.218665539166185], [183, 8.218665539166185], [257, 8.218665539166185], [319, 8.218665539166185]]",,NONE,0.0,0.293679660845069,48.27309816282764,0.02469419822356083,0.52383823178298,0.3309548225840792,54.40013990785261,False,5.684341886080802e-14,6.8833827526759706e-15,17,320,0,303,2.0546663847915463,61.20089284766207,{},6.7345282035194804,0.07341991521126712,0.7887646064737389,True,990005,24,0.30614422003336755,0.47616176821702,157.680906592214,0.06862745098039216,0.11764705882352941,0.3694225428560372,0.0028999695566903627,0.07343435287253958,True,216,0.47058823529411764,0.9444444444444444,True,204,0.45936395759717313,1.0,True,190,0.46691176470588236,0.9313725490196079,True,180,0.4734848484848485,0.8823529411764706,True,166,0.47058823529411764,0.8137254901960784
0.1193157352780518,165.5266955823193,165.52669558231926,0.3484479275810121,SAFE_ONLINE_TRIGGER,662.1067823292805,+y,L24_S990006,"{""PLANNED"": 15, ""SOURCE"": 6, ""SINK"": 1, ""OTHER"": 0}",1.0,11.0211715354636,"[[0, 2.069083694778991], [1, 2.069083694778991], [2, 2.069083694778991], [3, 2.069083694778991], [4, 2.069083694778991], [5, 2.069083694778991], [6, 2.069083694778991], [7, 2.069083694778991], [8, 2.069083694778991], [9, 2.069083694778991], [10, 2.069083694778991], [11, 2.069083694778991], [12, 2.069083694778991], [13, 2.069083694778991], [14, 2.069083694778991], [50, 8.276334779115963], [103, 8.276334779115963], [160, 8.276334779115963], [210, 8.276334779115963], [254, 8.276334779115963], [293, 8.276334779115963], [319, 8.276334779115963]]",,NONE,0.0,0.3484479275810121,57.677434034992224,0.08168911939650282,0.5607775876188426,0.40202449845013677,66.54578677159037,False,8.526512829121202e-14,6.661338147750939e-15,22,320,0,298,2.069083694778991,78.99975756620309,{},8.046517024971013,0.08711198189525259,0.7300963422154504,True,990006,24,0.35101273230846997,0.43922241238115745,164.31721338331766,0.04245283018867924,0.10849056603773585,0.37802469418752166,0.00016093716169979233,0.08138616286020134,True,223,0.4129032258064516,0.9506726457399103,True,212,0.4280936454849498,1.0,True,203,0.4413793103448276,0.9575471698113207,True,189,0.4326241134751773,0.8915094339622641,True,168,0.4185185185185185,0.7924528301886793
0.10768325607360868,161.78420696355911,161.78420696355897,0.32182350864514103,SAFE_ONLINE_TRIGGER,647.136827854232,-y,L24_S990007,"{""PLANNED"": 13, ""SOURCE"": 6, ""SINK"": 0, ""OTHER"": 0}",1.0,9.721791399063907,"[[0, 2.022302587044487], [1, 2.022302587044487], [2, 2.022302587044487], [3, 2.022302587044487], [4, 2.022302587044487], [5, 2.022302587044487], [6, 2.022302587044487], [7, 2.022302587044487], [8, 2.022302587044487], [9, 2.022302587044487], [10, 2.022302587044487], [11, 2.022302587044487], [12, 2.022302587044487], [48, 8.089210348177948], [103, 8.089210348177948], [164, 8.089210348177948], [225, 8.089210348177948], [279, 8.089210348177948], [319, 8.089210348177948]]",,NONE,0.0,0.32182350864514103,52.06596112838421,0.05770587926041422,0.5490600667788748,0.36775738619110543,59.497337079919284,False,1.4210854715202004e-13,6.439293542825908e-15,19,320,0,301,2.022302587044487,69.68580074849008,{},7.263666452062529,0.08045587716128574,0.7471530866998375,True,990007,24,0.33185599649994024,0.45093993322112524,156.89323585386407,0.06403940886699508,0.1330049261083744,0.3714427073763585,0.0012942434968452043,0.06093424103832773,True,222,0.4576271186440678,0.9144144144144144,True,203,0.4421052631578947,1.0,True,190,0.4420289855072464,0.9359605911330049,True,176,0.4600760456273764,0.8669950738916257,True,170,0.46511627906976744,0.8374384236453202
0.11854364237771062,164.2059718622511,164.20597186225112,0.346233336996382,SAFE_ONLINE_TRIGGER,656.823887449004,+x,L24_S990008,"{""PLANNED"": 14, ""SOURCE"": 6, ""SINK"": 1, ""OTHER"": 0}",1.0,10.862485493707084,"[[0, 2.052574648278139], [1, 2.052574648278139], [2, 2.052574648278139], [3, 2.052574648278139], [4, 2.052574648278139], [5, 2.052574648278139], [6, 2.052574648278139], [7, 2.052574648278139], [8, 2.052574648278139], [9, 2.052574648278139], [10, 2.052574648278139], [11, 2.052574648278139], [12, 2.052574648278139], [13, 2.052574648278139], [50, 8.210298593112556], [103, 8.210298593112556], [160, 8.210298593112556], [214, 8.210298593112556], [261, 8.210298593112556], [303, 8.210298593112556], [319, 8.210298593112556]]",,NONE,0.0,0.346233336996382,56.85358159260121,0.0820605591639313,0.5535463351112077,0.39342695568821906,64.60305561559082,False,8.526512829121202e-14,8.770761894538737e-15,21,320,0,299,2.052574648278139,77.86229601889238,{},7.931582253432088,0.08655833424909555,0.7301811595538661,True,990008,24,0.3487332155185802,0.44645366488879235,163.0288686670057,0.05238095238095238,0.13333333333333333,0.37797992289291443,0.002047054338429888,0.08265091313764189,True,220,0.42857142857142855,0.9545454545454546,True,210,0.44329896907216493,1.0,True,199,0.4555160142348754,0.9476190476190476,True,182,0.44649446494464945,0.8666666666666667,True,170,0.45038167938931295,0.8095238095238095
0.06787245083284843,299.1842252564305,299.1842252564305,0.23066123772211536,SAFE_ONLINE_TRIGGER,1196.7369010257241,+x,L32_S990100,"{""PLANNED"": 11, ""SOURCE"": 3, ""SINK"": 0, ""OTHER"": 0}",1.0,11.331677800603217,"[[0, 3.7398028157053815], [1, 3.7398028157053815], [2, 3.7398028157053815], [3, 3.7398028157053815], [4, 3.7398028157053815], [5, 3.7398028157053815], [6, 3.7398028157053815], [7, 3.7398028157053815], [8, 3.7398028157053815], [9, 3.7398028157053815], [10, 3.7398028157053815], [75, 14.959211262821526], [188, 14.959211262821526], [319, 14.959211262821526]]",,NONE,0.0,0.23066123772211536,69.01020370458043,0.00422424538762321,0.4287824478820135,0.25295820455052026,75.68110445070508,False,5.684341886080802e-14,9.2148511043888e-15,14,320,0,306,3.7398028157053815,81.22546647472386,{},9.627539579322047,0.05766530943052874,0.8496128948185896,True,990100,32,0.24152281842058368,0.5712175521179865,285.7295395767006,0.031791907514450865,0.06069364161849711,0.42765188605626275,0.0006171295355308914,0.1345163875928081,True,379,0.5450819672131147,0.9129287598944591,True,346,0.5373134328358209,1.0,True,335,0.5367965367965368,0.9682080924855492,True,325,0.5418502202643172,0.9393063583815029,True,309,0.5510204081632653,0.8930635838150289
