M256,block,checkpoint,law,quantum,rho_observed_next_window,rho_probe_slope8,saturation_mass_added,size,src_bound_fraction_next_window
159.87106154908074,LAW_29_L24_S910000,272,LAW_29,1.998388269363509,0.06878662500568818,0.1064024312141507,24.682780628754912,24,
159.87106154908074,LAW_29_L24_S910000,1296,LAW_29,1.998388269363509,0.008821702970422438,0.06922790473173548,6.183526223989941,24,
159.87106154908074,LAW_29_L24_S910000,2320,LAW_29,1.998388269363509,,0.08108505715781907,21.33156944637833,24,
159.13928269177325,LAW_29_L24_S910001,272,LAW_29,1.9892410336471655,0.05789980204818856,0.09865115335557174,27.95205637307197,24,
159.13928269177325,LAW_29_L24_S910001,1296,LAW_29,1.9892410336471655,0.003960148535697483,0.07765156433042326,14.0254090211815,24,
159.13928269177325,LAW_29_L24_S910001,2320,LAW_29,1.9892410336471655,,0.0833811248875497,28.640932941256693,24,
158.515444999356,LAW_29_L24_S910002,272,LAW_29,1.98144306249195,0.06629228892341085,0.09762551965542664,23.94020330034722,24,
158.515444999356,LAW_29_L24_S910002,1296,LAW_29,1.98144306249195,0.00705376068963981,0.06878606821424704,6.7649303037599875,24,
158.515444999356,LAW_29_L24_S910002,2320,LAW_29,1.98144306249195,,0.0774249816297055,22.512544914934168,24,
156.0732105118502,LAW_29_L24_S910003,272,LAW_29,1.9509151313981274,0.06929755421813702,0.1054822323869218,25.68601331445819,24,
156.0732105118502,LAW_29_L24_S910003,1296,LAW_29,1.9509151313981274,0.008380146685966539,0.07399107307713437,6.082362887331112,24,
156.0732105118502,LAW_29_L24_S910003,2320,LAW_29,1.9509151313981274,,0.08082019922803993,21.757767996548033,24,
159.6056017929756,LAW_29_L24_S910004,272,LAW_29,1.9950700224121949,0.05977457703655737,0.10612606421137805,27.93295137615928,24,
159.6056017929756,LAW_29_L24_S910004,1296,LAW_29,1.9950700224121949,0.004843716462606847,0.07648482981961889,13.281383925316469,24,
159.6056017929756,LAW_29_L24_S910004,2320,LAW_29,1.9950700224121949,,0.08517559513866658,27.244520232953086,24,
162.13040226785068,LAW_29_L24_S910005,272,LAW_29,2.0266300283481335,0.06999550031585663,0.10308018010820441,25.918674719161995,24,
162.13040226785068,LAW_29_L24_S910005,1296,LAW_29,2.0266300283481335,0.007941335008283895,0.07282973176795518,5.984710096397488,24,
