track_id,start_step,end_step,start_time,end_time,tau,phenotype_continuity,material_retention,start_count,end_count,interval_has_ambiguity,interval_has_split_or_merge,unresolved_sparse_alias_risk,law_index,seed,snapshot_cadence
0,0,10,0.0,0.2,0.2,0.93696810539723,1.0,4,4,False,False,False,0,101,10
1,0,10,0.0,0.2,0.2,0.7953687581848422,0.5,10,5,False,True,False,0,101,10
2,0,10,0.0,0.2,0.2,0.8689551212699353,0.875,7,8,False,False,False,0,101,10
2,10,20,0.2,0.4,0.2,0.7544005627063571,0.5714285714285714,8,14,False,True,False,0,101,10
2,20,30,0.4,0.6,0.19999999999999996,0.7116403924347412,0.6666666666666666,14,11,False,True,False,0,101,10
2,30,40,0.6,0.8,0.20000000000000007,0.9026639055367243,0.6666666666666666,11,14,False,False,False,0,101,10
2,40,50,0.8,1.0,0.19999999999999996,0.7513432900029738,0.8571428571428571,14,12,False,False,False,0,101,10
2,50,60,1.0,1.2,0.19999999999999996,0.7822939575242247,0.8571428571428571,12,14,False,False,False,0,101,10
2,60,70,1.2,1.4000000000000001,0.20000000000000018,0.8038117692402789,0.7647058823529411,14,16,False,False,False,0,101,10
2,70,80,1.4000000000000001,1.6,0.19999999999999996,0.7547782972346284,0.7647058823529411,16,14,False,False,False,0,101,10
2,80,90,1.6,1.8,0.19999999999999996,0.9267118229304696,1.0,14,14,False,False,False,0,101,10
2,90,100,1.8,2.0,0.19999999999999996,0.8655982394643192,0.875,14,16,False,False,False,0,101,10
2,100,110,2.0,2.2,0.20000000000000018,0.872041451126938,0.9375,16,15,False,False,False,0,101,10
2,110,120,2.2,2.4,0.19999999999999973,0.9062072038773198,1.0,15,15,False,False,False,0,101,10
2,120,130,2.4,2.6,0.20000000000000018,0.8938659546916334,1.0,15,15,False,False,False,0,101,10
2,130,140,2.6,2.8000000000000003,0.20000000000000018,0.9456060390607731,1.0,15,15,False,False,False,0,101,10
2,140,150,2.8000000000000003,3.0,0.19999999999999973,0.9314624306232023,1.0,15,15,False,False,False,0,101,10
2,150,160,3.0,3.2,0.20000000000000018,0.956216489943247,1.0,15,15,False,False,False,0,101,10
2,160,170,3.2,3.4,0.19999999999999973,0.9223146738330292,1.0,15,15,False,False,False,0,101,10
2,170,180,3.4,3.6,0.20000000000000018,0.9465638865891137,1.0,15,15,False,False,False,0,101,10
