world,point,seed,split,stop,kY,muY,steps,first_birth,n_births,extinct,first_S,first_P,n_S_episodes,max_S_duration,integrity_ok,median_separation_during_S,dur_ok_T_50,noP_ok_T_50,resp_ok_T_50,event_step_T_50,weak_centre_X_ratio_T_50,P_before_event_T_50,newer_centre_is_weaker_T_50,joint_timing_T_50,PRIMARY_SUCCESS_T_50,dur_ok_T_primary,noP_ok_T_primary,resp_ok_T_primary,event_step_T_primary,weak_centre_X_ratio_T_primary,P_before_event_T_primary,newer_centre_is_weaker_T_primary,joint_timing_T_primary,PRIMARY_SUCCESS_T_primary,dur_ok_T_80,noP_ok_T_80,resp_ok_T_80,event_step_T_80,weak_centre_X_ratio_T_80,P_before_event_T_80,newer_centre_is_weaker_T_80,joint_timing_T_80,PRIMARY_SUCCESS_T_80,dur_ok_T_90,noP_ok_T_90,resp_ok_T_90,event_step_T_90,weak_centre_X_ratio_T_90,P_before_event_T_90,newer_centre_is_weaker_T_90,joint_timing_T_90,PRIMARY_SUCCESS_T_90,PRIMARY_SUCCESS
F_B1_i108_s947981898,B1,947981898,FDFLT01_PRIMARY,PREMATURE_THIRD_CENTRE,2.5118864315095822e-05,9.261187281287937e-05,10105,1002,3,False,1207,10104,12,3431,True,16.0312195418814,True,True,True,1635,0.8227848101265823,False,,True,True,True,True,True,1712,0.9594594594594594,False,,True,True,True,True,True,1864,0.9354838709677419,False,,True,True,True,True,True,2037,0.9848484848484849,False,,True,True,True
F_B1_i109_s957123369,B1,957123369,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,22,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i110_s959359123,B1,959359123,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,9992,6198,1,True,6423,-1,8,2491,True,16.76305461424021,True,True,True,6757,1.0,False,,True,True,True,True,True,6834,0.6428571428571429,False,,True,True,True,True,True,6986,0.8666666666666667,False,,True,True,True,True,True,7899,0.9859154929577465,False,,True,True,True
F_B1_i111_s948970118,B1,948970118,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,716,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i112_s963149944,B1,963149944,FDFLT01_PRIMARY,HORIZON,2.5118864315095822e-05,9.261187281287937e-05,11000,-1,0,False,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i113_s948364507,B1,948364507,FDFLT01_PRIMARY,HORIZON,2.5118864315095822e-05,9.261187281287937e-05,11000,-1,0,False,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i114_s974435599,B1,974435599,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,5298,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i115_s957458678,B1,957458678,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,271,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
F_B1_i116_s968282413,B1,968282413,FDFLT01_PRIMARY,HORIZON,2.5118864315095822e-05,9.261187281287937e-05,11000,6425,1,False,6504,-1,6,4208,True,17.46424919657298,True,True,True,6964,0.9024390243902439,False,,True,True,True,True,False,7041,0.5930232558139535,False,,True,False,True,True,True,7193,0.9753086419753086,False,,True,True,True,True,False,7366,0.6375,False,,True,False,False
F_B1_i117_s974796133,B1,974796133,FDFLT01_PRIMARY,EXTINCT,2.5118864315095822e-05,9.261187281287937e-05,630,-1,0,True,-1,-1,0,0,True,,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False,False,False,-1,,,,False,False,False
