L,M256,algebraic_ledger_error,area256,arm,axis,capture_by_merger,capture_engulfment,coast_retention_ratio,coast_survival,direct_operator_insertion,directional_transit,directional_transit_raw,dose_fraction,durable_incorporation_128,endpoint_defined,filter,first_failure_time,first_failure_type,flux_deficit,fresh_current_fraction_2048,fresh_current_fraction_postforce,fresh_retention_2048,fresh_retention_postforce,gd_source,incorporation_16,incumbent_absolute_residual_2048,incumbent_absolute_residual_postforce,incumbent_current_fraction_2048,incumbent_current_fraction_postforce,incumbent_loss_2048,incumbent_loss_postforce,mass_ratio_2048,mass_ratio_postforce,matched_replacement_2048,matched_replacement_postforce,mode,planned_dose,q_per_event,realized_sink_removal,realized_source_injection,reject_counts,replacement_mismatch_2048,replacement_mismatch_postforce,seed,sink_matched_replacement_2048,sink_matched_replacement_postforce,survival_1536,survival_2048,t0_sha256,t256_checkpoint_sha256,t256_status,total_system_balance_error,tracked_mass_2048,tracked_mass_postforce,unique_capture_transport,unique_contact,unique_incumbent_egress_to_sink
24,169.54853463997685,3.219646771412954e-15,215,SHAM,+x,0.0,0.0,,True,0.0,0.0,0.0,0.0,0.0,True,REDESIGNED_P2PRIME,,NONE,0.0,0.0,0.0,0.0,0.0,2,0.0,0.8669733142228172,0.8874506104795203,0.8738917001836211,0.8918706525267494,0.13302668577718277,0.11254938952047971,0.9920832456020006,0.9950440772608599,0.0,0.0,SHAM,0.0,0.0,0.0,0.0,{},0.13302668577718277,0.11254938952047971,980000,0.0,0.0,True,True,b724e9c97dfcd05dff3ea0403109285e3fa003df4088fd63163304c6ea26d0f0,48c5f044cc69a51ef7b145cbcfa438b46caeaafaeed033ac60988bcd8db64996,T256_VALID_TRACK,0.0,168.20626053269146,168.7082652017667,0.0,0.0,0.0
24,169.54853463997685,3.219646771412954e-15,215,D1_LEGACY_Q005,+x,0.0,0.0,,True,0.0,0.0,0.0,0.05,0.0,True,LEGACY_P2,,NONE,8.477426731998836,0.0,0.0,0.0,0.0,1,0.0,0.8669733142228172,0.8874506104795203,0.8738917001836211,0.8918706525267494,0.13302668577718277,0.11254938952047971,0.9920832456020006,0.9950440772608599,0.0,0.0,COUPLED,8.477426731998843,0.10596783414998553,0.0,0.0,{},0.13302668577718277,0.11254938952047971,980000,0.0,0.0,True,True,b724e9c97dfcd05dff3ea0403109285e3fa003df4088fd63163304c6ea26d0f0,48c5f044cc69a51ef7b145cbcfa438b46caeaafaeed033ac60988bcd8db64996,T256_VALID_TRACK,0.0,168.20626053269146,168.7082652017667,0.0,0.0,0.0
24,169.54853463997685,2.886579864025407e-15,215,D1_REDESIGNED_Q005,+x,0.0,0.9626886431525972,1.010068744806548,True,0.0,2.1456253990404767e-05,2.1456253990405147e-05,0.05,2.307935423454869,True,REDESIGNED_P2PRIME,,NONE,4.15082544027015,0.013489093098613387,0.013473944673271602,0.01360937816180841,0.013473714766231014,1,2.308271060250371,0.861719458157798,0.873821559801383,0.85410324099868,0.8738364701458798,0.13828054184220198,0.12617844019861701,1.0089172090603622,0.9999829369166815,0.01360937816180841,0.013473714766231014,COUPLED,8.477426731998843,0.10596783414998553,4.326601291728689,4.326601291728689,"{""ACCEPTED_SUBTHRESHOLD_ADJACENT"": 541, ""REJECT_INSIDE_TRACK"": 751, ""REJECT_QUOTA"": 628}",0.12467116368039356,0.112704725432386,980000,0.01360937816180841,0.013473714766231014,True,True,b724e9c97dfcd05dff3ea0403109285e3fa003df4088fd63163304c6ea26d0f0,48c5f044cc69a51ef7b145cbcfa438b46caeaafaeed033ac60988bcd8db64996,T256_VALID_TRACK,0.0,171.06043436923957,169.54564161920376,1.9310622748554735,2.4570107885103742,3.558665666578534
24,169.54853463997685,3.3306690738754696e-15,215,D2_REDESIGNED_Q005,+x,0.0,2.9484131203476105,1.1084603487210152,True,0.0,0.00023808846473984759,0.0002380884647400035,0.05,3.5432299897669646,True,REDESIGNED_P2PRIME,,NONE,0.0,0.021693070493414505,0.019964229466579872,0.021268702760620928,0.019187608095464655,2,3.5990519068657605,0.8342408749039666,0.8366438873685631,0.8508862205402884,0.870507176618093,0.1657591250960334,0.16335611263143685,0.9804376363907357,0.9610993566060096,0.021268702760620928,0.019187608095464655,COUPLED,8.477426731998843,0.10596783414998553,8.477426731998836,8.477426731998836,"{""ACCEPTED"": 57, ""ACCEPTED_SUBTHRESHOLD_ADJACENT"": 630, ""REJECT_INSIDE_TRACK"": 103, ""REJECT_OCCUPIED"": 18, ""REJECT_QUOTA"": 1272}",0.14449042233541248,0.14416850453597221,980000,0.021268702760620928,0.019187608095464655,True,True,b724e9c97dfcd05dff3ea0403109285e3fa003df4088fd63163304c6ea26d0f0,48c5f044cc69a51ef7b145cbcfa438b46caeaafaeed033ac60988bcd8db64996,T256_VALID_TRACK,1.1368683772161603e-13,166.23176455593168,162.9529875559735,2.8871638361166316,4.826300844259642,7.017802531262148
24,169.54853463997685,2.6645352591003757e-15,215,D2_REDESIGNED_Q020,+x,2.031190614983305,7.133757161405788,0.993725396711749,True,0.0,7.511904126654523e-05,7.511904126891641e-05,0.2,6.87867215407749,True,REDESIGNED_P2PRIME,,NONE,19.538355376981784,0.040656593043131725,0.04162844714550621,0.03987452814654677,0.040126304790530795,2,7.063421649998029,0.8071809253795125,0.805187695511281,0.8230122817936184,0.8353301805331754,0.19281907462048753,0.19481230448871895,0.9807641310289998,0.9639154842907088,0.03987452814654677,0.040126304790530795,COUPLED,33.90970692799537,0.42387133659994214,14.371351551013587,14.371351551013587,"{""ACCEPTED"": 25, ""ACCEPTED_SUBTHRESHOLD_ADJACENT"": 1226, ""REJECT_INSIDE_TRACK"": 451, ""REJECT_OCCUPIED"": 27, ""REJECT_QUOTA"": 351}",0.15294454647394073,0.15468599969818814,980000,0.03987452814654677,0.040126304790530795,True,True,b724e9c97dfcd05dff3ea0403109285e3fa003df4088fd63163304c6ea26d0f0,48c5f044cc69a51ef7b145cbcfa438b46caeaafaeed033ac60988bcd8db64996,T256_VALID_TRACK,0.0,166.28712124341718,163.4304578782733,5.170722905573404,8.124365085361983,13.30328778315547
24,169.54853463997685,2.886579864025407e-15,215,D2_REDESIGNED_Q050,+x,1.7207512949299602,10.779989510375938,0.9957690567636573,True,0.0,4.254550235355779e-05,4.254550235757365e-05,0.5,8.822593438027775,True,REDESIGNED_P2PRIME,,NONE,68.69465883653405,0.050786335862087605,0.05154660541300987,0.050791999574115156,0.05100781072590658,2,9.829300517967742,0.8039606989130931,0.8088826536297441,0.8038710508992661,0.8174268681346094,0.19603930108690695,0.19111734637025593,1.0001115203908968,0.9895474263962432,0.050791999574115156,0.05100781072590658,COUPLED,84.77426731998843,1.0596783414998554,16.07960848345439,16.07960848345439,"{""ACCEPTED"": 26, ""ACCEPTED_SUBTHRESHOLD_ADJACENT"": 681, ""REJECT_INSIDE_TRACK"": 1190, ""REJECT_OCCUPIED"": 14, ""REJECT_QUOTA"": 169}",0.1452473015127918,0.14010953564434936,980000,0.050791999574115156,0.05100781072590658,True,True,b724e9c97dfcd05dff3ea0403109285e3fa003df4088fd63163304c6ea26d0f0,48c5f044cc69a51ef7b145cbcfa438b46caeaafaeed033ac60988bcd8db64996,T256_VALID_TRACK,5.684341886080802e-14,169.56744275883588,167.77631610224338,6.2238049372197075,7.153580949679363,15.355913409248604
24,169.54853463997685,2.6645352591003757e-15,215,D2_REDESIGNED_Q100,+x,3.5769042084254035,12.813976197202154,0.9922474014695974,True,0.0,3.0041855161436404e-05,3.0041855165718413e-05,1.0,12.621790768293469,True,REDESIGNED_P2PRIME,,NONE,151.6434761971197,0.05911107633862062,0.05966493157629499,0.05906325268900339,0.05952472397662721,2,14.219567441317416,0.7908936456617309,0.8043683467903207,0.7915340340398275,0.8062629974097253,0.20910635433826913,0.1956316532096794,0.999190952820022,0.9976500836259489,0.05906325268900339,0.05952472397662721,COUPLED,169.54853463997685,2.119356682999711,17.90505844285715,17.90505844285715,"{""ACCEPTED"": 25, ""ACCEPTED_SUBTHRESHOLD_ADJACENT"": 307, ""REJECT_INSIDE_TRACK"": 1612, ""REJECT_OCCUPIED"": 14, ""REJECT_QUOTA"": 122}",0.1500431016492657,0.13610692923305218,980000,0.05906325268900339,0.05952472397662721,True,True,b724e9c97dfcd05dff3ea0403109285e3fa003df4088fd63163304c6ea26d0f0,48c5f044cc69a51ef7b145cbcfa438b46caeaafaeed033ac60988bcd8db64996,T256_VALID_TRACK,5.684341886080802e-14,169.41136187615697,169.15010976223,7.188850460172784,6.114432563829846,17.428044956662216
24,169.54853463997685,5.773159728050814e-15,215,DIRECT_INTERFACE_Q100,+x,0.0,3.5627371057764843,0.9796609034832311,True,46.19963309462356,0.05319035480003804,0.05319035480003804,1.0,43.33091471585057,True,REDESIGNED_P2PRIME,,NONE,123.34890154535334,0.24895969543513755,0.2639269353725846,0.25120276418803905,0.2564180761882766,2,43.47868142749624,0.6214445366453928,0.5987971753178877,0.6158954622698927,0.6163321468622571,0.37855546335460727,0.4012028246821123,1.009009766616966,0.9715494776093703,0.25120276418803905,0.2564180761882766,DIRECT_INTERFACE,169.54853463997685,2.119356682999711,46.19963309462357,46.19963309462356,{},0.12735269916656822,0.1447847484938357,980000,0.25120276418803905,0.2564180761882766,True,True,b724e9c97dfcd05dff3ea0403109285e3fa003df4088fd63163304c6ea26d0f0,48c5f044cc69a51ef7b145cbcfa438b46caeaafaeed033ac60988bcd8db64996,T256_VALID_TRACK,0.0,171.0761273673316,164.72479025890374,10.474157158822964,5.1790412831033485,44.554177322087625
24,163.802720436871,3.1086244689504383e-15,208,SHAM,-x,0.0,0.0,,True,0.0,0.0,0.0,0.0,0.0,True,REDESIGNED_P2PRIME,,NONE,0.0,0.0,0.0,0.0,0.0,2,0.0,0.8650885778641925,0.8856277756953511,0.873562828363675,0.8911272850131985,0.1349114221358075,0.11437222430464886,0.9902992089128195,0.9938285928280538,0.0,0.0,SHAM,0.0,0.0,0.0,0.0,{},0.1349114221358075,0.11437222430464886,980001,0.0,0.0,True,True,636c1504da40b3a478cd8286e820651bb17230622ad871d504e312bb143102d4,e10c3c1f29cfba7f050cc3e24663ef11f6e7d19b1937a4951471a1bcc4103742,T256_VALID_TRACK,0.0,162.21370446640108,162.7918271531826,0.0,0.0,0.0
24,163.802720436871,3.1086244689504383e-15,208,D1_LEGACY_Q005,-x,0.0,0.0,,True,0.0,0.0,0.0,0.05,0.0,True,LEGACY_P2,,NONE,8.190136021843555,0.0,0.0,0.0,0.0,1,0.0,0.8650885778641925,0.8856277756953511,0.873562828363675,0.8911272850131985,0.1349114221358075,0.11437222430464886,0.9902992089128195,0.9938285928280538,0.0,0.0,COUPLED,8.19013602184355,0.10237670027304438,0.0,0.0,{},0.1349114221358075,0.11437222430464886,980001,0.0,0.0,True,True,636c1504da40b3a478cd8286e820651bb17230622ad871d504e312bb143102d4,e10c3c1f29cfba7f050cc3e24663ef11f6e7d19b1937a4951471a1bcc4103742,T256_VALID_TRACK,0.0,162.21370446640108,162.7918271531826,0.0,0.0,0.0
