point,tag,seed,stop,stop_step,n_identity_intervals,n_partial_turnover,n_complete_turnover,total_Y_births,total_Y_deaths
B2,B_B2_i032_s987071224,987071224,HORIZON,11000,1,0,0,0,0
B2,B_B2_i033_s952998766,952998766,PREMATURE_THIRD_CENTRE,4735,15,2,0,2,0
B2,B_B2_i034_s947942706,947942706,HORIZON,11000,26,1,0,1,0
B2,B_B2_i035_s976162527,976162527,HORIZON,11000,27,1,0,1,0
B2,B_B2_i036_s958115840,958115840,HORIZON,11000,1,0,0,0,0
B2,B_B2_i037_s953794064,953794064,HORIZON,11000,2,1,0,1,0
B2,B_B2_i038_s958333012,958333012,HORIZON,11000,1,0,0,0,0
B2,B_B2_i039_s957160105,957160105,HORIZON,11000,4,1,0,1,0
B2,B_B2_i040_s955063215,955063215,HORIZON,11000,1,0,0,0,0
B2,B_B2_i041_s987797495,987797495,HORIZON,11000,1,0,0,0,0
B2,B_B2_i042_s970864850,970864850,HORIZON,11000,1,0,0,0,0
B2,B_B2_i043_s960395155,960395155,HORIZON,11000,1,0,0,0,0
A0,A_A0_i000_s970247606,970247606,HORIZON,11000,1,0,0,0,0
A0,A_A0_i001_s950550891,950550891,HORIZON,11000,1,0,0,0,0
A0,A_A0_i002_s941818304,941818304,HORIZON,11000,1,0,0,0,0
A0,A_A0_i003_s983718995,983718995,HORIZON,11000,1,0,0,0,0
A0,A_A0_i004_s950918058,950918058,HORIZON,11000,1,0,0,0,0
A0,A_A0_i005_s981463531,981463531,HORIZON,11000,1,0,0,0,0
A0,A_A0_i006_s964136804,964136804,HORIZON,11000,1,0,0,0,0
A0,A_A0_i007_s987080529,987080529,HORIZON,11000,1,0,0,0,0
A0,A_A0_i008_s952675162,952675162,HORIZON,11000,1,0,0,0,0
A0,A_A0_i009_s940707807,940707807,HORIZON,11000,1,0,0,0,0
A0,A_A0_i010_s948648574,948648574,HORIZON,11000,1,0,0,0,0
A0,A_A0_i011_s983260155,983260155,HORIZON,11000,1,0,0,0,0
A0,A_A0_i012_s953464496,953464496,HORIZON,11000,1,0,0,0,0
A0,A_A0_i013_s950153464,950153464,HORIZON,11000,1,0,0,0,0
A0,A_A0_i014_s959003162,959003162,HORIZON,11000,1,0,0,0,0
A0,A_A0_i015_s940941418,940941418,HORIZON,11000,1,0,0,0,0
A0,A_A0_i016_s944310510,944310510,HORIZON,11000,1,0,0,0,0
A0,A_A0_i017_s941818973,941818973,HORIZON,11000,1,0,0,0,0
A0,A_A0_i018_s968793083,968793083,HORIZON,11000,1,0,0,0,0
A0,A_A0_i019_s986202838,986202838,HORIZON,11000,1,0,0,0,0
A0,A_A0_i020_s983192947,983192947,HORIZON,11000,1,0,0,0,0
A0,A_A0_i021_s950424325,950424325,HORIZON,11000,1,0,0,0,0
A0,A_A0_i022_s951640143,951640143,HORIZON,11000,1,0,0,0,0
A0,A_A0_i023_s975431620,975431620,HORIZON,11000,1,0,0,0,0
A0,A_A0_i024_s948649467,948649467,HORIZON,11000,1,0,0,0,0
A0,A_A0_i025_s976923327,976923327,HORIZON,11000,1,0,0,0,0
A0,A_A0_i026_s974306448,974306448,HORIZON,11000,1,0,0,0,0
A0,A_A0_i027_s941238339,941238339,HORIZON,11000,1,0,0,0,0
A0,A_A0_i028_s984076192,984076192,HORIZON,11000,1,0,0,0,0
A0,A_A0_i029_s941800635,941800635,HORIZON,11000,1,0,0,0,0
A0,A_A0_i030_s981413209,981413209,HORIZON,11000,1,0,0,0,0
A0,A_A0_i031_s953537674,953537674,HORIZON,11000,1,0,0,0,0
A0,A_A0_i032_s950327065,950327065,HORIZON,11000,1,0,0,0,0
A0,A_A0_i033_s958500852,958500852,HORIZON,11000,1,0,0,0,0
A0,A_A0_i034_s943046772,943046772,HORIZON,11000,1,0,0,0,0
A0,A_A0_i035_s966818388,966818388,HORIZON,11000,1,0,0,0,0
A0,A_A0_i036_s971380574,971380574,HORIZON,11000,1,0,0,0,0
A0,A_A0_i037_s940476109,940476109,HORIZON,11000,1,0,0,0,0
A0,A_A0_i038_s972708360,972708360,HORIZON,11000,1,0,0,0,0
A0,A_A0_i039_s952291848,952291848,HORIZON,11000,1,0,0,0,0
