GLOBAL_R2_PASS,GLOBAL_criterion_D,GLOBAL_criterion_E_post_intervention_births_in_daughter,GLOBAL_daughter_exists,GLOBAL_daughter_mass_post,GLOBAL_final_NX,GLOBAL_final_NY,GLOBAL_integrity_ok_post,GLOBAL_removed,GLOBAL_survivor_upper_95,GLOBAL_third_centre_in_window,NX_world_at_intervention,R1_EXACT,SELECTIVE_R2_PASS,SELECTIVE_criterion_D,SELECTIVE_criterion_E_post_intervention_births_in_daughter,SELECTIVE_daughter_exists,SELECTIVE_daughter_mass_post,SELECTIVE_final_NX,SELECTIVE_final_NY,SELECTIVE_integrity_ok_post,SELECTIVE_removed,SELECTIVE_survivor_upper_95,SELECTIVE_third_centre_in_window,SHAM_R2_PASS,SHAM_criterion_D,SHAM_criterion_E_post_intervention_births_in_daughter,SHAM_daughter_exists,SHAM_daughter_mass_post,SHAM_final_NX,SHAM_final_NY,SHAM_integrity_ok_post,SHAM_removed,SHAM_survivor_upper_95,SHAM_third_centre_in_window,block,daughter_mass_tm,daughter_total_tm,fork_identity_ok,fraction_new,identity_level,inherited,late_trigger,parent_mass_tm,phase1_stop,post_separation,required,seed,t0_separation,t_m,technical_failure,triggered
False,False,0,False,,87,0,True,2,95,False,225,True,False,False,57,True,78.0,167,1,True,1,95,False,True,True,87,True,98.0,244,2,True,0,95,False,29,85.0,85,True,0.8,1,17,False,77.0,HORIZON,68,48.67328302979894,976329313,1422,1671,False,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,EXTINCT,,,974346234,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,EXTINCT,,,963825561,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,EXTINCT,,,942928910,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,EXTINCT,,,952963238,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,EXTINCT,,,971944387,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,EXTINCT,,,953718269,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,EXTINCT,,,962649560,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,EXTINCT,,,964887969,,,False,False
False,False,0,False,,92,0,True,2,97,False,232,True,False,False,56,True,75.0,162,1,True,1,97,False,True,True,93,True,113.0,293,3,True,0,97,False,38,70.0,70,True,0.9714285714285714,1,2,False,83.0,HORIZON,68,52.46600638277029,967857741,6481,6730,False,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,EXTINCT,,,962232663,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,EXTINCT,,,972798572,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,EXTINCT,,,974278165,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,EXTINCT,,,972526232,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,EXTINCT,,,956133923,,,False,False
False,False,0,False,,108,0,True,2,109,False,261,True,False,False,57,True,77.0,171,1,True,1,109,False,True,True,101,True,120.0,261,2,True,0,109,False,44,64.0,64,True,0.90625,1,6,False,100.0,HORIZON,58,63.212055882855765,954473641,2171,2420,False,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,EXTINCT,,,974453711,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,EXTINCT,,,949155840,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,EXTINCT,,,981314981,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,PREMATURE_THIRD_CENTRE,,,965986299,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,EXTINCT,,,959176755,,,False,False
False,False,0,False,,95,0,True,2,106,False,253,True,False,False,78,True,97.0,182,1,True,1,106,False,True,True,87,True,113.0,275,2,True,0,106,False,50,83.0,83,True,0.891566265060241,1,9,False,99.0,HORIZON,74,62.57993532402721,986583535,1720,1969,False,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,EXTINCT,,,957723746,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,EXTINCT,,,960902120,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,EXTINCT,,,984106881,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,PREMATURE_THIRD_CENTRE,,,984758365,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,EXTINCT,,,941842844,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,HORIZON,,,966284937,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,HORIZON,,,978966208,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,EXTINCT,,,951420335,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,HORIZON,,,969087712,,,False,False
False,False,0,False,,71,0,True,2,93,False,222,True,False,False,55,True,75.0,147,1,True,1,93,False,False,False,64,True,64.0,244,2,True,0,93,False,60,70.0,70,True,0.9428571428571428,1,4,False,78.0,HORIZON,66,49.3054035886275,945670394,788,1037,False,True
False,False,0,False,,76,0,True,2,89,False,212,True,True,True,72,True,95.0,164,1,True,1,89,False,True,True,71,True,92.0,258,2,True,0,89,False,61,89.0,89,True,0.7078651685393258,4,26,False,66.0,HORIZON,63,41.719956882684805,982915845,6299,6548,False,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,EXTINCT,,,946604924,,,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,EXTINCT,,,987155881,,,False,False
