world,seed,split,steps_recorded,stop,stop_step,n_Y_births,n_Y_deaths,first_birth_step,max_N_Y,max_n_centres,steps_two_plus_Y,steps_colocated_one_centre,steps_two_centres,separation_first_step,separation_delay_after_first_birth,steps_with_multiple_occupied_Y_cells,n_Y_hops,max_pair_dist,mean_Q_founder,mean_nSY,mean_free,mean_N_X,predicted_P_no_birth,descendant_exposure_rows
B_B1_i025_s950130140,950130140,VALIDATION,1466,PREMATURE_THIRD_CENTRE,1465,2,0,520,3,3,946,163,783,670,150,945,290,16.55294535724685,3.0893587994542973,2.9337467156788444,9.996141975308646,159.59549795361528,0.8134742367194832,1995
B_B1_i026_s948401949,948401949,DISCOVERY,1628,EXTINCT,1627,0,1,-1,1,1,0,0,0,-1,-1,0,157,0.0,3.363022113022113,2.9539278862195526,9.996141975308644,116.89066339066339,0.85240585066471,0
B_B1_i027_s943470984,943470984,DISCOVERY,380,EXTINCT,379,0,1,-1,1,1,0,0,0,-1,-1,0,43,0.0,4.2,2.9785717186484733,9.996141975308644,69.26842105263158,0.9578571156249814,0
B_B1_i028_s980328882,980328882,DISCOVERY,930,EXTINCT,929,0,1,-1,1,1,0,0,0,-1,-1,0,89,0.0,2.9763440860215056,2.9629953205894064,9.996141975308646,91.81075268817204,0.9190818582960834,0
B_B1_i029_s973819266,973819266,VALIDATION,3186,PREMATURE_THIRD_CENTRE,3185,2,0,687,3,3,2499,157,2342,759,72,2495,566,19.209372712298546,2.079258010118044,2.9133941769200344,9.996141975308646,211.6922428330523,0.6433814332996826,5110
B_B1_i030_s942070244,942070244,DISCOVERY,6785,EXTINCT,6784,0,1,-1,1,1,0,0,0,-1,-1,0,690,0.0,2.8675026123301985,2.9508651328095774,9.996141975308646,123.68944618599791,0.5642994148693803,0
B_B1_i031_s984994512,984994512,DISCOVERY,11000,HORIZON,11000,2,1,1316,2,2,589,100,489,1334,18,575,1269,18.24828759089466,2.7826666666666666,2.9540305212620024,9.996141975308642,117.24855555555555,0.3961076491902639,10259
B_B1_i032_s950302476,950302476,VALIDATION,6915,EXTINCT,6914,0,1,-1,1,1,0,0,0,-1,-1,0,712,0.0,2.617293997965412,2.9511059932431585,9.996141975308646,118.70722278738556,0.5646819308534917,0
B_B1_i033_s955153022,955153022,DISCOVERY,11000,HORIZON,11000,1,0,6269,2,2,4731,1032,3699,6340,71,4697,1678,21.095023109728988,2.6066666666666665,2.924810185185185,9.996141975308642,183.55955555555556,0.30281472779581475,9428
B_B1_i034_s985310591,985310591,DISCOVERY,532,EXTINCT,531,0,1,-1,1,1,0,0,0,-1,-1,0,58,0.0,2.093984962406015,2.9760265826603542,9.996141975308642,70.0827067669173,0.9679681163546684,0
B_B1_i035_s984253947,984253947,DISCOVERY,11000,HORIZON,11000,2,2,1453,2,2,4247,462,3785,1565,112,4221,1574,20.591260281974,2.543222222222222,2.932359396433471,9.996141975308642,168.43166666666667,0.30366814170667944,13768
B_B1_i036_s982276419,982276419,VALIDATION,10763,PREMATURE_THIRD_CENTRE,10762,4,2,8201,3,3,2231,743,1488,8431,230,2171,1395,18.681541692269406,2.6509186351706036,2.941676070684401,9.996141975308642,145.18806344859067,0.37016928842731806,4808
B_B1_i037_s966307960,966307960,VALIDATION,11000,HORIZON,11000,2,1,828,2,2,4914,675,4239,883,55,4887,1618,22.02271554554524,2.61,2.931428926611797,9.996141975308642,171.002,0.299245843518684,15059
B_B1_i038_s945497148,945497148,DISCOVERY,270,EXTINCT,269,0,1,-1,1,1,0,0,0,-1,-1,0,20,0.0,1.7518518518518518,2.977251943301326,9.996141975308644,55.611111111111114,0.9850903137583119,0
B_B1_i039_s950085585,950085585,DISCOVERY,11000,HORIZON,11000,1,0,1304,2,2,9696,993,8703,1366,62,9679,2082,22.80350850198276,2.2191111111111113,2.918003943758573,9.996141975308642,203.3492222222222,0.2500987005187773,19375
