L,M256,Q,arm,axis,coast_survival,directional_transit_mass,egress_gate_met,first_failure_time,first_failure_type,flux_deficit,fresh_at_first_checkpoint,fresh_fraction_1536,fresh_fraction_2048,gate,ingress_gate_met,initial_residual_1536,initial_residual_2048,joint_capture_success,lattice_balance_error,n_events,q_per_event,realized_sink_removal,realized_source_injection,seed,survival_1536,survival_2048,t0_sha256,t256_checkpoint_sha256,t256_status,total_system_balance_error,unique_fresh_ingress,unique_initial_egress
24,166.90547423157327,8.345273711578663,COUPLED_D1_SMOOTH_LOW,-x,True,0.0,True,,NONE,0.0,0.0,0.0,0.0,6.676218969262931,False,0.8165915909690235,0.8136204042232233,False,0.1043159213947333,80,0.1043159213947333,8.345273711578669,0.0,960001,True,True,ec0b1b1d74f23529bf441378632abafa4ed6ff6becc786d3c093a13b10c0106d,75a90c545e8d28cae72b2407bcdd4169c1732e8642d0bb6608c0e2638ce641da,T256_VALID_TRACK,0.0,0.0,6.916160827598462
24,166.90547423157327,8.345273711578663,COUPLED_D1_PULSE_LOW,-x,True,0.0,True,,NONE,0.0,0.0,0.0,0.0,6.676218969262931,False,0.8255258770767846,0.8137823413703785,False,0.4172636855789332,20,0.4172636855789332,8.345273711578665,0.0,960001,True,True,ec0b1b1d74f23529bf441378632abafa4ed6ff6becc786d3c093a13b10c0106d,75a90c545e8d28cae72b2407bcdd4169c1732e8642d0bb6608c0e2638ce641da,T256_VALID_TRACK,5.684341886080802e-14,0.0,6.782520478524655
24,166.90547423157327,8.345273711578663,COUPLED_D1_BURST_LOW,-x,True,0.0,False,,NONE,4.440892098500626e-16,0.0,0.0,0.0,6.676218969262931,False,0.8384955170811311,0.8132726010435134,False,1.669054742315733,5,1.6690547423157327,8.345273711578663,0.0,960001,True,True,ec0b1b1d74f23529bf441378632abafa4ed6ff6becc786d3c093a13b10c0106d,75a90c545e8d28cae72b2407bcdd4169c1732e8642d0bb6608c0e2638ce641da,T256_VALID_TRACK,0.0,0.0,6.645637670674893
24,166.90547423157327,16.690547423157327,COUPLED_D1_PULSE_MID,-x,True,0.0,True,,NONE,0.0,0.0,0.0,0.0,13.352437938525862,False,0.7603758842286864,0.7431195533877566,False,0.8345273711578663,20,0.8345273711578663,16.69054742315733,0.0,960001,True,True,ec0b1b1d74f23529bf441378632abafa4ed6ff6becc786d3c093a13b10c0106d,75a90c545e8d28cae72b2407bcdd4169c1732e8642d0bb6608c0e2638ce641da,T256_VALID_TRACK,0.0,0.0,14.63142470674939
24,166.90547423157327,16.690547423157327,COUPLED_D1_SMOOTH_MID,-x,True,0.0,True,,NONE,0.0,0.0,0.0,0.0,13.352437938525862,False,0.7411603676544661,0.7506763718560902,False,0.2086318427894666,80,0.2086318427894666,16.690547423157337,0.0,960001,True,True,ec0b1b1d74f23529bf441378632abafa4ed6ff6becc786d3c093a13b10c0106d,75a90c545e8d28cae72b2407bcdd4169c1732e8642d0bb6608c0e2638ce641da,T256_VALID_TRACK,5.684341886080802e-14,0.0,14.69604551017838
24,166.90547423157327,25.03582113473599,COUPLED_D1_PULSE_HIGH,-x,True,0.0,True,,NONE,0.0,0.0,0.0,0.0,20.028656907788793,False,0.6976826935020124,0.6794423106791527,False,1.2517910567367996,20,1.2517910567367996,25.035821134735986,0.0,960001,True,True,ec0b1b1d74f23529bf441378632abafa4ed6ff6becc786d3c093a13b10c0106d,75a90c545e8d28cae72b2407bcdd4169c1732e8642d0bb6608c0e2638ce641da,T256_VALID_TRACK,0.0,0.0,22.740503980920252
24,169.1204912252381,8.456024561261906,SHAM,+y,True,0.0,False,,NONE,8.456024561261888,0.0,0.0,0.0,6.7648196490095245,False,0.8885959926223498,0.8690346497667133,False,0.0,80,0.10570030701577382,0.0,0.0,960002,True,True,e6dd1c6597822d91ec6002bbb8328c4ee8fd37cfb6f4b880214538ea45c83917,cdfcdf6b25d9656d14bd8e4c545e6cde2a2a6a9620cf857c6ec03954988e6bdf,T256_VALID_TRACK,5.684341886080802e-14,0.0,0.0
24,169.1204912252381,8.456024561261906,COUPLED_D2_SMOOTH_LOW,+y,True,0.0003214583112296878,True,,NONE,0.0,7.597034643404713e-05,0.0164897434206292,0.019180979509234468,6.7648196490095245,False,0.8418772560499583,0.8381802429592627,False,0.10570030701577382,80,0.10570030701577382,8.456024561261888,8.244623947230341,960002,True,True,e6dd1c6597822d91ec6002bbb8328c4ee8fd37cfb6f4b880214538ea45c83917,cdfcdf6b25d9656d14bd8e4c545e6cde2a2a6a9620cf857c6ec03954988e6bdf,T256_VALID_TRACK,2.842170943040401e-14,3.1865591313745747,6.862309768010659
24,169.1204912252381,8.456024561261906,COUPLED_D1_SMOOTH_LOW,+y,True,0.0,True,,NONE,0.0,0.0,0.0,0.0,6.7648196490095245,False,0.8184669610461477,0.819481665826236,False,0.10570030701577382,80,0.10570030701577382,8.456024561261888,0.0,960002,True,True,e6dd1c6597822d91ec6002bbb8328c4ee8fd37cfb6f4b880214538ea45c83917,cdfcdf6b25d9656d14bd8e4c545e6cde2a2a6a9620cf857c6ec03954988e6bdf,T256_VALID_TRACK,2.842170943040401e-14,0.0,6.837326012526528
24,169.1204912252381,8.456024561261906,COUPLED_D1_PULSE_LOW,+y,True,0.0,True,,NONE,0.0,0.0,0.0,0.0,6.7648196490095245,False,0.8280067455635028,0.811205686766854,False,0.4228012280630953,20,0.4228012280630953,8.456024561261906,0.0,960002,True,True,e6dd1c6597822d91ec6002bbb8328c4ee8fd37cfb6f4b880214538ea45c83917,cdfcdf6b25d9656d14bd8e4c545e6cde2a2a6a9620cf857c6ec03954988e6bdf,T256_VALID_TRACK,2.842170943040401e-14,0.0,6.7797697680599756
24,169.1204912252381,8.456024561261906,COUPLED_D1_BURST_LOW,+y,True,0.0,False,,NONE,0.0,0.0,0.0,0.0,6.7648196490095245,False,0.8471581965969148,0.8124050965735824,False,1.6912049122523813,5,1.6912049122523811,8.456024561261906,0.0,960002,True,True,e6dd1c6597822d91ec6002bbb8328c4ee8fd37cfb6f4b880214538ea45c83917,cdfcdf6b25d9656d14bd8e4c545e6cde2a2a6a9620cf857c6ec03954988e6bdf,T256_VALID_TRACK,2.842170943040401e-14,0.0,6.643108133582643
24,169.1204912252381,16.91204912252381,COUPLED_D1_PULSE_MID,+y,True,0.0,True,,NONE,0.0,0.0,0.0,0.0,13.529639298019049,False,0.7639446844841632,0.7467596156806114,False,0.8456024561261906,20,0.8456024561261906,16.91204912252381,0.0,960002,True,True,e6dd1c6597822d91ec6002bbb8328c4ee8fd37cfb6f4b880214538ea45c83917,cdfcdf6b25d9656d14bd8e4c545e6cde2a2a6a9620cf857c6ec03954988e6bdf,T256_VALID_TRACK,0.0,0.0,14.62294415337172
24,169.1204912252381,16.91204912252381,COUPLED_D1_SMOOTH_MID,+y,True,0.0,True,,NONE,0.0,0.0,0.0,0.0,13.529639298019049,False,0.7446924744258132,0.749435468838304,False,0.21140061403154764,80,0.21140061403154764,16.912049122523776,0.0,960002,True,True,e6dd1c6597822d91ec6002bbb8328c4ee8fd37cfb6f4b880214538ea45c83917,cdfcdf6b25d9656d14bd8e4c545e6cde2a2a6a9620cf857c6ec03954988e6bdf,T256_VALID_TRACK,5.684341886080802e-14,0.0,14.914316122433119
24,169.1204912252381,25.368073683785717,COUPLED_D1_PULSE_HIGH,+y,True,0.0,True,,NONE,0.0,0.0,0.0,0.0,20.294458947028573,False,0.7000554642454027,0.6856382603729821,False,1.2684036841892858,20,1.2684036841892858,25.36807368378573,0.0,960002,True,True,e6dd1c6597822d91ec6002bbb8328c4ee8fd37cfb6f4b880214538ea45c83917,cdfcdf6b25d9656d14bd8e4c545e6cde2a2a6a9620cf857c6ec03954988e6bdf,T256_VALID_TRACK,2.842170943040401e-14,0.0,22.974925330668665
24,169.93978065132958,8.49698903256648,SHAM,-y,True,0.0,False,,NONE,8.496989032566466,0.0,0.0,0.0,6.797591226053185,False,0.892171772849679,0.8724261776558949,False,0.0,80,0.106212362907081,0.0,0.0,960003,True,True,03541b77bb03432d03eba88e229eaafeef45ab7de72bb3ef0bc103201a720790,6e1713670909ae82fb39a49ccd81a58088e6e5f990a5d4a3402257591e618aa2,T256_VALID_TRACK,0.0,0.0,0.0
24,169.93978065132958,8.49698903256648,COUPLED_D2_SMOOTH_LOW,-y,True,0.03758697327703224,True,,NONE,0.0,2.7005040670464295e-06,0.011049671022135079,0.01468665376975517,6.797591226053185,False,0.8341702088851857,0.8283333047692869,False,0.0,80,0.106212362907081,8.496989032566466,8.496989032566466,960003,True,True,03541b77bb03432d03eba88e229eaafeef45ab7de72bb3ef0bc103201a720790,6e1713670909ae82fb39a49ccd81a58088e6e5f990a5d4a3402257591e618aa2,T256_VALID_TRACK,0.0,2.410129628974213,7.17949223083374
