seed,eligible,deep_reached,rest_assay_valid,deep_assay_valid,valid,reason,censored,censoring_reason,g0_rest_valid,g0_deep_valid,g0_status,event_classification,raw_tracker_status,event_step,deep_snapshot_step,M_0,M_1,M_2,rest_tracked_entity_sizes,deep_tracked_entity_sizes,event_parent_entity_sizes,raw_sha256,raw_inputs,generating_script
54013,False,False,False,False,False,fewer_than_three_geometrically_eligible_targets,True,fewer_than_three_geometrically_eligible_targets,False,False,FAIL,,,,,,,,,,,0a32af8c9d744f72d592c39d1790c7525e85788a5034c9537cc9709b0e3c62da,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54014,False,False,False,False,False,fewer_than_three_geometrically_eligible_targets,True,fewer_than_three_geometrically_eligible_targets,False,False,FAIL,,,,,,,,,,,5ab80f98b4a027e8f4dc94cb7d2e0df2f8663e1ed60313a833bee90ddc221a91,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54015,True,True,True,True,True,,False,,True,True,PASS,,,,741,0.2499750506918562,0.1953491810998986,0.22018845933319142,127;74;80,57;58;52,,c0e8441d854e59a8db2326e9b7e763d093a39c1f2053c4e5e2efb676ab28aa41,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54016,True,True,True,True,True,,False,,True,True,PASS,,,,844,0.2078717645033123,0.24992518765102165,0.1420295142796169,83;80;69,64;29;44,,08c4dc14ebd63064f32345e9d6820c3057f21ca9eabcd884cea74df1bd979a60,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54017,False,False,False,False,False,fewer_than_three_geometrically_eligible_targets,True,fewer_than_three_geometrically_eligible_targets,False,False,FAIL,,,,,,,,,,,d2a832699d77a118c8c291b5618ab552d8247e975310b8c6b4db0be92373bedb,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54018,True,False,False,False,False,tracker_event:1:SPLIT@137,True,tracker_event:1:SPLIT@137,False,False,FAIL,FISSION,SPLIT,137,,,,,106;82;60,,101;82;56,253386a484605b15b9cbb46ad40f208884ddf29188c6854725c0b2f5be6b39b2,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54019,True,True,True,True,True,,False,,True,True,PASS,,,,856,0.12288866476294115,0.24976116540259816,0.1944443321763603,55;40;36,44;18;20,,1847a205c174e5f01239c3616b7279c8ed8b7dfc88957449fee80c2391f165ad,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54020,True,True,True,True,True,,False,,True,True,PASS,,,,716,0.1328035026894663,0.2495620240386495,0.11040420029690902,122;57;28,85;28;38,,afda2c96a0cb506ed55487e82cf8f7a0bc736929dffb622e92d9db19fb94b75e,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54021,True,True,True,True,True,,False,,True,True,PASS,,,,814,0.22178526990605066,0.2167013451678018,0.2498595320762178,69;62;56,36;36;26,,d060e35660a485e252721fb12855c3f457c7745daa6d3b8be20c7e6cca461e74,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
54022,True,False,True,False,False,tracker_event:0:SPLIT@207,True,tracker_event:0:SPLIT@207,True,False,FAIL,FISSION,SPLIT,207,,,,,138;54;41,,119;47;33,2af67a675681d2b8029caaa3962ee1ab91b7a4a6d5190cc23fce7502732153ff,results/LCI-TURNOVER-PROSPECTIVE-03G/raw_manifest_03g.json@sha256:ce8d2cb0b6158965acaeef3553f44c7f9bf0ef9b9567c858ff5cbb27f903a328,analysis/lci-turnover-raw-reproduction-03m/raw_reproduction_03m.py
